Mr.	NP	Mr.
Hungerton	NP	Hungerton
,	,	,
her	PP$	her
father	NN	father
,	,	,
really	RB	really
was	VBD	be
the	DT	the
most	RBS	most
tactless	JJ	tactless
person	NN	person
upon	IN	upon
earth	NN	earth
,	,	,
---	NN	---
a	DT	a
fluffy	JJ	fluffy
,	,	,
feathery	JJ	feathery
,	,	,
untidy	JJ	untidy
cockatoo	NN	cockatoo
of	IN	of
a	DT	a
man	NN	man
,	,	,
perfectly	RB	perfectly
good-natured	JJ	good-natured
,	,	,
but	CC	but
absolutely	RB	absolutely
centered	VVN	center
upon	IN	upon
his	PP$	his
own	JJ	own
silly	JJ	silly
self	NN	self
.	SENT	.
If	IN	if
anything	NN	anything
could	MD	could
have	VH	have
driven	VVN	drive
me	PP	me
from	IN	from
Gladys	NP	Gladys
,	,	,
it	PP	it
would	MD	would
have	VH	have
been	VBN	be
the	DT	the
thought	NN	thought
of	IN	of
such	PDT	such
a	DT	a
father-in-law	NN	father-in-law
.	SENT	.
I	PP	I
am	VBP	be
convinced	VVN	convince
that	IN/that	that
he	PP	he
really	RB	really
believed	VVD	believe
in	IN	in
his	PP$	his
heart	NN	heart
that	IN/that	that
I	PP	I
came	VVD	come
round	NN	round
to	TO	to
the	DT	the
Chestnuts	NP	Chestnuts
three	CD	three
days	NNS	day
a	DT	a
week	NN	week
for	IN	for
the	DT	the
pleasure	NN	pleasure
of	IN	of
his	PP$	his
company	NN	company
,	,	,
and	CC	and
very	RB	very
especially	RB	especially
to	TO	to
hear	VV	hear
his	PP$	his
views	NNS	view
upon	IN	upon
bimetallism	NN	bimetallism
,	,	,
a	DT	a
subject	NN	subject
upon	IN	upon
which	WDT	which
he	PP	he
was	VBD	be
by	IN	by
way	NN	way
of	IN	of
being	VBG	be
an	DT	an
authority	NN	authority
.	SENT	.
For	IN	for
an	DT	an
hour	NN	hour
or	CC	or
more	JJR	more
that	WDT	that
evening	NN	evening
I	PP	I
listened	VVD	listen
to	TO	to
his	PP$	his
monotonous	JJ	monotonous
chirrup	NN	chirrup
about	IN	about
bad	JJ	bad
money	NN	money
driving	VVG	drive
out	RP	out
good	JJ	good
,	,	,
the	DT	the
token	JJ	token
value	NN	value
of	IN	of
silver	NN	silver
,	,	,
the	DT	the
depreciation	NN	depreciation
of	IN	of
the	DT	the
rupee	NN	rupee
,	,	,
and	CC	and
the	DT	the
true	JJ	true
standards	NNS	standard
of	IN	of
exchange	NN	exchange
.	SENT	.
""""	``	""""
Suppose	VV	suppose
,	,	,
""""	''	""""
he	PP	he
cried	VVD	cry
with	IN	with
feeble	JJ	feeble
violence	NN	violence
,	,	,
""""	''	""""
that	IN/that	that
all	PDT	all
the	DT	the
debts	NNS	debt
in	IN	in
the	DT	the
world	NN	world
were	VBD	be
called	VVN	call
up	RP	up
simultaneously	RB	simultaneously
,	,	,
and	CC	and
immediate	JJ	immediate
payment	NN	payment
insisted	VVD	insist
upon	RP	upon
,	,	,
---	NN	---
what	WP	what
under	IN	under
our	PP$	our
present	JJ	present
conditions	NNS	condition
would	MD	would
happen	VV	happen
then	RB	then
?	SENT	?
""""	''	""""
I	PP	I
gave	VVD	give
the	DT	the
self-evident	JJ	self-evident
answer	NN	answer
that	IN/that	that
I	PP	I
should	MD	should
be	VB	be
a	DT	a
ruined	VVN	ruin
man	NN	man
,	,	,
upon	IN	upon
which	WDT	which
he	PP	he
jumped	VVD	jump
from	IN	from
his	PP$	his
chair	NN	chair
,	,	,
reproved	VVD	reprove
me	PP	me
for	IN	for
my	PP$	my
habitual	JJ	habitual
levity	NN	levity
,	,	,
which	WDT	which
made	VVD	make
it	PP	it
impossible	JJ	impossible
for	IN	for
him	PP	him
to	TO	to
discuss	VV	discuss
any	DT	any
reasonable	JJ	reasonable
subject	NN	subject
in	IN	in
my	PP$	my
presence	NN	presence
,	,	,
and	CC	and
bounced	VVD	bounce
off	RP	off
out	IN	out
of	IN	of
the	DT	the
room	NN	room
to	TO	to
dress	VV	dress
for	IN	for
a	DT	a
Masonic	JJ	masonic
meeting	NN	meeting
.	SENT	.
At	IN	at
last	JJ	last
I	PP	I
was	VBD	be
alone	RB	alone
with	IN	with
Gladys	NP	Gladys
,	,	,
and	CC	and
the	DT	the
moment	NN	moment
of	IN	of
Fate	NP	Fate
had	VHD	have
come	VVN	come
!	SENT	!
All	PDT	All
that	DT	that
evening	NN	evening
I	PP	I
had	VHD	have
felt	VVN	feel
like	IN	like
the	DT	the
soldier	NN	soldier
who	WP	who
awaits	VVZ	await
the	DT	the
signal	NN	signal
which	WDT	which
will	MD	will
send	VV	send
him	PP	him
on	IN	on
a	DT	a
forlorn	JJ	forlorn
hope	NN	hope
;	:	;
hope	VVP	hope
of	IN	of
victory	NN	victory
and	CC	and
fear	NN	fear
of	IN	of
repulse	NN	repulse
alternating	VVG	alternate
in	IN	in
his	PP$	his
mind	NN	mind
.	SENT	.
She	PP	she
sat	VVD	sit
with	IN	with
that	DT	that
proud	JJ	proud
,	,	,
delicate	JJ	delicate
profile	NN	profile
of	IN	of
hers	PP	hers
outlined	VVD	outline
against	IN	against
the	DT	the
red	JJ	red
curtain	NN	curtain
.	SENT	.
How	WRB	How
beautiful	JJ	beautiful
she	PP	she
was	VBD	be
!	SENT	!
And	CC	and
yet	RB	yet
how	WRB	how
aloof	JJ	aloof
!	SENT	!
We	PP	we
had	VHD	have
been	VBN	be
friends	NNS	friend
,	,	,
quite	RB	quite
good	JJ	good
friends	NNS	friend
;	:	;
but	CC	but
never	RB	never
could	MD	could
I	PP	I
get	VV	get
beyond	IN	beyond
the	DT	the
same	JJ	same
comradeship	NN	comradeship
which	WDT	which
I	PP	I
might	MD	might
have	VH	have
established	VVN	establish
with	IN	with
one	CD	one
of	IN	of
my	PP$	my
fellow-reporters	NNS	fellow-reporters
upon	IN	upon
the	DT	the
Gazette	NP	Gazette
,	,	,
---	NN	---
perfectly	RB	perfectly
frank	JJ	frank
,	,	,
perfectly	RB	perfectly
kindly	RB	kindly
,	,	,
and	CC	and
perfectly	RB	perfectly
unsexual	JJ	unsexual
.	SENT	.
My	PP$	my
instincts	NNS	instinct
are	VBP	be
all	RB	all
against	IN	against
a	DT	a
woman	NN	woman
being	VBG	be
too	RB	too
frank	JJ	frank
and	CC	and
at	IN	at
her	PP$	her
ease	NN	ease
with	IN	with
me	PP	me
.	SENT	.
It	PP	it
is	VBZ	be
no	DT	no
compliment	NN	compliment
to	TO	to
a	DT	a
man	NN	man
.	SENT	.
Where	WRB	where
the	DT	the
real	JJ	real
sex	NN	sex
feeling	NN	feeling
begins	VVZ	begin
,	,	,
timidity	NN	timidity
and	CC	and
distrust	NN	distrust
are	VBP	be
its	PP$	its
companions	NNS	companion
,	,	,
heritage	NN	heritage
from	IN	from
old	JJ	old
wicked	JJ	wicked
days	NNS	day
when	WRB	when
love	NN	love
and	CC	and
violence	NN	violence
went	VVD	go
often	RB	often
hand	NN	hand
in	IN	in
hand	NN	hand
.	SENT	.
The	DT	the
bent	JJ	bent
head	NN	head
,	,	,
the	DT	the
averted	VVN	avert
eye	NN	eye
,	,	,
the	DT	the
faltering	VVG	falter
voice	NN	voice
,	,	,
the	DT	the
wincing	VVG	wince
figure	NN	figure
---	NN	---
these	DT	these
,	,	,
and	CC	and
not	RB	not
the	DT	the
unshrinking	JJ	unshrinking
gaze	NN	gaze
and	CC	and
frank	JJ	frank
reply	NN	reply
,	,	,
are	VBP	be
the	DT	the
true	JJ	true
signals	NNS	signal
of	IN	of
passion	NN	passion
.	SENT	.
Even	RB	even
in	IN	in
my	PP$	my
short	JJ	short
life	NN	life
I	PP	I
had	VHD	have
learned	VVN	learn
as	RB	as
much	RB	much
as	IN	as
that	DT	that
---	NN	---
