Avertis	Vvc	AVERTIR
promptement	Rg	PROMPTEMENT
la	Da	LE
princesse	Nc	PRINCE|PRINCESSE
Hésione	Vvc	Hésione
,	Fw	,
C'	Vvc	C'
est	Vuc	ÊTRE
un	Dn	UN
avis	Nc	AVIS
pressant	Ga	PRESSER
qu'	Cs	QUE
il	Pp	IL
faut	Vvc	FAILLIR|FALLOIR
que	Cs	QUE
je	Pp	JE
lui	Pp	IL
donne	Vvc	DONNER
:	Fw	:
À	Nc	À
Darie	Vvc	Darie
.	Fs	.
Oui	Rg	OUI
,	Fw	,
Seigneur	Nc	SEIGNEUR
,	Fw	,
c'	Pd	CE
est	Vuc	ÊTRE
d'	Dn	UN
Égypte	Nc	Égypte
,	Fw	,
et	Cc	ET
du	S+Da	DE+LE
camp	Nc	CAMP
du	S+Da	DE+LE
feu	Nc	FEU
Roi	Vvc	Roi
,	Fw	,
Que	Vvc	Que
je	Pp	JE
reviens	Vvc	REVENIR
ici	Rg	ICI
plein	Ag	PLEIN
de	S	DE
trouble	Nc	TROUBLE
et	Cc	ET
d'	S	DE
effroi	Nc	EFFROI
.	Fs	.
Hors	S	HORS
d'	Dn	UN
état	Nc	ÉTAT
de	S	DE
combattre	Vvn	COMBATTRE
,	Fw	,
ayant	Ga	AVOIR
quitté	Ge	QUITTER
l'	Da	LE
Armée	Nc	Armée
,	Fw	,
La	Vvc	La
victoire	Nc	VICTOIRE
,	Fw	,
ou	Cc	OU
la	Da	LE
paix	Nc	PAIX
,	Fw	,
y	Pp	Y
semblait	Vvc	SEMBLER
confirmée	Ge	CONFIRMER
.	Fs	.
Le	Da	LE
sort	Nc	SORT
a-t-il	V	AVOIR
changé	Ge	CHANGER
?	Fs	?
Craint	Vvc	CRAINDRE
-on	Nc	-on
nos	Ds	NOTRE
ennemis	Nc	ENNEMI
?	Fs	?
Quoique	Cs	QUOIQUE
de	S	DE
ma	Ds	MON
blessure	Nc	BLESSURE
encore	Rg	ENCORE
mal	Rg	MAL
remis	Ge	REMETTRE
,	Fw	,
J'	Vvc	J'
irai	Vvc	ALLER
...	Fs	...
C'	Vvc	C'
est	Vuc	ÊTRE
d'	Dn	UN
autres	Ag	AUTRE
maux	Nc	MAL
que	Pr	QUE
je	Pp	JE
viens	Vvc	VENIR
vous	Pp	VOUS
instruire	Vvn	INSTRUIRE
;	Fw	;
Par	Nc	PAR
l'	Da	LE
ordre	Nc	ORDRE
de	S	DE
nos	Ds	NOTRE
chefs	Nc	CHEF
,	Fw	,
ce	Pd	CE
qu'	Pr	QUE
on	Pp	ON
craint	Vvc	CRAINDRE
pour	S	POUR
l'	Da	LE
Empire	Nc	EMPIRE
,	Fw	,
Avant	Ga	Avant
que	Cs	QUE
voir	Vvn	VOIR
le	Da	LE
roi	Nc	ROI
,	Fw	,
doit	Vvc	DEVOIR
paraître	Vvn	PARAÎTRE
à	S	À
vos	Ds	VOTRE
