Après	Vvc	Après
tant	Rg	TANT
de	S	DE
hauts	Ag	HAUT
faits	Nc	FAIT
,	Fw	,
il	Pp	IL
m'	Pp	JE
est	Vuc	ÊTRE
bien	Rg	BIEN
doux	Ag	DOUX
,	Fw	,
Seigneur	Nc	SEIGNEUR
,	Fw	,
De	Vvc	De
voir	Vvn	VOIR
encore	Rg	ENCORE
mes	Ds	MON
yeux	Nc	OEIL|YEUX
régner	Vvn	RÉGNER
sur	S	SUR
votre	Ds	VOTRE
coeur	Nc	CUR
;	Fw	;
De	Vvc	De
voir	Vvn	VOIR
,	Fw	,
sous	S	SOUS
les	Da	LE
lauriers	Nc	LAURIER
qui	Pr	QUI
vous	Pp	VOUS
couvrent	Vvc	COUVRIR
la	Da	LE
tête	Nc	TÊTE
,	Fw	,
Un	Vvc	Un
si	Rg	SI
grand	Ag	GRAND
conquérant	Nc	CONQUÉRANT
être	Vun	ÊTRE
encore	Rg	ENCORE
ma	Ds	MON
conquête	Nc	CONQUÊTE
,	Fw	,
Et	Vvc	Et
de	S	DE
toute	Di	TOUT
la	Da	LE
gloire	Nc	GLOIRE
acquise	Ge	ACQUÉRIR
à	S	À
ses	Ds	SON
travaux	Nc	TRAVAIL|TRAVAUX
Faire	Vvc	Faire
un	Dn	UN
illustre	Ag	ILLUSTRE
hommage	Nc	HOMMAGE
à	S	À
ce	Pd	CE
peu	Rg	PEU
que	Cs	QUE
je	Pp	JE
vaux	Vvc	VALOIR
.	Fs	.
Quelques	Di	QUELQUE
biens	Nc	BIEN
toutefois	Rg	TOUTEFOIS
que	Cs	QUE
le	Da	LE
ciel	Nc	CIEL
me	Pp	JE
renvoie	Vvc	RENVOYER
,	Fw	,
Mon	Nc	Mon
coeur	Nc	CUR
épouvanté	Ge	ÉPOUVANTER
se	Pp	IL
refuse	Vvc	REFUSER
à	S	À
la	Da	LE
joie	Nc	JOIE
:	Fw	:
Je	Pp	JE
vous	Pp	VOUS
vois	Vvc	ALLER|VOIR
à	S	À
regret	Nc	REGRET
,	Fw	,
tant	Rg	TANT
mon	Ds	MON
coeur	Nc	CUR
amoureux	Ag	AMOUREUX
Trouve	Vvc	TROUVER
la	Da	LE
cour	Nc	COUR
pour	S	POUR
vous	Pp	VOUS
un	Dn	UN
séjour	Nc	SÉJOUR
dangereux	Ag	DANGEREUX
.	Fs	.
Votre	Ds	VOTRE
marâtre	Nc	MARÂTRE
y	Pp	Y
règne	Vvc	RÉGNER
,	Fw	,
et	Cc	ET
le	Da	LE
roi	Nc	ROI
votre	Ds	VOTRE
père	Nc	PÈRE
Ne	Ag	Ne
voit	Vvc	VOIR
que	Cs	QUE
par	S	PAR
ses	Ds	SON
yeux	Nc	OEIL|YEUX
,	Fw	,
seule	Ag	SEUL
la	Pp	IL
considère	Vvc	CONSIDÉRER
,	Fw	,
Pour	Nc	POUR
souveraine	Ag	SOUVERAIN
loi	Nc	LOI
n'	Rp	NE
a	Vuc	AVOIR
que	Rg	QUE
sa	Ds	SON
volonté	Nc	VOLONTÉ
:	Fw	:
Jugez	Vvc	JUGER
après	S	APRÈS
cela	Pd	CELA
de	S	DE
votre	Ds	VOTRE
sûreté	Nc	SÛRETÉ
.	Fs	.
La	Da	LE
haine	Nc	HAINE
que	Cs	QUE
pour	S	POUR
vous	Pp	VOUS
elle	Pp	IL
a	Vuc	AVOIR
si	Rg	SI
naturelle	Ag	NATUREL
À	Nc	À
mon	Ds	MON
occasion	Nc	OCCASION
encore	Rg	ENCORE
se	Pp	IL
renouvelle	Vvc	RENOUVELER
.	Fs	.
Votre	Ds	VOTRE
frère	Nc	FRÈRE
son	Ds	SON
fils	Nc	FIL|FILS
,	Fw	,
depuis	S	DEPUIS
peu	Rg	PEU
de	S	DE
retour	Nc	RETOUR
...	Fs	...
Je	Vvc	Je
le	Da	LE
sais	Nc	SAÏ
,	Fw	,
ma	Ds	MON
princesse	Nc	PRINCE|PRINCESSE
,	Fw	,
et	Cc	ET
qu'	Cs	QUE
il	Pp	IL
vous	Pp	VOUS
fait	Vvc	FAIRE
la	Da	LE
cour	Nc	COUR
;	Fw	;
Je	Vvc	Je
sais	Vvc	SAVOIR
que	Cs	QUE
les	Da	LE
Romains	Nc	ROMAIN
,	Fw	,
qui	Pr	QUI
l'	Pp	IL
avaient	Vuc	AVOIR
en	S	EN
otage	Nc	OTAGE
,	Fw	,
L'	Vvc	L'
ont	Vuc	AVOIR
enfin	Rg	ENFIN
renvoyé	Ge	RENVOYER
pour	S	POUR
un	Dn	UN
plus	Rg	PLUS
digne	Ag	DIGNE
ouvrage	Nc	OUVRAGE
;	Fw	;
Que	Vvc	Que
ce	Dd	CE
don	Nc	DON
à	S	À
sa	Ds	SON
mère	Nc	MÈRE
était	Vuc	ÊTRE
le	Da	LE
prix	Nc	PRIX
fatal	Ag	FATAL
Dont	Vvc	Dont
leur	Ds	LEUR
Flaminius	Nc	Flaminius
marchandait	Vvc	MARCHANDER
Annibal	Ag	Annibal
;	Fw	;
Que	Vvc	Que
le	Da	LE
roi	Nc	ROI
par	S	PAR
son	Ds	SON
ordre	Nc	ORDRE
eût	Vuc	AVOIR
livré	Ge	LIVRER
ce	Dd	CE
grand	Ag	GRAND
homme	Nc	HOMME
,	Fw	,
S'	Vvc	S'
il	Pp	IL
n'	Rp	NE
eût	Vuc	AVOIR
par	S	PAR
le	Da	LE
poison	Nc	POISON
lui-même	Pp	LUI-MÊME
évité	Ge	ÉVITER
Rome	Vvc	Rome
,	Fw	,
Et	Vvc	Et
rompu	Ge	ROMPRE
par	S	PAR
sa	Ds	SON
mort	Nc	MORT
les	Da	LE
spectacles	Nc	SPECTACLE
pompeux	Ag	POMPEUX
Où	Vvc	Où
l'	Da	LE
effroi	Nc	EFFROI
de	S	DE
son	Ds	SON
nom	Nc	NOM
le	Pp	IL
destinait	Vvc	DESTINER
chez	S	CHEZ
eux	Pp	EUX
.	Fs	.
Par	S	PAR
mon	Ds	MON
dernier	Ag	DERNIER
combat	Nc	COMBAT
je	Pp	JE
voyais	Vvc	VOIR
réunie	Ge	RÉUNIR
La	Vvc	La
Cappadoce	Vvc	Cappadoce
entière	Ag	ENTIER
avec	S	AVEC
la	Da	LE
Bithynie	Nc	Bithynie
,	Fw	,
Lorsqu'	Vvc	Lorsqu'
à	S	À
cette	Dd	CE
nouvelle	Nc	NOUVEAU|NOUVELLE
,	Fw	,
enflammé	Ge	ENFLAMMER
de	S	DE
courroux	Nc	COURROUX
D'	Vvc	D'
avoir	Vun	AVOIR
perdu	Ge	PERDRE
mon	Ds	MON
maître	Nc	MAÎTRE
et	Cc	ET
de	S	DE
craindre	Vvn	CRAINDRE
pour	S	POUR
vous	Pp	VOUS
,	Fw	,
J'	Vvc	J'
ai	Vuc	AVOIR
laissé	Ge	LAISSER
mon	Ds	MON
armée	Nc	ARMÉE
aux	S+Da	À+LES
mains	Nc	MAIN
de	S	DE
Théagène	Nc	Théagène
,	Fw	,
Pour	Nc	POUR
voler	Vvn	VOLER
en	S	EN
ces	Dd	CE
lieux	Nc	LIEU|LIEUX
au	S+Da	À+LE
secours	Nc	SECOURS
de	S	DE
