Eh	I	EH
,	Fw	,
avec	S	AVEC
une	Dn	UN
sentence	Nc	SENTENCE
dans	S	DANS
leur	Ds	LEUR
poche	Nc	POCHE
.	Fs	.
On	Pp	ON
les	Pp	ILS
laisse	Vvc	LAISSER
longtemps	Rg	LONGTEMPS
dans	S	DANS
l'	Da	LE
antichambre	Nc	ANTICHAMBRE
;	Fw	;
mais	Cc	MAIS
enfin	Rg	ENFIN
on	Pp	ON
les	Pp	ILS
introduit	Vvc	INTRODUIRE
,	Fw	,
et	Cc	ET
ils	Pp	ILS
peuvent	Vvc	POUVOIR
dire	Vvn	DIRE
le	Da	LE
soir	Nc	SOIR
:	Fw	:
j'	Pp	JE
ai	Vuc	AVOIR
passé	Ge	PASSER
la	Da	LE
matinée	Nc	MATINÉE
avec	S	AVEC
Monsieur	Nc	MONSIEUR
le	Da	LE
Duc	Nc	DUC
un	Dn	UN
tel	Ag	TEL
;	Fw	;
Monsieur	Nc	MONSIEUR
le	Da	LE
Comte	Nc	COMTE|COMTÉ
un	Dn	UN
tel	Di	TEL
m'	Pp	JE
a	Vuc	AVOIR
raconté	Ge	RACONTER
telle	Di	TEL
chose	Nc	CHOSE
;	Fw	;
Monsieur	Nc	MONSIEUR
le	Pp	IL
Marquis	Vvc	Marquis
un	Dn	UN
tel	Ag	TEL
est	Vuc	ÊTRE
l'	Da	LE
homme	Nc	HOMME
du	S+Da	DE+LE
monde	Nc	MONDE
le	Da	LE
plus	Rg	PLUS
aimable	Ag	AIMABLE
;	Fw	;
il	Pp	IL
m'	Pp	JE
a	Vuc	AVOIR
comblé	Ge	COMBLER
d'	S	DE
honnêtetés	Nc	HONNÊTETÉ
:	Fw	:
les	Da	LE
marauds	Nc	MARAUD
n'	Rp	NE
en	Pp	EN
imposent	Vvc	IMPOSER
point	Rg	POINT
en	S	EN
parlant	Ga	PARLER
de	S	DE
la	Da	LE
sorte	Nc	SORTE
:	Fw	:
l'	Da	LE
homme	Nc	HOMME
le	Da	LE
moins	Nc	MOINS
