Quoi	Pt	QUE|QUOI
!	Fs	!
Toujours	Rg	TOUJOURS
opposée	Ge	OPPOSER
à	S	À
toute	Di	TOUT
une	Dn	UN
famille	Nc	FAMILLE
?	Fs	?
Oui	Rg	OUI
.	Fs	.
Vous	Pp	VOUS
ne	Rp	NE
voulez	Vvc	VOULOIR
point	Rg	POINT
marier	Vvn	MARIER
votre	Ds	VOTRE
fille	Nc	FILLE
?	Fs	?
Non	Rg	NON
.	Fs	.
Quand	Cs	QUAND
on	Pp	ON
vous	Pp	VOUS
en	Pp	EN
parle	Vvc	PARLER
,	Fw	,
on	Pp	ON
vous	Pp	VOUS
met	Vvc	METTRE
en	S	EN
courroux	Nc	COURROUX
.	Fs	.
Oui	Rg	OUI
.	Fs	.
Vous	Pp	VOUS
ne	Rp	NE
prendrez	Vvc	PRENDRE
point	Rg	POINT
des	Dn	UN
sentiments	Nc	SENTIMENT
plus	Rg	PLUS
doux	Ag	DOUX
?	Fs	?
Non	Rg	NON
.	Fs	.
Fort	Rg	FORT
bien	Rg	BIEN
!	Fs	!
Non	Rg	NON
,	Fw	,
oui	Ge	OUÏR
,	Fw	,
non	Rg	NON
:	Fw	:
beau	Ag	BEAU
discours	Nc	DISCOURS
!	Fs	!
Vos	Ds	VOTRE
répliques	Nc	RÉPLIQUE
Me	Ag	Me
paraissent	Vvc	PARAÎTRE
,	Fw	,
pour	S	POUR
moi	Pp	JE
,	Fw	,
tout	Pi	TOUT
à	S	À
fait	Nc	FAIT
laconiques	Ag	LACONIQUE
.	Fs	.
Mais	Cc	MAIS
,	Fw	,
pour	S	POUR
mieux	Rg	MIEUX
raisonner	Vvn	RAISONNER
avec	S	AVEC
vous	Pp	VOUS
là-dessus	Rg	LÀ-DESSUS
,	Fw	,
Et	Vvc	Et
pour	S	POUR
rendre	Vvn	RENDRE
un	Dn	UN
moment	Nc	MOMENT
le	Da	LE
discours	Nc	DISCOURS
plus	Rg	PLUS
diffus	Ag	DIFFUS
,	Fw	,
Dites	Vvc	DIRE
-moi	Vvc	-moi
,	Fw	,
s'	Cs	SI
il	Pp	IL
vous	Pp	VOUS
plaît	Vvc	PLAIRE
,	Fw	,
la	Da	LE
véritable	Ag	VÉRITABLE
cause	Nc	CAUSE
Qui	Vvc	Qui
vous	Pp	VOUS
fait	Vvc	FAIRE
rejeter	Vvn	REJETER
les	Da	LE
partis	Nc	PARTI
qu'	Pr	QUE
on	Pp	ON
propose	Vvc	PROPOSER
.	Fs	.
Ce	Dd	CE
fameux	Ag	FAMEUX
partisan	Nc	PARTISAN
,	Fw	,
par	S	PAR
exemple	Nc	EXEMPLE
,	Fw	,
pourquoi	Rt	POURQUOI
...	Fs	...
?	Fs	?
Hé	Vvc	Hé
fi	Rg	FI
,	Fw	,
monsieur	Nc	MONSIEUR
!	Fs	!
Fi	Rg	FI
donc	Rg	DONC
!	Fs	!
Vous	Pp	VOUS
radotez	Vvc	RADOTER
,	Fw	,
je	Pp	JE
crois	Vvc	CROIRE|CROÎTRE
:	Fw	:
Il	Pp	IL
est	Vuc	ÊTRE
trop	Rg	TROP
riche	Ag	RICHE
.	Fs	.
Ah	I	AH
!	Fs	!
Ah	I	AH
!	Fs	!
Nouvelle	Nc	NOUVEAU|NOUVELLE
est	Vuc	ÊTRE
la	Da	LE
maxime	Nc	MAXIME
.	Fs	.
Gagne-t	Ag	Gagne-t
-on	Nc	-on
en	S	EN
cinq	Nc	CINQ
ans	Nc	AN
un	Dn	UN
million	Nc	MILLION
sans	S	SANS
crime	Nc	CRIME
?	Fs	?
Je	Pp	JE
hais	Vvc	HAÏR
ces	Dd	CE
fort-vêtus	Nc	fort-vêtus
qui	Pr	QUI
,	Fw	,
malgré	S	MALGRÉ
tout	Di	TOUT
leur	Ds	LEUR
bien	Nc	BIEN
,	Fw	,
Sont	Vvc	Sont
un	Dn	UN
jour	Nc	JOUR
quelque	Di	QUELQUE
chose	Nc	CHOSE
,	Fw	,
et	Cc	ET
le	Da	LE
lendemain	Nc	LENDEMAIN
rien	Pi	RIEN
.	Fs	.
Et	Cc	ET
ce	Dd	CE
jeune	Ag	JEUNE
marquis	Nc	MARQUIS
,	Fw	,
cet	Dd	CE
homme	Nc	HOMME
d'	S	DE
importance	Nc	IMPORTANCE
?	Fs	?
Vous	Pp	VOUS
ne	Rp	NE
lui	Pp	IL
pouvez	Vvc	POUVOIR
pas	Rg	PAS
reprocher	Vvn	REPROCHER
sa	Ds	SON
naissance	Nc	NAISSANCE
:	Fw	:
Il	Pp	IL
a	Vuc	AVOIR
les	Da	LE
airs	Nc	AIR
de	S	DE
cour	Nc	COUR
,	Fw	,
parle	Vvc	PARLER
haut	Ag	HAUT
,	Fw	,
chante	Vvc	CHANTER
,	Fw	,
rit	Vvc	RIRE
;	Fw	;
Il	Vvc	Il
est	Vuc	ÊTRE
bien	Rg	BIEN
fait	Ge	FAIRE
;	Fw	;
il	Pp	IL
a	Vuc	AVOIR
du	Dp	DU
coeur	Nc	CUR
et	Cc	ET
de	S	DE
l'	Da	LE
esprit	Nc	ESPRIT
.	Fs	.
Il	Pp	IL
est	Vuc	ÊTRE
trop	Rg	TROP
gueux	Nc	GUEUX
.	Fs	.
Fort	Rg	FORT
bien	Rg	BIEN
!	Fs	!
La	Da	LE
réponse	Nc	RÉPONSE
est	Vuc	ÊTRE
honnête	Ag	HONNÊTE
;	Fw	;
Et	Vvc	Et
vous	Pp	VOUS
avez	Vuc	AVOIR
toujours	Rg	TOUJOURS
quelque	Di	QUELQUE
défaite	Nc	DÉFAITE
prête	Ag	PRÊT
.	Fs	.
Il	Pp	IL
s'	Pp	SE
offre	Vvc	OFFRIR
deux	Nc	DEUX
partis	Nc	PARTI
,	Fw	,
vous	Pp	VOUS
les	Pp	ILS
chassez	Vvc	CHASSER
tous	Di	TOUT
deux	Nc	DEUX
:	Fw	:
Le	Da	LE
premier	Nc	PREMIER
est	Vuc	ÊTRE
trop	Rg	TROP
riche	Ag	RICHE
,	Fw	,
et	Cc	ET
le	Da	LE
second	Nc	SECOND
trop	Rg	TROP
gueux	Nc	GUEUX
.	Fs	.
Dans	S	DANS
vos	Ds	VOTRE
brusques	Ag	BRUSQUE
humeurs	Nc	HUMEUR
je	Pp	JE
ne	Rp	NE
puis	Vvc	POUVOIR
vous	Pp	VOUS
comprendre	Vvn	COMPRENDRE
.	Fs	.
Comment	Pt	COMMENT
prétendez	Vvc	PRÉTENDRE
-vous	Nc	-vous
que	Pr	QUE
soit	Vuc	ÊTRE
fait	Ge	FAIRE
votre	Ds	VOTRE
gendre	Nc	GENDRE
?	Fs	?
Je	Pp	JE
prétends	Vvc	PRÉTENDRE
qu'	Cs	QUE
il	Pp	IL
soit	Vuc	ÊTRE
fait	Ge	FAIRE
comme	Cs	COMME
on	Pp	ON
n'	Rp	NE
en	Pp	EN
trouve	Vvc	TROUVER
point	Rg	POINT
;	Fw	;
Qu'	Vvc	Qu'
il	Pp	IL
soit	Vuc	ÊTRE
posé	Ge	POSER
,	Fw	,
discret	Ag	DISCRET
,	Fw	,
accompli	Ge	ACCOMPLIR
de	S	DE
tout	Di	TOUT
point	Nc	POINT
;	Fw	;
Qu'	Vvc	Qu'
il	Pp	IL
ait	Vuc	AVOIR
,	Fw	,
avec	S	AVEC
du	S+Da	DE+LE
bien	Nc	BIEN
,	Fw	,
une	Dn	UN
honnête	Ag	HONNÊTE
naissance	Nc	NAISSANCE
;	Fw	;
Qu'	Vvc	Qu'
il	Pp	IL
ne	Rp	NE
fasse	Vvc	FAIRE
point	Rg	POINT
voir	Vvn	VOIR
ces	Dd	CE
traits	Nc	TRAIT|TRAITS
de	S	DE
pétulance	Nc	PÉTULANCE
,	Fw	,
Ces	Vvc	Ces
actions	Nc	ACTION
de	S	DE
fou	Ag	FOU
,	Fw	,
ces	Dd	CE
airs	Nc	AIR
évaporés	Ge	ÉVAPORER
,	Fw	,
Dignes	Vvc	Dignes
productions	Nc	PRODUCTION
des	S+Da	DE+LE|DE+LES
cerveaux	Nc	CERVEAU
mal	Rg	MAL
timbrés	Ge	TIMBRER
;	Fw	;
Qu'	Vvc	Qu'
il	Pp	IL
ait	Vuc	AVOIR
auprès	Rg	AUPRÈS
du	S+Da	DE+LE
sexe	Nc	SEXE
un	Dn	UN
peu	Rg	PEU
de	S	DE
politesse	Nc	POLITESSE
;	Fw	;
Qu'	Vvc	Qu'
il	Pp	IL
mêle	Vvc	MÊLER
à	S	À
ses	Ds	SON
discours	Nc	DISCOURS
certain	Ag	CERTAIN
air	Nc	AIR
de	S	DE
sagesse	Nc	SAGESSE
;	Fw	;
Qu'	Vvc	Qu'
il	Pp	IL
ne	Rp	NE
soit	Vuc	ÊTRE
point	Rg	POINT
enfin	Rg	ENFIN
,	Fw	,
pour	S	POUR
tout	Pi	TOUT
dire	Vvn	DIRE
de	S	DE
lui	Pp	IL
,	Fw	,
Comme	Vvc	Comme
les	Da	LE
jeunes	Ag	JEUNE
gens	Nc	GENS|GENT
que	Pr	QUE
je	Pp	JE
vois	Vvc	ALLER|VOIR
aujourd'hui	Rg	AUJOURD'HUI
.	Fs	.
Cet	Dd	CE
homme	Nc	HOMME
à	S	À
rencontrer	Vvn	RENCONTRER
sera	Vuc	ÊTRE
très	Rg	TRÈS
difficile	Ag	DIFFICILE
;	Fw	;
Et	Vvc	Et
,	Fw	,
si	Cs	SI
vous	Pp	VOUS
le	Pp	IL
trouvez	Vvc	TROUVER
,	Fw	,
je	Pp	JE
vous	Pp	VOUS
tiens	Vvc	TENIR
fort	Rg	FORT
habile	Ag	HABILE
.	Fs	.
Vous	Pp	VOUS
nous	Pp	NOUS
en	Pp	EN
faites	Vvc	FAIRE
voir	Vvn	VOIR
un	Dn	UN
rare	Ag	RARE
et	Cc	ET
beau	Ag	BEAU
portrait	Nc	PORTRAIT
:	Fw	:
Et	Cc	ET
si	Cs	SI
vous	Pp	VOUS
ne	Rp	NE
voulez	Vvc	VOULOIR
de	S	DE
gendre	Nc	GENDRE
qu'	Pr	QUE
ainsi	Rg	AINSI
fait	Ge	FAIRE
,	Fw	,
Quoique	Ag	Quoique
Isabelle	Nc	Isabelle
soit	Vuc	ÊTRE
et	Cc	ET
riche	Nc	RICHE
et	Cc	ET
de	S	DE
