Viens	Vvc	VENIR
,	Fw	,
suis	Vuc	ÊTRE
-moi	Vvc	-moi
.	Fs	.
La	Da	LE
sultane	Nc	SULTANE
en	S	EN
ce	Dd	CE
lieu	Nc	LIEU
se	Pp	IL
doit	Vvc	DEVOIR
rendre	Vvn	RENDRE
.	Fs	.
Je	Pp	JE
pourrai	Vvc	POUVOIR
cependant	Rg	CEPENDANT
te	Pp	TU
parler	Vvn	PARLER
,	Fw	,
et	Cc	ET
t'	Pp	TU
entendre	Vvn	ENTENDRE
.	Fs	.
Et	Cc	ET
depuis	S	DEPUIS
quand	Cs	QUAND
Seigneur	Nc	SEIGNEUR
,	Fw	,
entre-t	Nc	entre-t
-on	Nc	-on
dans	S	DANS
ces	Dd	CE
lieux	Nc	LIEU|LIEUX
,	Fw	,
Dont	Vvc	Dont
l'	Da	LE
accès	Nc	ACCÈS
était	Vuc	ÊTRE
même	Rg	MÊME
interdit	Ge	INTERDIRE
à	S	À
nos	Ds	NOTRE
yeux	Nc	OEIL|YEUX
?	Fs	?
Jadis	Rg	JADIS
une	Dn	UN
mort	Nc	MORT
prompte	Ag	PROMPT
eut	Vuc	AVOIR
suivi	Ge	SUIVRE
cette	Dd	CE
audace	Nc	AUDACE
.	Fs	.
Quand	Cs	QUAND
tu	Pp	TU
seras	Vuc	ÊTRE
instruit	Ge	INSTRUIRE
de	S	DE
tout	Pi	TOUT
ce	Pd	CE
qui	Pr	QUI
se	Pp	IL
passe	Vvc	PASSER
,	Fw	,
Mon	Nc	Mon
entrée	Ge	ENTRER
en	S	EN
ces	Dd	CE
lieux	Nc	LIEU|LIEUX
ne	Rp	NE
te	Pp	TU
surprendra	Vvc	SURPRENDRE
plus	Rg	PLUS
.	Fs	.
Mais	Cc	MAIS
laissons	Vvc	LAISSER
,	Fw	,
cher	Ag	CHER
Osmin	Nc	Osmin
,	Fw	,
les	Da	LE
discours	Nc	DISCOURS
superflus	Ag	SUPERFLU
.	Fs	.
Que	Cs	QUE
ton	Ds	TON
retour	Nc	RETOUR
tardait	Vvc	TARDER
à	S	À
mon	Ds	MON
impatience	Nc	IMPATIENCE
!	Fs	!
Et	Cc	ET
que	Cs	QUE
d'	S	DE
un	Dn	UN
oil	Nc	OÏL
content	Ag	CONTENT
je	Pp	JE
te	Pp	TU
vois	Vvc	ALLER|VOIR
dans	S	DANS
Byzance	Nc	Byzance
!	Fs	!
Instruis	Vvc	INSTRUIRE
-moi	Vvc	-moi
des	Dn	UN
secrets	Nc	SECRET
que	Pr	QUE
peut	Vvc	POUVOIR
t'	Pp	TU
avoir	Vun	AVOIR
appris	Ge	APPRENDRE
Un	Vvc	Un
voyage	Nc	VOYAGE
si	Rg	SI
long	Ag	LONG
pour	S	POUR
moi	Pp	JE
seul	Ag	SEUL
entrepris	Ge	ENTREPRENDRE
.	Fs	.
De	S	DE
ce	Pd	CE
qu'	Pr	QUE
ont	Vuc	AVOIR
vu	Ge	VOIR
tes	Ds	TON
yeux	Nc	OEIL|YEUX
parle	Vvc	PARLER
en	S	EN
témoin	Nc	TÉMOIN
sincère	Ag	SINCÈRE
.	Fs	.
Songe	Vvc	SONGER
que	Cs	QUE
du	S+Da	DE+LE
récit	Nc	RÉCIT
,	Fw	,
Osmin	Nc	Osmin
,	Fw	,
que	Cs	QUE
tu	Pp	TU
vas	Vvc	ALLER
faire	Vvn	FAIRE
,	Fw	,
Dépendent	Vvc	Dépendent
les	Da	LE
destins	Nc	DESTIN
de	S	DE
l'	Da	LE
