Cela	Pd	CELA
ne	Rp	NE
reçoit	Vvc	RECEVOIR
pas	Rg	PAS
la	Da	LE
moindre	Ag	MOINDRE
difficulté	Nc	DIFFICULTÉ
,	Fw	,
Monsieur	Nc	MONSIEUR
le	Da	LE
Tabellion	Nc	TABELLION
;	Fw	;
et	Cc	ET
dès	S	DÈS
que	Cs	QUE
toute	Di	TOUT
la	Da	LE
famille	Nc	FAMILLE
en	Pp	EN
est	Vuc	ÊTRE
d’accort	Ag	d’accort
avec	S	AVEC
moi	Pp	JE
,	Fw	,
cette	Dd	CE
petite	Ag	PETIT
supercherie	Nc	SUPERCHERIE
n’est	Ag	n’est
qu’une	Nc	qu’une
bagatelle	Nc	BAGATELLE
.	Fs	.
Hé	Vvc	Hé
bien	Rg	BIEN
soit	Vuc	ÊTRE
,	Fw	,
vous	Pp	VOUS
le	Pp	IL
voulez	Vvc	VOULOIR
comme	S	COMME
çà	Nc	çà
,	Fw	,
je	Pp	JE
veux	Vvc	VOULOIR
itou	Rg	ITOU
:	Fw	:
vous	Pp	VOUS
êtes	Vuc	ÊTRE
Procureur	Nc	PROCUREUR
de	S	DE
Paris	Nc	PARI
,	Fw	,
et	Cc	ET
je	Pp	JE
ne	Rp	NE
suis	Vuc	ÊTRE
que	Rg	QUE
Tabellion	Nc	TABELLION
de	S	DE
Village	Nc	VILLAGE
;	Fw	;
comme	Cs	COMME
votre	Ds	VOTRE
charge	Nc	CHARGE|CHARGÉ
vaut	Vvc	VALOIR
mieux	Rg	MIEUX
que	Cs	QUE
la	Da	LE
mienne	Ps	MIEN
,	Fw	,
je	Pp	JE
serais	Vuc	ÊTRE
un	Dn	UN
impertinent	Nc	IMPERTINENT
de	S	DE
vouloir	Vvn	VOULOIR
que	Cs	QUE
ma	Ds	MON
conscience	Nc	CONSCIENCE
fût	Vuc	ÊTRE
meilleure	Ag	MEILLEUR
que	Cs	QUE
la	Da	LE
vôtre	As#Ps	VÔTRE
.	Fs	.
Il	Pp	IL
ne	Rp	NE
s’agit	Vvc	s’agit
point	Rg	POINT
de	S	DE
conscience	Nc	CONSCIENCE
là-dedans	Rg	LÀ-DEDANS
,	Fw	,
et	Cc	ET
entre	S	ENTRE
personne	Pi	PERSONNE
du	S+Da	DE+LE
métier	Nc	MÉTIER
...	Fs	...
Cela	Vvc	CELER
est	Vuc	ÊTRE
vrai	Ag	VRAI
,	Fw	,
vous	Pp	VOUS
avez	Vuc	AVOIR
raison	Nc	RAISON
,	Fw	,
il	Pp	IL
ne	Rp	NE
peut	Vvc	POUVOIR
pas	Rg	PAS
agir	Vvn	AGIR
d’une	Nc	d’une
chose	Nc	CHOSE
qu’on	Nc	qu’on
n’a	Vvc	n’a
pas	Rg	PAS
:	Fw	:
mais	Cc	MAIS
tout	Di	TOUT
coup	Nc	COUP
vaille	Vvc	VALOIR
,	Fw	,
il	Pp	IL
ne	Rp	NE
m’importe	Vvc	m’importe
,	Fw	,
pourvu	Ge	POURVOIR
que	Cs	QUE
je	Pp	JE
sois	Vuc	ÊTRE
bien	Rg	BIEN
payé	Ge	PAYER
,	Fw	,
et	Cc	ET
que	Cs	QUE
vous	Pp	VOUS
accommodiais	Vvc	accommodiais
vous	Pp	VOUS
-même	Vvc	-même
toute	Di	TOUT
cette	Dd	CE
manigance	Nc	MANIGANCE
-là	Vvc	-là
,	Fw	,
je	Pp	JE
ne	Rp	NE
dirai	Vvc	DIRE
mot	Nc	MOT
,	Fw	,
et	Cc	ET
je	Pp	JE
vous	Pp	VOUS
laisserai	Vvc	LAISSER
faire	Vvn	FAIRE
,	Fw	,
il	Pp	IL
ne	Rp	NE
vous	Pp	VOUS
en	Pp	EN
faudra	Vvc	FAILLIR|FALLOIR
pas	Rg	PAS
davantage	Rg	DAVANTAGE
.	Fs	.
