Donne	Vvc	DONNER
à	S	À
Roger	Nc	Roger
des	S+Da	DE+LE|DE+LES
bornes	Nc	BORNE
à	S	À
ton	Ds	TON
zèle	Nc	ZÈLE
,	Fw	,
Tes	Vvc	Tes
soupçons	Nc	SOUPÇON
lui	Pp	IL
font	Vvc	FAIRE
tort	Nc	TORT
,	Fw	,
il	Pp	IL
n'	Rp	NE
est	Vuc	ÊTRE
point	Rg	POINT
infidèle	Ag	INFIDÈLE
.	Fs	.
Trop	Rg	TROP
d'	S	DE
amour	Nc	AMOUR
m'	Pp	JE
a	Vuc	AVOIR
toujours	Rg	TOUJOURS
répondu	Ge	RÉPONDRE
de	S	DE
sa	Ds	SON
foi	Nc	FOI
,	Fw	,
Pour	Nc	POUR
le	Pp	IL
croire	Vvn	CROIRE
touché	Ge	TOUCHER
d'	S	DE
une	Dn	UN
autre	Ag	AUTRE
que	Cs	QUE
de	S	DE
moi	Pp	JE
.	Fs	.
Même	Vvc	Même
ardeur	Nc	ARDEUR
à	S	À
tous	Di	TOUT
deux	Nc	DEUX
nous	Pp	NOUS
rend	Vvc	RENDRE
l'	Da	LE
âme	Nc	ÂME
constante	Ag	CONSTANT
,	Fw	,
En	Vvc	En
quelque	Di	QUELQUE
lieu	Nc	LIEU
qu'	Pr	QUE
il	Pp	IL
soit	Vuc	ÊTRE
,	Fw	,
il	Pp	IL
aime	Vvc	AIMER
Bradamante	Ag	Bradamante
,	Fw	,
Et	Vvc	Et
sensible	Ag	SENSIBLE
au	S+Da	À+LE
malheur	Nc	MALHEUR
qui	Pr	QUI
m'	Pp	JE
accable	Vvc	ACCABLER
aujourd'hui	Rg	AUJOURD'HUI
,	Fw	,
Il	Vvc	Il
soupire	Ge	SOUPIRER
pour	S	POUR
moi	Pp	JE
comme	Cs	COMME
je	Pp	JE
fais	Vvc	FAIRE
pour	S	POUR
lui	Pp	IL
.	Fs	.
La	Da	LE
valeur	Nc	VALEUR
de	S	DE
Roger	Nc	Roger
aux	S+Da	À+LES
plus	Rg	PLUS
fiers	Ag	FIER
redoutable	Ag	REDOUTABLE
,	Fw	,
Pour	Nc	POUR
vous	Pp	VOUS
toute	Di	TOUT
Guerrière	Nc	Guerrière
a	Vuc	AVOIR
pu	Ge	POUVOIR
le	Da	LE
