Pourquoi	Rt	POURQUOI
tant	Rg	TANT
balancer	Vvn	BALANCER
,	Fw	,
quand	Cs	QUAND
pour	S	POUR
vous	Pp	VOUS
tout	Pi	TOUT
conspire	Vvc	CONSPIRER
?	Fs	?
Vous	Pp	VOUS
devez	Vvc	DEVOIR
vous	Pp	VOUS
saisir	Vvn	SAISIR
des	Dn	UN
rênes	Nc	RÊNE
de	S	DE
l'	Da	LE
Empire	Nc	EMPIRE
,	Fw	,
Babylone	Vvc	Babylone
est	Vuc	ÊTRE
pour	S	POUR
vous	Pp	VOUS
;	Fw	;
Alexandre	Nc	Alexandre
en	S	EN
mourant	Ga	MOURIR
,	Fw	,
Vous	Nc	Vous
a	Vuc	AVOIR
donné	Ge	DONNER
du	S+Da	DE+LE
trône	Nc	TRÔNE
un	Dn	UN
illustre	Ag	ILLUSTRE
garant	Nc	GARANT
,	Fw	,
Seigneur	Nc	SEIGNEUR
,	Fw	,
et	Cc	ET
sur	S	SUR
vous	Pp	VOUS
seul	Rg	SEUL
remettant	Ga	REMETTRE
sa	Ds	SON
Couronne	Nc	COURONNE
,	Fw	,
C'	Vvc	C'
est	Vuc	ÊTRE
avec	S	AVEC
son	Ds	SON
anneau	Nc	ANNEAU
l'	Da	LE
Univers	Nc	UNIVERS
qu'	Pr	QUE
il	Pp	IL
vous	Pp	VOUS
donne	Vvc	DONNER
.	Fs	.
Ce	Dd	CE
jour	Nc	JOUR
doit	Vvc	DEVOIR
décider	Vvn	DÉCIDER
de	S	DE
tant	Rg	TANT
de	S	DE
différends	Nc	DIFFÉREND
,	Fw	,
La	Vvc	La
Terre	Nc	TERRE
veut	Vvc	VOULOIR
un	Dn	UN
maître	Nc	MAÎTRE
,	Fw	,
et	Cc	ET
non	Rg	NON
pas	Rg	PAS
des	Dn	UN
tyrans	Nc	TYRAN
.	Fs	.
Le	Da	LE
fier	Ag	FIER
Léonatus	Nc	Léonatus
,	Fw	,
Cratère	Vvc	Cratère
,	Fw	,
Ptolomée	Vvc	Ptolomée
,	Fw	,
Ont	Vvc	Ont
mis	Ge	METTRE
dans	S	DANS
leur	Ds	LEUR
parti	Nc	PARTI
la	Da	LE
moitié	Nc	MOITIÉ
de	S	DE
l'	Da	LE
armée	Nc	ARMÉE
,	Fw	,
On	Vvc	On
veut	Vvc	VOULOIR
nous	Pp	NOUS
assiéger	Vvn	ASSIÉGER
,	Fw	,
mais	Cc	MAIS
on	Pp	ON
voit	Vvc	VOIR
Seleucus	Nc	Seleucus
Eumenes	Vvc	Eumenes
,	Fw	,
Alcetas	Vvc	Alcetas
,	Fw	,
Python	Nc	PYTHON
,	Fw	,
Antigonus	Vvc	Antigonus
,	Fw	,
Qui	Vvc	Qui
soutenant	Ga	SOUTENIR
le	Da	LE
droit	Nc	DROIT
où	Pr	OÙ
votre	Ds	VOTRE
espoir	Nc	ESPOIR
se	Pp	IL
fonde	Vvc	FONDER|FONDRE
,	Fw	,
Veulent	Vvc	VOULOIR
vous	Pp	VOUS
élever	Vvn	ÉLEVER
à	S	À
l'	Da	LE
Empire	Nc	EMPIRE
du	S+Da	DE+LE
Monde	Nc	MONDE
;	Fw	;
L'	Vvc	L'
imbécile	Ag	IMBÉCILE
Philipe	Nc	Philipe
est-il	Ag	est-il
né	Ge	NAÎTRE
pour	S	POUR
régner	Vvn	RÉGNER
?	Fs	?
Les	Da	LE
Macédoniens	Nc	Macédoniens
ont	Vuc	AVOIR
su	Ge	SAVOIR
le	Da	LE
dédaigner	Nc	DÉDAIGNER
.	Fs	.
Bien	Rg	BIEN
que	Cs	QUE
fils	Nc	FIL|FILS
de	S	DE
Philipe	Nc	Philipe
et	Cc	ET
frère	Nc	FRÈRE
d'	S	DE
Alexandre	Nc	Alexandre
,	Fw	,
Est-il	Vvc	Est-il
digne	Ag	DIGNE
du	S+Da	DE+LE
sang	Nc	SANG
dont	Pr	DONT
on	Pp	ON
l'	Pp	IL
a	Vuc	AVOIR
vu	Ge	VOIR
descendre	Vvn	DESCENDRE
?	Fs	?
Peut-il	Vvc	Peut-il
seul	Ag	SEUL
commander	Vvn	COMMANDER
à	S	À
cent	Nc	CENT
Peuples	Vvc	PEUPLER
vaincus	Ge	VAINCRE
,	Fw	,
Et	Vvc	Et
frère	Ag	FRÈRE
d'	S	DE
Alexandre	Nc	Alexandre
a-t-il	V	AVOIR
les	Da	LE
vertus	Nc	VERTU
?	Fs	?
Ce	Pd	CE
n'	Rp	NE
est	Vuc	ÊTRE
point	Rg	POINT
lui	Pp	IL
qu'	Rg	QUE
au	S+Da	À+LE
trône	Nc	TRÔNE
Alexandre	Nc	Alexandre
désigne	Vvc	DÉSIGNER
,	Fw	,
Ce	Vvc	Ce
Monarque	Nc	MONARQUE
en	S	EN
mourant	Ga	MOURIR
le	Pp	IL
remet	Vvc	REMETTRE
au	S+Da	À+LE
plus	Rg	PLUS
digne	Ag	DIGNE
,	Fw	,
Par	Nc	PAR
là	Rg	LÀ
sans	S	SANS
vous	Pp	VOUS
nommer	Vvn	NOMMER
il	Pp	IL
vous	Pp	VOUS
nomme	Vvc	NOMMER
en	S	EN
effet	Nc	EFFET
,	Fw	,
Et	Vvc	Et
scelle	Nc	SCELLÉ
de	S	DE
sa	Ds	SON
main	Nc	MAIN
le	Da	LE
don	Nc	DON
qu'	Pr	QUE
il	Pp	IL
vous	Pp	VOUS
en	Pp	EN
fait	Vvc	FAIRE
.	Fs	.
Je	Pp	JE
sais	Vvc	SAVOIR
trop	Rg	TROP
d'	S	DE
Alexandre	Nc	Alexandre
