Quoi	Pt	QUE|QUOI
suprêmes	Ag	SUPRÊME
puissances	Nc	PUISSANCE
:	Fw	:
Il	Pp	IL
faut	Vvc	FAILLIR|FALLOIR
des	Dn	UN
flots	Nc	FLOT
de	S	DE
sang	Nc	SANG
pour	S	POUR
laver	Vvn	LAVER
nos	Ds	NOTRE
offenses	Nc	OFFENSE|OFFENSÉ
.	Fs	.
Rappellerai	Vvc	RAPPELER
-je	Vvn	-je
ici	Rg	ICI
ce	Dd	CE
jour	Nc	JOUR
,	Fw	,
où	Pr	OÙ
leur	Ds	LEUR
courroux	Nc	COURROUX
,	Fw	,
Avec	Vvc	Avec
tant	Rg	TANT
de	S	DE
rigueur	Nc	RIGUEUR
éclata	Vvc	ÉCLATER
contre	S	CONTRE
nous	Pp	NOUS
?	Fs	?
Méléagre	Vvc	Méléagre
échappé	Ge	ÉCHAPPER
d'	S	DE
un	Dn	UN
péril	Nc	PÉRIL
effroyable	Ag	EFFROYABLE
,	Fw	,
Revenait	Vvc	REVENIR
triomphant	Ga	TRIOMPHER
d'	S	DE
un	Dn	UN
peuple	Nc	PEUPLE
formidable	Ag	FORMIDABLE
.	Fs	.
Sa	Ds	SON
mère	Nc	MÈRE
,	Fw	,
soeur	Nc	SUR
du	S+Da	DE+LE
Prince	Nc	PRINCE
à	S	À
qui	Pr	QUI
je	Pp	JE
dois	Vvc	DEVOIR
le	Da	LE
jour	Nc	JOUR
,	Fw	,
Pour	Nc	POUR
nous	Pp	NOUS
unir	Vvn	UNIR
tous	Di	TOUT
deux	Nc	DEUX
attendait	Vvc	ATTENDRE
son	Ds	SON
retour	Nc	RETOUR
;	Fw	;
Et	Vvc	Et
pour	S	POUR
suivre	Vvn	SUIVRE
du	S+Da	DE+LE
Roy	Nc	ROI
la	Da	LE
volonté	Nc	VOLONTÉ
suprême	Ag	SUPRÊME
.	Fs	.
Devait	Vvc	DEVOIR
quitter	Vvn	QUITTER
pour	S	POUR
nous	Pp	NOUS
l'	Da	LE
éclat	Nc	ÉCLAT
du	S+Da	DE+LE
diadème	Nc	DIADÈME
.	Fs	.
Car	Cc	CAR
,	Fw	,
tu	Pp	TU
n'	Rp	NE
ignores	Vvc	IGNORER
pas	Rg	PAS
qu'	Cs	QUE
à	S	À
son	Ds	SON
dernier	Ag	DERNIER
moment	Nc	MOMENT
Il	Ag	Il
voulut	Vvc	VOULOIR
de	S	DE
la	Da	LE
Reine	Vvc	Reine
exiger	Vvn	EXIGER
un	Dn	UN
ferment	Nc	FERMENT
:	Fw	:
Pour	S	POUR
remettre	Vvn	REMETTRE
à	S	À
leur	Ds	LEUR
fils	Nc	FIL|FILS
le	Da	LE
trône	Nc	TRÔNE
de	S	DE
son	Ds	SON
père	Nc	PÈRE
,	Fw	,
Quand	Nc	Quand
l'	Da	LE
âge	Nc	ÂGE
à	S	À
notre	Ds	NOTRE
hymen	Nc	HYMEN
ne	Rp	NE
serait	Vuc	ÊTRE
plus	Rg	PLUS
contraire	Ag	CONTRAIRE
.	Fs	.
J'	Pp	JE
ignore	Vvc	IGNORER
quel	Dt	QUEL
forfait	Nc	FORFAIT
,	Fw	,
ou	Cc	OU
plutôt	Rg	PLUTÔT
quel	Dt	QUEL
malheur	Nc	MALHEUR
,	Fw	,
De	Vvc	De
Diane	Nc	DIANE
sur	S	SUR
nous	Pp	NOUS
attira	Vvc	ATTIRER
la	Da	LE
fureur	Nc	FUREUR
.	Fs	.
Les	Da	LE
uns	Pi	UN
l'	Pp	IL
ont	Vuc	AVOIR
imputée	Ge	IMPUTER
au	S+Da	À+LE
mépris	Nc	MÉPRIS
de	S	DE
la	Da	LE
Reine	Nc	REINE|ROI
;	Fw	;
Mais	Vvc	Mais
je	Pp	JE
me	Pp	JE
crus	Vvc	CROIRE|CROÎTRE
dès	S	DÈS
lors	Rg	LORS
le	Da	LE
sujet	Nc	SUJET
de	S	DE
sa	Ds	SON
haine	Nc	HAINE
;	Fw	;
Et	Vvc	Et
que	Cs	QUE
par	S	PAR
trop	Rg	TROP
d'	S	DE
orgueil	Nc	ORGUEIL
mon	Ds	MON
coeur	Nc	CUR
fut	Vuc	ÊTRE
entraîné	Ge	ENTRAÎNER
Quand	Nc	Quand
je	Pp	JE
vis	Vvc	VIVRE|VOIR
le	Da	LE
bonheur	Nc	BONHEUR
qui	Pr	QUI
m'	Pp	JE
était	Vuc	ÊTRE
destiné	Ge	DESTINER
.	Fs	.
Quoi	Pt	QUE|QUOI
qu'	Cs	QUE
il	Pp	IL
en	Pp	EN
soit	Vuc	ÊTRE
,	Fw	,
trompant	Ga	TROMPER
cette	Dd	CE
heureuse	Ag	HEUREUX
espérance	Nc	ESPÉRANCE
,	Fw	,
Le	Vvc	Le
monstre	Nc	MONSTRE
en	S	EN
même	Ag	MÊME
temps	Nc	TEMPS
fit	Vvc	FAIRE
sentir	Vvn	SENTIR
sa	Ds	SON
vengeance	Nc	VENGEANCE
.	Fs	.
Combien	Rg	COMBIEN
,	Fw	,
depuis	S	DEPUIS
un	Dn	UN
an	Nc	AN
qu'	Pr	QUE
il	Pp	IL
désole	Vvc	DÉSOLER
ces	Dd	CE
bords	Nc	BORD
,	Fw	,
Les	Vvc	Les
a-t	Ag	a-t
-on	Nc	-on
vu	Ge	VOIR
semés	Ge	SEMER
de	S	DE
carnage	Nc	CARNAGE
et	Cc	ET
de	S	DE
morts	Nc	MORT
?	Fs	?
En	S	EN
vain	Ag	VAIN
pour	S	POUR
le	Pp	IL
combattre	Vvn	COMBATTRE
on	Pp	ON
va	Vvc	ALLER
tout	Rg	TOUT
entreprendre	Vvn	ENTREPRENDRE
La	Vvc	La
Déesse	Nc	Déesse
irritée	Ge	IRRITER
a	S	À
soin	Nc	SOIN
de	S	DE
le	Pp	IL
défendre	Vvn	DÉFENDRE
.	Fs	.
Je	Pp	JE
connais	Vvc	CONNAÎTRE
Méléagre	Vvc	Méléagre
,	Fw	,
et	Cc	ET
je	Pp	JE
sais	Vvc	SAVOIR
que	Cs	QUE
son	Ds	SON
bras	Nc	BRAS
,	Fw	,
Pour	Nc	POUR
sauver	Vvn	SAUVER
son	Ds	SON
pays	Nc	PAYS
ne	Rp	NE
s'	Pp	SE
épargnera	Vvc	ÉPARGNER
pas	Rg	PAS
.	Fs	.
Toujours	Rg	TOUJOURS
infatigable	Ag	INFATIGABLE
,	Fw	,
et	Cc	ET
toujours	Rg	TOUJOURS
magnanime	Ag	MAGNANIME
,	Fw	,
Plus	Vvc	PLAIRE
le	Da	LE
péril	Nc	PÉRIL
est	Vuc	ÊTRE
grand	Ag	GRAND
,	Fw	,
plus	Rg	PLUS
la	Da	LE
gloire	Nc	GLOIRE
l'	Pp	IL
anime	Vvc	ANIMER
;	Fw	;
Et	Vvc	Et
peut-être	Rg	PEUT-ÊTRE
du	S+Da	DE+LE
monstre	Nc	MONSTRE
éprouvant	Ga	ÉPROUVER
les	Da	LE
fureurs	Nc	FUREUR
...	Fs	...
Hé	Vvc	Hé
pourquoi	Rt	POURQUOI
vous	Pp	VOUS
former	Vvn	FORMER
ces	Dd	CE
indignes	Ag	INDIGNE
terreurs	Nc	TERREUR
?	Fs	?
Songez	Vvc	SONGER
plutôt	Rg	PLUTÔT
,	Fw	,
combien	Rg	COMBIEN
tous	Di	TOUT
nos	Ds	NOTRE
Oracles	Nc	ORACLE
,	Fw	,
À	Nc	À
ce	Pd	CE
Prince	Vvc	Prince
en	S	EN
naissant	Ga	NAÎTRE
promirent	Vvc	PROMETTRE
de	S	DE
miracles	Nc	MIRACLE
.	Fs	.
Comment	Rt	COMMENT
,	Fw	,
si	Rg	SI
jeune	Ag	JEUNE
encore	Rg	ENCORE
,	Fw	,
par	S	PAR
sa	Ds	SON
feule	Ge	FEULER
valeur	Nc	VALEUR
,	Fw	,
Des	Vvc	Des
tyrans	Nc	TYRAN
de	S	DE
la	Da	LE
Crète	Nc	Crète
il	Pp	IL
dompta	Vvc	DOMPTER
la	Da	LE
fureur	Nc	FUREUR
.	Fs	.
Alors	Rg	ALORS
,	Fw	,
vous	Pp	VOUS
le	Pp	IL
savez	Vvc	SAVOIR
,	Fw	,
j'	Pp	JE
excusais	Vvc	EXCUSER
vos	Ds	VOTRE
alarmes	Nc	ALARME
,	Fw	,
.	Fs	.
Il	Pp	IL
n'	Rp	NE
avait	Vuc	AVOIR
point	Rg	POINT
encor	Nc	encor
de	S	DE
renom	Nc	RENOM
dans	S	DANS
les	Da	LE
armes	Nc	ARME|ARMÉ
,	Fw	,
Cependant	Ga	Cependant
on	Pp	ON
le	Pp	IL
vit	Vvc	VIVRE|VOIR
au	S+Da	À+LE
sortir	Vvn	SORTIR
de	S	DE
nos	Ds	NOTRE
bois	Nc	BOIS
,	Fw	,
Combattre	Nc	COMBATTRE
,	Fw	,
et	Cc	ET
triompher	Vvn	TRIOMPHER
,	Fw	,
pour	S	POUR
la	Da	LE
première	Ag	PREMIER
fois	Nc	FOI|FOIS
.	Fs	.
Peut-être	Vvc	Peut-être
que	Cs	QUE
du	S+Da	DE+LE
Monstre	Nc	MONSTRE
,	Fw	,
ainsi	Rg	AINSI
que	Cs	QUE
de	S	DE
la	Da	LE
Crète	Nc	Crète
,	Fw	,
Le	Vvc	Le
destin	Nc	DESTIN
à	S	À
son	Ds	SON
bras	Nc	BRAS
réserve	Vvc	RÉSERVER
la	Da	LE
défaite	Nc	DÉFAITE
:	Fw	:
Qu'	Cs	QUE
après	S	APRÈS
cette	Dd	CE
victoire	Nc	VICTOIRE
on	Pp	ON
verra	Vvc	VOIR
renouer	Vvn	RENOUER|RÉNOVER
Un	Vvc	Un
hymen	Nc	HYMEN
,	Fw	,
que	Cs	QUE
le	Da	LE
Ciel	Nc	CIEL
ne	Rp	NE
peut	Vvc	POUVOIR
désavouer	Vvn	DÉSAVOUER
:	Fw	:
Et	Cc	ET
qu'	Cs	QUE
il	Pp	IL
n'	Rp	NE
a	Vuc	AVOIR
rassemblé	Ge	RASSEMBLER
l'	Da	LE
élite	Nc	ÉLITE
de	S	DE
la	Da	LE
Grèce	Nc	Grèce
,	Fw	,
Que	Vvc	Que
pour	S	POUR
en	Pp	EN
augmenter	Vvn	AUGMENTER
la	Da	LE
Pompe	Nc	POMPE
et	Cc	ET
l'	Da	LE
allégresse	Nc	ALLÉGRESSE
.	Fs	.
Non	Rg	NON
,	Fw	,
non	Rg	NON
,	Fw	,
de	S	DE
mes	Ds	MON
parents	Nc	PARENT
j'	Pp	JE
ai	Vuc	AVOIR
trop	Rg	TROP
à	S	À
redouter	Vvn	REDOUTER
,	Fw	,
Ils	Vvc	Ils
font	Vvc	FAIRE
trop	Rg	TROP
attachés	Ge	ATTACHER
à	S	À
me	Pp	JE
persécuter	Vvn	PERSÉCUTER
;	Fw	;
Mais	Vvc	Mais
j'	Pp	JE
espère	Vvc	ESPÉRER
qu'	Cs	QUE
un	Dn	UN
jour	Nc	JOUR
...	Fs	...
Contraignez	Vvc	CONTRAINDRE
-vous	Nc	-vous
de	S	DE
grâce	Nc	GRÂCE
,	Fw	,
On	Vvc	On
vient	Vvc	VENIR
vous	Pp	VOUS
informer	Vvn	INFORMER
de	S	DE
tout	Pi	TOUT
ce	Pd	CE
qui	Pr	QUI
se	Pp	IL
passe	Vvc	PASSER
.	Fs	.
Thélame	Vvc	Thélame
,	Fw	,
où	Pr	OÙ
courez	Vvc	COURIR
-vous	Nc	-vous
?	Fs	?
Nos	Ds	NOTRE
Grecs	Nc	GREC
font	Vvc	FAIRE
-ils	Vvn	-ils
,	Fw	,
vainqueurs	Nc	VAINQUEUR
:	Fw	:
Ont	Vuc	AVOIR
-ils	Ge	-ils
du	S+Da	DE+LE
Monstre	Nc	MONSTRE
enfin	Rg	ENFIN
surmonté	Ge	SURMONTER
les	Da	LE
fureurs	Nc	FUREUR
?	Fs	?
Chacun	Pi	CHACUN
également	Rg	ÉGALEMENT
aspire	Ge	ASPIRER
à	S	À
cette	Dd	CE
gloire	Nc	GLOIRE
,	Fw	,
Madame	Nc	MADAME
;	Fw	;
et	Cc	ET
chaque	Di	CHAQUE
bras	Nc	BRAS
se	Pp	IL
promet	Vvc	PROMETTRE
la	Da	LE
victoire	Nc	VICTOIRE
.	Fs	.
Tout	Rg	TOUT
s'	Pp	SE
empresse	Vvc	EMPRESSER
,	Fw	,
tout	Di	TOUT
part	Nc	PART
;	Fw	;
du	S+Da	DE+LE
cor	Nc	COR
et	Cc	ET
de	S	DE
la	Da	LE
voix	Nc	VOIX
,	Fw	,
On	Vvc	On
entend	Vvc	ENTENDRE
retentir	Vvn	RETENTIR
les	Da	LE
plaines	Nc	PLAINE
,	Fw	,
et	Cc	ET
les	Da	LE
bois	Nc	BOIS
.	Fs	.
La	Da	LE
Grèce	Nc	Grèce
,	Fw	,
de	S	DE
Héros	Nc	Héros
semble	Vvc	SEMBLER
s'	Pp	SE
être	Vun	ÊTRE
épuisée	Ge	ÉPUISER
.	Fs	.
On	Pp	ON
voit	Vvc	VOIR
Pirithoüs	Ag	Pirithoüs
venir	Vvn	VENIR
avec	S	AVEC
Thésée	Nc	Thésée
.	Fs	.
Les	Da	LE
enfants	Nc	ENFANT
d'	S	DE
Orithie	Nc	Orithie
,	Fw	,
et	Cc	ET
Lyncée	Vvc	Lyncée
,	Fw	,
et	Cc	ET
Nestor	Nc	Nestor
,	Fw	,
Et	Vvc	Et
l'	Da	LE
illustre	Ag	ILLUSTRE
Plexippe	Nc	Plexippe
,	Fw	,
et	Cc	ET
Pollux	Nc	Pollux
,	Fw	,
et	Cc	ET
Castor	Nc	CASTOR
.	Fs	.
Méléagre	Vvc	Méléagre
surtout	Rg	SURTOUT
,	Fw	,
notre	Ds	NOTRE
unique	Ag	UNIQUE
espérance	Nc	ESPÉRANCE
,	Fw	,
Qui	Vvc	Qui
sort	Nc	SORT
d'	S	DE
une	Dn	UN
victoire	Nc	VICTOIRE
au	S+Da	À+LE
sortir	Vvn	SORTIR
de	S	DE
l'	Da	LE
enfance	Nc	ENFANCE
,	Fw	,
Étonne	Nc	Étonne
tous	Di	TOUT
les	Da	LE
coeurs	Nc	CUR
par	S	PAR
sa	Ds	SON
noble	Ag	NOBLE
fierté	Nc	FIERTÉ
,	Fw	,
Voyant	Ga	VOIR
tant	Rg	TANT
de	S	DE
jeunesse	Nc	JEUNESSE
,	Fw	,
et	Cc	ET
tant	Rg	TANT
de	S	DE
majesté	Nc	MAJESTÉ
.	Fs	.
Mais	Cc	MAIS
parmi	S	PARMI
ces	Dd	CE
Héros	Nc	Héros
,	Fw	,
l'	Da	LE
élite	Nc	ÉLITE
de	S	DE
la	Da	LE
Grèce	Nc	Grèce
,	Fw	,
Paraît	Vvc	Paraît
,	Fw	,
comme	Cs	COMME
en	Pp	EN
triomphe	Vvc	TRIOMPHER
,	Fw	,
une	Dn	UN
illustre	Ag	ILLUSTRE
Princesse	Nc	PRINCE|PRINCESSE
;	Fw	;
On	Vvc	On
lui	Pp	IL
voit	Vvc	VOIR
de	S	DE
Diane	Nc	DIANE
et	Cc	ET
le	Da	LE
port	Nc	PORT
,	Fw	,
et	Cc	ET
les	Da	LE
traits	Nc	TRAIT|TRAITS
,	Fw	,
Telle	Vvc	Telle
qu'	Cs	QUE
on	Pp	ON
la	Pp	IL
dépeint	Vvc	DÉPEINDRE
courant	Nc	COURANT
par	S	PAR
les	Da	LE
forêts	Nc	FORÊT
.	Fs	.
Ses	Ds	SON
cheveux	Nc	CHEVEU|CHEVEUX
par	S	PAR
les	Da	LE
vents	Nc	VENT|VENTS
flottants	Ga	FLOTTER
à	S	À
l'	Da	LE
aventure	Nc	AVENTURE
,	Fw	,
Son	Nc	SON
habit	Nc	HABIT
relevé	Ge	RELEVER
d'	S	DE
une	Dn	UN
simple	Ag	SIMPLE
parure	Nc	PARURE
,	Fw	,
Empruntent	Vvc	EMPRUNTER
tant	Rg	TANT
d'	S	DE
éclat	Nc	ÉCLAT
de	S	DE
sa	Ds	SON
seule	Ag	SEUL
beauté	Nc	BEAUTÉ
,	Fw	,
Qu'	Vvc	Qu'
elle	Pp	IL
semble	Vvc	SEMBLER
à	S	À
nos	Ds	NOTRE
yeux	Nc	OEIL|YEUX
une	Dn	UN
Divinité	Nc	Divinité
.	Fs	.
Flatté	Vvc	Flatté
par	S	PAR
ses	Ds	SON
serments	Nc	SERMENT
,	Fw	,
chacun	Pi	CHACUN
court	Vvc	COURIR
à	S	À
la	Da	LE
gloire	Nc	GLOIRE
;	Fw	;
Chacun	Ag	Chacun
pour	S	POUR
l'	Pp	IL
acquérir	Vvn	ACQUÉRIR
aspire	Vvc	ASPIRER
à	S	À
la	Da	LE
victoire	Nc	VICTOIRE
.	Fs	.
Plexippe	Nc	Plexippe
dont	Pr	DONT
le	Da	LE
zèle	Nc	ZÈLE
agit	Vvc	AGIR
également	Rg	ÉGALEMENT
,	Fw	,
N'	Vvc	N'
a	S	À
ni	Cc	NI
moins	Rg	MOINS
de	S	DE
valeur	Nc	VALEUR
,	Fw	,
ni	Cc	NI
moins	Rg	MOINS
d'	S	DE
empressement	Nc	EMPRESSEMENT
:	Fw	:
Il	Pp	IL
m'	Pp	JE
envoie	Vvc	ENVOYER
à	S	À
la	Da	LE
Reine	Nc	REINE|ROI
,	Fw	,
et	Cc	ET
je	Pp	JE
viens	Vvc	VENIR
vous	Pp	VOUS
apprendre	Vvn	APPRENDRE
,	Fw	,
Qu'	Vvc	Qu'
auprès	Rg	AUPRÈS
de	S	DE
vous	Pp	VOUS
,	Fw	,
Madame	Nc	MADAME
,	Fw	,
il	Pp	IL
va	Vvc	ALLER
bientôt	Rg	BIENTÔT
se	Pp	IL
rendre	Vvn	RENDRE
:	Fw	:
Qu'	Cs	QUE
un	Dn	UN
secret	Ag	SECRET
important	Nc	IMPORTANT
l'	Pp	IL
oblige	Vvc	OBLIGER
à	S	À
vous	Pp	VOUS
parler	Vvn	PARLER
.	Fs	.
Plexippe	Nc	Plexippe
!	Fs	!
Et	Cc	ET
quel	Dt	QUEL
secret	Nc	SECRET
me	Pp	JE
peut-il	Rg	peut-il
révéler	Vvn	RÉVÉLER
?	Fs	?
Je	Pp	JE
l'	Pp	IL
ignore	Vvc	IGNORER
,	Fw	,
et	Cc	ET
je	Pp	JE
cours	Nc	COUR|COURS|COURT
où	Pr	OÙ
mon	Ds	MON
devoir	Nc	DEVOIR
m'	Pp	JE
appelle	Vvc	APPELER
.	Fs	.
Je	Pp	JE
ne	Rp	NE
le	Pp	IL
cèle	Vvc	CELER
point	Rg	POINT
,	Fw	,
la	Da	LE
surprise	Nc	SURPRISE
est	Vuc	ÊTRE
nouvelle	Ag	NOUVEAU
.	Fs	.
Tu	Pp	TU
sais	Vvc	SAVOIR
malgré	S	MALGRÉ
le	Da	LE
sang	Nc	SANG
qui	Pr	QUI
nous	Pp	NOUS
unit	Vvc	UNIR
tous	Di	TOUT
deux	Nc	DEUX
,	Fw	,
Que	Vvc	Que
de	S	DE
mes	Ds	MON
ennemis	Nc	ENNEMI
c'	Pd	CE
est	Vuc	ÊTRE
le	Da	LE
plus	Rg	PLUS
dangereux	Ag	DANGEREUX
;	Fw	;
Après	Vvc	Après
avoir	Vun	AVOIR
vingt	Nc	VINGT
ans	Nc	AN
gouverné	Ge	GOUVERNER
cet	Dd	CE
Empire	Nc	EMPIRE
,	Fw	,
Jamais	Vvc	Jamais
à	S	À
ma	Ds	MON
grandeur	Nc	GRANDEUR
il	Pp	IL
n'	Rp	NE
a	Vuc	AVOIR
voulu	Ge	VOULOIR
souscrire	Vvn	SOUSCRIRE
,	Fw	,
Et	Vvc	Et
tu	Pp	TU
l'	Pp	IL
as	Vuc	AVOIR
vu	Ge	VOIR
constant	Ag	CONSTANT
à	S	À
ne	Rp	NE
rien	Pi	RIEN
épargner	Vvn	ÉPARGNER
,	Fw	,
Pour	Nc	POUR
troubler	Vvn	TROUBLER
un	Dn	UN
hymen	Nc	HYMEN
qui	Pr	QUI
me	Pp	JE
faisait	Vvc	FAIRE
régner	Vvn	RÉGNER
.	Fs	.
Mais	Cc	MAIS
n'	Rp	NE
est	Vuc	ÊTRE
-ce	Vvc	-ce
point	Rg	POINT
,	Fw	,
Madame	Nc	MADAME
,	Fw	,
un	Dn	UN
soupçon	Nc	SOUPÇON
qui	Pr	QUI
l'	Da	LE
offense	Nc	OFFENSE|OFFENSÉ
,	Fw	,
Il	Vvc	Il
a	Vuc	AVOIR
pris	Ge	PRENDRE
tant	Rg	TANT
de	S	DE
soins	Nc	SOIN
d'	S	DE
élever	Vvn	ÉLEVER
votre	Ds	VOTRE
enfance	Nc	ENFANCE
:	Fw	:
C'	Pd	CE
est	Vuc	ÊTRE
par	S	PAR
lui	Pp	IL
que	Cs	QUE
la	Da	LE
Reine	Nc	REINE|ROI
a	Vuc	AVOIR
conçu	Ge	CONCEVOIR
le	Da	LE
dessein	Nc	DESSEIN
D'	Ag	D'
obliger	Vvn	OBLIGER
Méléagre	Vvc	Méléagre
à	S	À
vous	Pp	VOUS
donner	Vvn	DONNER
la	Da	LE
main	Nc	MAIN
.	Fs	.
De	S	DE
ce	Dd	CE
Prince	Nc	PRINCE
,	Fw	,
d'ailleurs	Nc	d'ailleurs
,	Fw	,
vantant	Ga	VANTER
la	Da	LE
renommée	Nc	RENOMMÉE
,	Fw	,
Lui	Nc	Lui
vit-il	Vvc	vit-il
à	S	À
regret	Nc	REGRET
commander	Vvn	COMMANDER
une	Dn	UN
armée	Nc	ARMÉE
,	Fw	,
Et	Vvc	Et
lorsqu'	Cs	LORSQUE
à	S	À
la	Da	LE
victoire	Nc	VICTOIRE
il	Pp	IL
brûlait	Vvc	BRÛLER
de	S	DE
courir	Vvn	COURIR
,	Fw	,
Lui	Nc	Lui
ferma-t-il	Vvc	ferma-t-il
le	Da	LE
champ	Nc	CHAMP|CHAMPAGNE
qu'	Pr	QUE
il	Pp	IL
venait	Vvc	VENIR
de	S	DE
s'	Pp	SE
ouvrir	Vvn	OUVRIR
.	Fs	.
Ce	Pd	CE
fut	Vuc	ÊTRE
bien	Rg	BIEN
malgré	S	MALGRÉ
lui	Pp	IL
que	Cs	QUE
tout	Pi	TOUT
couvert	Ge	COUVRIR
de	S	DE
