Oui	Rg	OUI
Rome	Ag	Rome
est	Vuc	ÊTRE
inflexible	Ag	INFLEXIBLE
et	Cc	ET
cette	Dd	CE
criminelle	Ag	CRIMINEL
Joint	Vvc	JOINDRE
le	Da	LE
titre	Nc	TITRE
d'	S	DE
injuste	Ag	INJUSTE
à	S	À
celui	Pd	CELUI
de	S	DE
rebelle	Nc	REBELLE
,	Fw	,
Elle	Vvc	Elle
ne	Rp	NE
rend	Vvc	RENDRE
jamais	Rg	JAMAIS
ce	Pd	CE
qu'	Pr	QUE
elle	Pp	IL
a	Vuc	AVOIR
dévoré	Ge	DÉVORER
,	Fw	,
Ce	Vvc	Ce
Monstre	Vvc	MONTRER
infatigable	Ag	INFATIGABLE
est	Vuc	ÊTRE
toujours	Rg	TOUJOURS
altéré	Ge	ALTÉRER
:	Fw	:
Enfin	Rg	ENFIN
son	Ds	SON
intéressé	Nc	INTÉRESSÉ
la	Pp	IL
rend	Vvc	RENDRE
inexorable	Ag	INEXORABLE
.	Fs	.
Ah	I	AH
!	Fs	!
Malheureux	Ag	MALHEUREUX
Tarquin	Nc	Tarquin
,	Fw	,
ah	I	AH
!	Fs	!
Prince	Nc	PRINCE
déplorable	Ag	DÉPLORABLE
!	Fs	!
Où	Vvc	Où
rencontreras	Vvc	RENCONTRER
-tu	Vvn	-tu
quelque	Di	QUELQUE
fidèle	Ag	FIDÈLE
appui	Nc	APPUI
,	Fw	,
Si	Vvc	Si
tes	Ds	TON
meilleurs	Ag	MEILLEUR
amis	Nc	AMI
te	Pp	TU
quittent	Vvc	QUITTER
aujourd'hui	Rg	AUJOURD'HUI
?	Fs	?
Rome	Vvc	Rome
monstre	Nc	MONSTRE
formé	Ge	FORMER
de	S	DE
rang	Nc	RANG
d'	S	DE
âmes	Nc	ÂME
changeantes	Ag	CHANGEANT
,	Fw	,
Qui	Vvc	Qui
fais	Vvc	FAIRE
à	S	À
notre	Ds	NOTRE
État	Nc	État
cent	Nc	CENT
faces	Nc	FACE
différentes	Ag	DIFFÉRENT
,	Fw	,
Et	Vvc	Et
t'	Pp	TU
osant	Ga	OSER
dispenser	Vvn	DISPENSER
de	S	DE
nos	Ds	NOTRE
premières	Ag	PREMIER
lois	Nc	LOI
:	Fw	:
Élève	Vvc	Élève
l'	Da	LE
insolence	Nc	INSOLENCE
et	Cc	ET
détrône	Vvc	DÉTRÔNER
les	Pp	ILS
Rois	Vvc	Rois
.	Fs	.
Si	Cs	SI
le	Da	LE
dessein	Nc	DESSEIN
d'	S	DE
agir	Vvn	AGIR
contre	S	CONTRE
la	Da	LE
tyrannie	Nc	TYRANNIE
,	Fw	,
Nous	Vvc	Nous
fait	Ge	FAIRE
voir	Vvn	VOIR
maintenant	Rg	MAINTENANT
la	Da	LE
Royauté	Nc	Royauté
bannie	Ge	BANNIR
,	Fw	,
Rend	Vvc	RENDRE
au	S+Da	À+LE
moins	Nc	MOINS
,	Fw	,
rend	Vvc	RENDRE
les	Da	LE
biens	Nc	BIEN
aux	S+Da	À+LES
Rois	Vvc	Rois
que	Cs	QUE
tu	Pp	TU
bannis	Vvc	BANNIR
.	Fs	.
Et	Cc	ET
ne	Rp	NE
fais	Vvc	FAIRE
pas	Rg	PAS
contre	S	CONTRE
eux	Pp	EUX
le	Da	LE
mal	Nc	MAL
que	Pr	QUE
tu	Pp	TU
punis	Vvc	PUNIR
.	Fs	.
Pinces	Nc	PINCE
,	Fw	,
souffrirons	Vvc	SOUFFRIR
nous	Pp	NOUS
que	Cs	QUE
l'	Da	LE
audace	Nc	AUDACE
Romaine	Ag	ROMAIN
,	Fw	,
Contre	Vvc	CONTRER
nos	Ds	NOTRE
Souverains	Nc	SOUVERAIN
fasse	Vvc	FAIRE
éclater	Vvn	ÉCLATER
sa	Ds	SON
haine	Nc	HAINE
?	Fs	?
Par	S	PAR
des	Dn	UN
crimes	Nc	CRIME
plus	Rg	PLUS
grands	Ag	GRAND
et	Cc	ET
plus	Rg	PLUS
noirs	Ag	NOIR
mille	Nc	MILLE
fois	Nc	FOI|FOIS
,	Fw	,
Que	Vvc	Que
ceux	Pd	CELUI
dont	Pr	DONT
sa	Ds	SON
malice	Nc	MALICE
ose	Vvc	OSER
charger	Vvn	CHARGER
les	Pp	ILS
Rois	Vvc	Rois
.	Fs	.
Quel	Dt	QUEL
prétexte	Nc	PRÉTEXTE
,	Fw	,
quel	Dt	QUEL
droit	Nc	DROIT
peut	Vvc	POUVOIR
avoir	Vun	AVOIR
sa	Ds	SON
manie	Nc	MANIE
,	Fw	,
D'	Vvc	D'
étendre	Vvn	ÉTENDRE
sur	S	SUR
leurs	Ds	LEUR
biens	Nc	BIEN
sa	Ds	SON
lâche	Ag	LÂCHE
tyrannie	Nc	TYRANNIE
?	Fs	?
Ce	Pd	CE
n'	Rp	NE
est	Vuc	ÊTRE
plus	Rg	PLUS
l'	Da	LE
intérêt	Nc	INTÉRÊT
de	S	DE
notre	Ds	NOTRE
liberté	Nc	LIBERTÉ
,	Fw	,
Qui	Vvc	Qui
doit	Vvc	DEVOIR
servir	Vvn	SERVIR
d'	S	DE
excuse	Nc	EXCUSE
à	S	À
cette	Dd	CE
cruauté	Nc	CRUAUTÉ
.	Fs	.
Romains	Nc	ROMAIN
,	Fw	,
Tarquin	Nc	Tarquin
n'	Rp	NE
est	Vuc	ÊTRE
plus	Rg	PLUS
sur	S	SUR
ce	Dd	CE
trône	Nc	TRÔNE
adorable	Ag	ADORABLE
,	Fw	,
Que	Vvc	Que
tes	Ds	TON
impiétés	Nc	IMPIÉTÉ
ont	Vuc	AVOIR
rendu	Ge	RENDRE
misérables	Ag	MISÉRABLE
:	Fw	:
Mais	Cc	MAIS
quel	Dt	QUEL
droit	Nc	DROIT
avez	Vuc	AVOIR
-vous	Nc	-vous
de	S	DE
retenir	Vvn	RETENIR
son	Ds	SON
bien	Nc	BIEN
?	Fs	?
En	Pp	EN
cessant	Ga	CESSER
de	S	DE
régner	Vvn	RÉGNER
il	Pp	IL
devient	Vvc	DEVENIR|DÉVIER
citoyen	Nc	CITOYEN
.	Fs	.
Vous	Pp	VOUS
,	Fw	,
si	Cs	SI
vous	Pp	VOUS
prenez	Vvc	PRENDRE
part	Nc	PART
aux	S+Da	À+LES
sentiments	Nc	SENTIMENT
de	S	DE
Rome	Nc	Rome
,	Fw	,
Ne	Vvc	Ne
considérez	Vvc	CONSIDÉRER
plus	Rg	PLUS
ce	Pd	CE
que	Pr	QUE
fut	Vuc	ÊTRE
ce	Dd	CE
grand	Ag	GRAND
homme	Nc	HOMME
:	Fw	:
Et	Cc	ET
si	Rg	SI
régner	Vvn	RÉGNER
en	S	EN
lui	Pp	IL
n'	Rp	NE
est	Vuc	ÊTRE
plus	Rg	PLUS
qu'	Cs	QUE
un	Dn	UN
titre	Nc	TITRE
vain	Ag	VAIN
,	Fw	,
Abandonnez	Vvc	ABANDONNER
un	Dn	UN
Roi	Nc	ROI
,	Fw	,
mais	Cc	MAIS
servez	Vvc	SERVIR
un	Dn	UN
Romain	Ag	ROMAIN
.	Fs	.
Cet	Dd	CE
orgueil	Nc	ORGUEIL
insolent	Ag	INSOLENT
qui	Pr	QUI
chasse	Vvc	CHASSER
nos	Ds	NOTRE
Monarques	Nc	MONARQUE
,	Fw	,
Laisse	Vvc	LAISSER
de	S	DE
la	Da	LE
fureur	Nc	FUREUR
d'	S	DE
assez	Rg	ASSEZ
sanglantes	Ag	SANGLANT
marques	Nc	MARQUE
:	Fw	:
Après	Vvc	Après
avoir	Vun	AVOIR
chassé	Ge	CHASSER
les	Da	LE
Tarquins	Nc	Tarquins
de	S	DE
leur	Ds	LEUR
rang	Nc	RANG
,	Fw	,
Banni	Vvc	Banni
tous	Di	TOUT
leurs	Ds	LEUR
parents	Nc	PARENT
,	Fw	,
versé	Ge	VERSER
son	Ds	SON
plus	Rg	PLUS
beau	Ag	BEAU
sang	Nc	SANG
,	Fw	,
Le	Vvc	Le
débris	Nc	DÉBRIS
éclatant	Ga	ÉCLATER
d'	S	DE
une	Dn	UN
illustre	Ag	ILLUSTRE
couronne	Nc	COURONNE
Doit	Vvc	DEVOIR
borner	Vvn	BORNER
ses	Ds	SON
horreurs	Nc	HORREUR
,	Fw	,
et	Cc	ET
sauver	Vvn	SAUVER
sa	Ds	SON
personne	Nc	PERSONNE
.	Fs	.
Quoi	Pt	QUE|QUOI
Princes	Vvc	Princes
verrons	Vvc	VOIR
