Cesse	Vvc	CESSER
de	S	DE
t'	Pp	TU
effrayer	Vvn	EFFRAYER
du	S+Da	DE+LE
sort	Nc	SORT
qui	Pr	QUI
me	Pp	JE
menace	Vvc	MENACER
:	Fw	:
Plus	Rg	PLUS
j'	Pp	JE
y	Pp	Y
vois	Vvc	ALLER|VOIR
de	S	DE
périls	Nc	PÉRIL
,	Fw	,
plus	Rg	PLUS
je	Pp	JE
me	Pp	JE
sens	Vvc	SENTIR
d'	S	DE
audace	Nc	AUDACE
;	Fw	;
Et	Vvc	Et
l'	Da	LE
approche	Nc	APPROCHE
du	S+Da	DE+LE
coup	Nc	COUP
qui	Pr	QUI
vous	Pp	VOUS
fait	Vvc	FAIRE
tous	Pi	TOUT
trembler	Vvn	TREMBLER
,	Fw	,
Loin	Nc	Loin
de	S	DE
la	Pp	IL
ralentir	Vvn	RALENTIR
,	Fw	,
sert	Vvc	SERVIR
à	S	À
la	Pp	IL
redoubler	Vvn	REDOUBLER
.	Fs	.
Crois	Vvc	CROIRE|CROÎTRE
-moi	Vvc	-moi
,	Fw	,
sois	Vuc	ÊTRE
sans	S	SANS
détour	Nc	DÉTOUR
pour	S	POUR
un	Dn	UN
ami	Nc	AMI
qui	Pr	QUI
t'	Pp	TU
aime	Vvc	AIMER
.	Fs	.
Dans	S	DANS
le	Da	LE
fond	Nc	FOND
de	S	DE
ton	Ds	TON
cour	Nc	COUR
je	Pp	JE
lis	Vvc	LIRE
mieux	Rg	MIEUX
que	Cs	QUE
toi-même	Pp	LUI-MÊME
,	Fw	,
Lentulus	Vvc	Lentulus
;	Fw	;
et	Cc	ET
le	Da	LE
mien	Ps	MIEN
ne	Rp	NE
peut	Vvc	POUVOIR
voir	Vvn	VOIR
sans	S	SANS
pitié	Nc	PITIÉ
Ce	Vvc	Ce
qu'	Cs	QUE
un	Dn	UN
ambitieux	Nc	AMBITIEUX
coûte	Vvc	COÛTER
à	S	À
ton	Ds	TON
amitié	Nc	AMITIÉ
.	Fs	.
Ce	Dd	CE
tyran	Nc	TYRAN
des	S+Da	DE+LE|DE+LES
romains	Nc	ROMAIN
,	Fw	,
l'	Da	LE
amour	Nc	AMOUR
de	S	DE
la	Da	LE
patrie	Nc	PATRIE
,	Fw	,
Te	Vvc	Te
trompe	Vvc	TROMPER
,	Fw	,
et	Cc	ET
se	Pp	IL
déguise	Vvc	DÉGUISER
en	S	EN
frayeur	Nc	FRAYEUR
pour	S	POUR
ma	Ds	MON
vie	Nc	VIE
.	Fs	.
Est	Vuc	ÊTRE
-ce	Vvc	-ce
à	S	À
moi	Pp	JE
d'	S	DE
abuser	Vvn	ABUSER
du	S+Da	DE+LE
penchant	Nc	PENCHANT
malheureux	Ag	MALHEUREUX
Qui	Vvc	Qui
te	Pp	TU
fait	Vvc	FAIRE
une	Dn	UN
loi	Nc	LOI
de	S	DE
tout	Pi	TOUT
ce	Pd	CE
que	Pr	QUE
je	Pp	JE
veux	Vvc	VOULOIR
?	Fs	?
Issu	Ge	ISSIR
des	S+Da	DE+LE|DE+LES
Scipions	Nc	Scipions
,	Fw	,
tu	Pp	TU
crains	Vvc	CRAINDRE
qu'	Cs	QUE
à	S	À
ta	Ds	TON
mémoire	Nc	MÉMOIRE
On	Vvc	On
