Arrête	Vvc	Arrête
,	Fw	,
nous	Pp	NOUS
voici	S	VOICI
dans	S	DANS
la	Da	LE
rue	Nc	RUE
,	Fw	,
où	Pr	OÙ
demeure	Vvc	DEMEURER
L'	Vvc	L'
inflexible	Ag	INFLEXIBLE
beauté	Nc	BEAUTÉ
,	Fw	,
qui	Pr	QUI
consent	Vvc	CONSENTIR
que	Cs	QUE
je	Pp	JE
meure	Vvc	MURER
;	Fw	;
J'	Vvc	J'
aperçois	Vvc	APERCEVOIR
son	Ds	SON
logis	Nc	LOGIS
.	Fs	.
Apercevez	Vvc	APERCEVOIR
aussi	Rg	AUSSI
Que	Vvc	Que
de	S	DE
votre	Ds	VOTRE
tourment	Nc	TOURMENT
elle	Pp	IL
a	Vuc	AVOIR
peu	Rg	PEU
de	S	DE
souci	Nc	SOUCI
.	Fs	.
Depuis	S	DEPUIS
cinq	Nc	CINQ
ou	Cc	OU
six	Nc	SIX
mois	Nc	MOI|MOIS
que	Pr	QUE
vous	Pp	VOUS
brûlez	Vvc	BRÛLER
pour	S	POUR
elle	Pp	IL
,	Fw	,
Ne	Vvc	Ne
vous	Pp	VOUS
est	Vuc	ÊTRE
elle	Pp	IL
pas	Rg	PAS
également	Rg	ÉGALEMENT
cruelle	Ag	CRUEL
?	Fs	?
L'	Da	LE
absence	Nc	ABSENCE
d'	S	DE
un	Dn	UN
mari	Nc	MARI
vous	Pp	VOUS
flatte	Vvc	FLATTER
sans	S	SANS
raison	Nc	RAISON
,	Fw	,
L'	Vvc	L'
amour	Nc	AMOUR
qu'	Pr	QUE
elle	Pp	IL
lui	Pp	IL
porte	Vvc	PORTER
,	Fw	,
est	Vuc	ÊTRE
sans	S	SANS
comparaison	Nc	COMPARAISON
.	Fs	.
En	S	EN
quelque	Di	QUELQUE
lieu	Nc	LIEU
qu'	Pr	QUE
il	Pp	IL
soit	Vuc	ÊTRE
,	Fw	,
il	Pp	IL
possède	Vvc	POSSÉDER
son	Ds	SON
âme	Nc	ÂME
,	Fw	,
Et	Vvc	Et
la	Da	LE
vertu	Nc	VERTU
du	S+Da	DE+LE
sexe	Nc	SEXE
,	Fw	,
est	Vuc	ÊTRE
toute	Rg	TOUTE
en	S	EN
cette	Dd	CE
femme	Nc	FEMME
;	Fw	;
Je	Vvc	Je
ne	Rp	NE
suis	Vuc	ÊTRE
qu'	Rg	QUE
un	Dn	UN
valet	Nc	VALET
ignorant	Ag	IGNORANT
et	Cc	ET
brutal	Ag	BRUTAL
,	Fw	,
Mais	Vvc	Mais
si	Cs	SI
vous	Pp	VOUS
me	Pp	JE
croyez	Vvc	CROIRE
,	Fw	,
vous	Pp	VOUS
ne	Rp	NE
feriez	Vvc	FAIRE|FERRER
pas	Rg	PAS
mal	Rg	MAL
,	Fw	,
Cessez	Vvc	CESSER
d'	S	DE
une	Dn	UN
poursuite	Nc	POURSUITE
injuste	Ag	INJUSTE
autant	Rg	AUTANT
que	Rg	QUE
vaine	Ag	VAIN
,	Fw	,
Vous	Nc	Vous
ferez	Vvc	FAIRE|FERRER
plus	Rg	PLUS
ailleurs	Rg	AILLEURS
avecque	Vvc	avecque
moins	Rg	MOINS
de	S	DE
peine	Nc	PEINE
Et	Vvc	Et
n'	Rp	NE
offenserez	Vvc	OFFENSER
pas	Rg	PAS
dans	S	DANS
votre	Ds	VOTRE
passion	Nc	PASSION
,	Fw	,
D'	Nc	D'
un	Dn	UN
ancien	Ag	ANCIEN
ami	Nc	AMI
la	Da	LE
pure	Ag	PUR
affection	Nc	AFFECTION
.	Fs	.
Oui	Rg	OUI
,	Fw	,
tu	Pp	TU
n'	Rp	NE
es	Vuc	ÊTRE
qu'	Rg	QUE
un	Dn	UN
valet	Nc	VALET
,	Fw	,
ce	Dd	CE
propos	Nc	PROPOS
me	Pp	JE
le	Pp	IL
montre	Vvc	MONTRER
;	Fw	;
L'	Vvc	L'
on	Pp	ON
ne	Rp	NE
respecte	Vvc	RESPECTER
rien	Pi	RIEN
en	S	EN
pareille	Ag	PAREIL
rencontre	Nc	RENCONTRE
.	Fs	.
Les	Da	LE
plus	Rg	PLUS
parfaits	Ag	PARFAIT
amis	Nc	AMI
,	Fw	,
les	Da	LE
plus	Rg	PLUS
proches	Ag	PROCHE
parents	Nc	PARENT
Ne	Ag	Ne
passent	Vvc	PASSER
en	S	EN
amour	Nc	AMOUR
que	Cs	QUE
pour	S	POUR
indifférents	Ag	INDIFFÉRENT
.	Fs	.
Léandre	Nc	Léandre
,	Fw	,
je	Pp	JE
l'	Pp	IL
avoue	Vvc	AVOUER
,	Fw	,
est	Vuc	ÊTRE
bien	Rg	BIEN
dans	S	DANS
mon	Ds	MON
estime	Nc	ESTIME
;	Fw	;
Mon	Nc	Mon
bras	Nc	BRAS
pour	S	POUR
le	Pp	IL
servir	Vvn	SERVIR
tiendrait	Vvc	TENIR
tout	Di	TOUT
légitime	Ag	LÉGITIME
:	Fw	:
Mais	Cc	MAIS
au	S+Da	À+LE
terme	Nc	TERME
où	Pr	OÙ
sa	Ds	SON
femme	Nc	FEMME
aujourd'hui	Rg	AUJOURD'HUI
m'	Pp	JE
a	Vuc	AVOIR
rendu	Ge	RENDRE
;	Fw	;
Crois	Vvc	CROIRE|CROÎTRE
que	Cs	QUE
pour	S	POUR
en	Pp	EN
jouir	Vvn	JOUIR
,	Fw	,
rien	Pi	RIEN
ne	Rp	NE
m'	Pp	JE
est	Vuc	ÊTRE
