Impatients	Ag	IMPATIENT
désirs	Nc	DÉSIR
d'	S	DE
une	Dn	UN
illustre	Ag	ILLUSTRE
vengeance	Nc	VENGEANCE
Dont	Vvc	Dont
la	Da	LE
mort	Nc	MORT
de	S	DE
mon	Ds	MON
père	Nc	PÈRE
a	Vuc	AVOIR
formé	Ge	FORMER
la	Da	LE
naissance	Nc	NAISSANCE
,	Fw	,
Enfants	Ga	Enfants
impétueux	Ag	IMPÉTUEUX
de	S	DE
mon	Ds	MON
ressentiment	Nc	RESSENTIMENT
Que	Vvc	Que
ma	Ds	MON
douleur	Nc	DOULEUR
séduite	Ge	SÉDUIRE
embrasse	Vvc	EMBRASSER
aveuglément	Rg	AVEUGLÉMENT
,	Fw	,
Vous	Nc	Vous
régnez	Vvc	RÉGNER
sur	S	SUR
mon	Ds	MON
âme	Nc	ÂME
avec	S	AVEC
trop	Rg	TROP
d'	S	DE
empire	Nc	EMPIRE
,	Fw	,
Pour	Nc	POUR
le	Da	LE
moins	Rg	MOINS
un	Dn	UN
moment	Nc	MOMENT
souffrez	Vvc	SOUFFRIR
que	Cs	QUE
je	Pp	JE
respire	Vvc	RESPIRER
,	Fw	,
Et	Vvc	Et
que	Cs	QUE
je	Pp	JE
considère	Vvc	CONSIDÉRER
en	S	EN
l'	Da	LE
état	Nc	ÉTAT
où	Pr	OÙ
je	Pp	JE
suis	Vuc	ÊTRE
,	Fw	,
Et	Vvc	Et
ce	Pd	CE
que	Pr	QUE
je	Pp	JE
hasarde	Vvc	HASARDER
,	Fw	,
et	Cc	ET
ce	Pd	CE
que	Pr	QUE
je	Pp	JE
poursuis	Vvc	POURSUIVRE
.	Fs	.
Quand	Cs	QUAND
je	Pp	JE
regarde	Vvc	REGARDER
Auguste	Vvc	Auguste
en	S	EN
son	Ds	SON
trône	Nc	TRÔNE
de	S	DE
gloire	Nc	GLOIRE
,	Fw	,
Et	Vvc	Et
que	Cs	QUE
vous	Pp	VOUS
reprochez	Vvc	REPROCHER
à	S	À
ma	Ds	MON
triste	Ag	TRISTE
mémoire	Nc	MÉMOIRE
Que	Vvc	Que
par	S	PAR
sa	Ds	SON
propre	Ag	PROPRE
main	Nc	MAIN
mon	Ds	MON
père	Nc	PÈRE
massacré	Ge	MASSACRER
,	Fw	,
Du	Vvc	Du
trône	Nc	TRÔNE
où	Pr	OÙ
je	Pp	JE
le	Pp	IL
vois	Vvc	ALLER|VOIR
fait	Ge	FAIRE
le	Da	LE
premier	Ag	PREMIER
degré	Nc	DEGRÉ
;	Fw	;
Quand	Nc	Quand
vous	Pp	VOUS
me	Pp	JE
présentez	Vvc	PRÉSENTER
cette	Dd	CE
sanglante	Ag	SANGLANT
image	Nc	IMAGE
,	Fw	,
La	Vvc	La
cause	Nc	CAUSE
de	S	DE
ma	Ds	MON
haine	Nc	HAINE
,	Fw	,
et	Cc	ET
l'	Da	LE
effet	Nc	EFFET
de	S	DE
sa	Ds	SON
rage	Nc	RAGE
,	Fw	,
Je	Vvc	Je
m'	Pp	JE
abandonne	Vvc	ABANDONNER
toute	Rg	TOUTE
à	S	À
vos	Ds	VOTRE
ardents	Ag	ARDENT
transports	Nc	TRANSPORT|TRANSPORTS
,	Fw	,
Et	Vvc	Et
crois	Vvc	CROIRE|CROÎTRE
,	Fw	,
pour	S	POUR
une	Dn	UN
mort	Nc	MORT
,	Fw	,
lui	Pp	IL
devoir	Vvn	DEVOIR
mille	Nc	MILLE
morts	Ge	MOURIR
:	Fw	:
Au	S+Da	À+LE
milieu	Nc	MILIEU
toutefois	Rg	TOUTEFOIS
d'	S	DE
une	Dn	UN
fureur	Nc	FUREUR
si	Rg	SI
juste	Ag	JUSTE
,	Fw	,
J'	Vvc	J'
aime	Vvc	AIMER
encor	Nc	encor
plus	Rg	PLUS
Cinna	Vvc	Cinna
que	Cs	QUE
je	Pp	JE
ne	Rp	NE
hais	Vvc	HAÏR
Auguste	Nc	AUGUSTE
,	Fw	,
Et	Vvc	Et
je	Pp	JE
sens	Vvc	SENTIR
refroidir	Vvn	REFROIDIR
ce	Dd	CE
bouillant	Ag	BOUILLANT
mouvement	Nc	MOUVEMENT
Quand	Ag	Quand
il	Pp	IL
faut	Vvc	FAILLIR|FALLOIR
pour	S	POUR
le	Pp	IL
perdre	Vvn	PERDRE
exposer	Vvn	EXPOSER
mon	Ds	MON
amant	Nc	AMANT
.	Fs	.
Oui	Rg	OUI
,	Fw	,
Cinna	Vvc	Cinna
,	Fw	,
contre	S	CONTRE
moi	Pp	JE
moi-même	Pp	LUI-MÊME
je	Pp	JE
m'	Pp	JE
irrite	Vvc	IRRITER
,	Fw	,
Quand	Nc	Quand
je	Pp	JE
songe	Vvc	SONGER
aux	S+Da	À+LES
dangers	Nc	DANGER
où	Pr	OÙ
je	Pp	JE
te	Pp	TU
précipite	Vvc	PRÉCIPITER
.	Fs	.
Quoique	Cs	QUOIQUE
pour	S	POUR
me	Pp	JE
servir	Vvn	SERVIR
tu	Pp	TU
n'	Rp	NE
appréhendes	Vvc	APPRÉHENDER
rien	Pi	RIEN
,	Fw	,
Te	Vvc	Te
demander	Vvn	DEMANDER
du	S+Da	DE+LE
sang	Nc	SANG
,	Fw	,
c'	Pd	CE
est	Vuc	ÊTRE
exposer	Vvn	EXPOSER
le	Da	LE
tien	Ps	TIEN
.	Fs	.
D'	S	DE
une	Dn	UN
si	Rg	SI
haute	Ag	HAUT
place	Nc	PLACE|PLACÉ
on	Pp	ON
n'	Rp	NE
abat	Vvc	ABATTRE
point	Rg	POINT
de	S	DE
têtes	Nc	TÊTE
,	Fw	,
Sans	Vvc	Sans
attirer	Vvn	ATTIRER
sur	S	SUR
soi	Pp	IL
mille	Nc	MILLE
et	Cc	ET
mille	Nc	MILLE
tempêtes	Vvc	TEMPÊTER
,	Fw	,
L'	Vvc	L'
issue	Ge	ISSIR
en	Pp	EN
est	Vuc	ÊTRE
douteuse	Ag	DOUTEUR|DOUTEUX
,	Fw	,
et	Cc	ET
le	Da	LE
péril	Nc	PÉRIL
certain	Ag	CERTAIN
:	Fw	:
Un	Dn	UN
ami	Nc	AMI
déloyal	Ag	DÉLOYAL
peut	Vvc	POUVOIR
trahir	Vvn	TRAHIR
ton	Ds	TON
dessein	Nc	DESSEIN
,	Fw	,
L'	Vvc	L'
ordre	Nc	ORDRE
mal	Rg	MAL
concerté	Ge	CONCERTER
,	Fw	,
l'	Da	LE
occasion	Nc	OCCASION
mal	Rg	MAL
prise	Ge	PRENDRE|PRISER
,	Fw	,
Peuvent	Vvc	POUVOIR
sur	S	SUR
son	Ds	SON
auteur	Nc	AUTEUR
renverser	Vvn	RENVERSER
l'	Da	LE
entreprise	Nc	ENTREPRISE
,	Fw	,
Tourner	Nc	TOURNER
sur	S	SUR
toi	Pp	TU
les	Da	LE
coups	Nc	COUP
dont	Pr	DONT
tu	Pp	TU
le	Pp	IL
veux	Vvc	VOULOIR
frapper	Vvn	FRAPPER
,	Fw	,
Dans	Vvc	Dans
sa	Ds	SON
ruine	Nc	RUINE
même	Ag	MÊME
il	Pp	IL
peut	Vvc	POUVOIR
t'	Pp	TU
envelopper	Vvn	ENVELOPPER
,	Fw	,
Et	Vvc	Et
quoi	Pt	QUE|QUOI
qu'	Cs	QUE
en	S	EN
ma	Ds	MON
