Reviens	Vvc	REVENIR
de	S	DE
ta	Ds	TON
surprise	Nc	SURPRISE
;	Fw	;
oui	Ge	OUÏR
,	Fw	,
c'	Pd	CE
est	Vuc	ÊTRE
moi	Pp	JE
qui	Pr	QUI
t'	Pp	TU
embrasse	Vvc	EMBRASSER
,	Fw	,
Et	Vvc	Et
qui	Pr	QUI
cherche	Vvc	CHERCHER
en	S	EN
ces	Dd	CE
lieux	Nc	LIEU|LIEUX
la	Da	LE
fin	Nc	FIN
de	S	DE
ma	Ds	MON
disgrâce	Nc	DISGRÂCE
.	Fs	.
Qu'	Cs	QUE
il	Pp	IL
est	Vuc	ÊTRE
doux	Ag	DOUX
pour	S	POUR
un	Dn	UN
roi	Nc	ROI
de	S	DE
re	Nc	RÉ
voir	Vvn	VOIR
un	Dn	UN
ami	Nc	AMI
!	Fs	!
Je	Pp	JE
vous	Pp	VOUS
ai	Vuc	AVOIR
reconnu	Ge	RECONNAÎTRE
,	Fw	,
seigneur	Nc	SEIGNEUR
,	Fw	,
et	Cc	ET
j'	Pp	JE
ai	Vuc	AVOIR
frémi	Ge	FRÉMIR
.	Fs	.
Iarbe	Nc	Iarbe
sur	S	SUR
ces	Dd	CE
bords	Nc	BORD
!	Fs	!
Iarbe	Nc	Iarbe
dans	S	DANS
Carthage	Nc	Carthage
!	Fs	!
Vous	Pp	VOUS
,	Fw	,
ce	Dd	CE
roi	Nc	ROI
si	Rg	SI
vanté	Ge	VANTER
d'	S	DE
un	Dn	UN
peuple	Nc	PEUPLE
encor	Nc	encor
sauvage	Ag	SAUVAGE
,	Fw	,
Qui	Vvc	Qui
menace	Vvc	MENACER
nos	Ds	NOTRE
murs	Nc	MUR|MURS
de	S	DE
la	Da	LE
flamme	Nc	FLAMME
et	Cc	ET
du	S+Da	DE+LE
fer	Nc	FER
!	Fs	!
Vous	Pp	VOUS
,	Fw	,
héros	Nc	HÉROS
de	S	DE
l'	Da	LE
Afrique	Nc	Afrique
et	Cc	ET
fils	Nc	FIL|FILS
de	S	DE
Jupiter	Nc	Jupiter
!	Fs	!
Quel	Dt	QUEL
important	Ag	IMPORTANT
besoin	Nc	BESOIN
,	Fw	,
ou	Cc	OU
quel	Dt	QUEL
malheur	Nc	MALHEUR
extrême	Ag	EXTRÊME
Vous	Nc	Vous
fait	Vvc	FAIRE
quitter	Vvn	QUITTER
ici	Rg	ICI
l'	Da	LE
éclat	Nc	ÉCLAT
du	S+Da	DE+LE
diadème	Nc	DIADÈME
,	Fw	,
Et	Vvc	Et
pourquoi	Rt	POURQUOI
...	Fs	...
Trop	Nc	Trop
