Enfin	Rg	ENFIN
,	Fw	,
ma	Ds	MON
chère	Ag	CHER
Benjamine	Nc	BENJAMIN
,	Fw	,
c'	Pd	CE
est	Vuc	ÊTRE
donc	Rg	DONC
ce	Dd	CE
soir	Nc	SOIR
que	Pr	QUE
tu	Pp	TU
vas	Vvc	ALLER
être	Vun	ÊTRE
l'	Da	LE
épouse	Nc	ÉPOUSE|ÉPOUX
de	S	DE
Monsieur	Nc	MONSIEUR
le	Da	LE
marquis	Nc	MARQUIS
de	S	DE
Moncade	Nc	Moncade
.	Fs	.
Il	Pp	IL
me	Pp	JE
tarde	Vvc	TARDER
que	Cs	QUE
cela	Pd	CELA
ne	Rp	NE
soit	Vuc	ÊTRE
déjà	Rg	DÉJÀ
;	Fw	;
et	Cc	ET
il	Pp	IL
me	Pp	JE
semble	Vvc	SEMBLER
que	Cs	QUE
ce	Dd	CE
moment	Nc	MOMENT
n'	Rp	NE
arrivera	Vvc	ARRIVER
jamais	Rg	JAMAIS
.	Fs	.
J'	Pp	JE
en	Pp	EN
suis	Vuc	ÊTRE
plus	Rg	PLUS
impatiente	Ag	IMPATIENT
que	Cs	QUE
vous	Pp	VOUS
,	Fw	,
ma	Ds	MON
mère	Nc	MÈRE
;	Fw	;
car	Cc	CAR
,	Fw	,
outre	S	OUTRE
le	Da	LE
plaisir	Nc	PLAISIR
de	S	DE
me	Pp	JE
voir	Vvn	VOIR
femme	Nc	FEMME
d'	S	DE
un	Dn	UN
grand	Ag	GRAND
seigneur	Nc	SEIGNEUR
,	Fw	,
c'	Pd	CE
est	Vuc	ÊTRE
que	Cs	QUE
,	Fw	,
comme	Cs	COMME
cette	Dd	CE
affaire	Nc	AFFAIRE|AFFAIRÉ
s'	Pp	SE
est	Vuc	ÊTRE
traitée	Ge	TRAITER
depuis	S	DEPUIS
que	Cs	QUE
Damis	Nc	Damis
est	Vuc	ÊTRE
à	S	À
sa	Ds	SON
campagne	Nc	CAMPAGNE
,	Fw	,
je	Pp	JE
serai	Vuc	ÊTRE
ravie	Ge	RAVIR
qu'	Cs	QUE
à	S	À
son	Ds	SON
retour	Nc	RETOUR
il	Pp	IL
me	Pp	JE
trouve	Vvc	TROUVER
mariée	Ge	MARIER
,	Fw	,
pour	S	POUR
m'	Pp	JE
épargner	Vvn	ÉPARGNER
ses	Ds	SON
reproches	Nc	REPROCHE
.	Fs	.
Est	Vuc	ÊTRE
-ce	Vvc	-ce
que	Cs	QUE
tu	Pp	TU
songes	Vvc	SONGER
encore	Rg	ENCORE
à	S	À
Damis	Nc	Damis
?	Fs	?
Non	Rg	NON
,	Fw	,
ma	Ds	MON
mère	Nc	MÈRE
.	Fs	.
Mais	Cc	MAIS
que	Pr	QUE
voulez	Vvc	VOULOIR
-vous	Nc	-vous
?	Fs	?
Il	Pp	IL
est	Vuc	ÊTRE
neveu	Nc	NEVEU
de	S	DE
feu	Nc	FEU
mon	Ds	MON
père	Nc	PÈRE
;	Fw	;
nous	Pp	NOUS
avons	Vuc	AVOIR
été	Ge	ÊTRE
élevés	Ge	ÉLEVER
ensemble	Rg	ENSEMBLE
:	Fw	:
je	Pp	JE
ne	Rp	NE
connaissais	Vvc	CONNAÎTRE
personne	Pi	PERSONNE
plus	Rg	PLUS
aimable	Ag	AIMABLE
que	Cs	QUE
lui	Pp	IL
;	Fw	;
j'	Pp	JE
ignorais	Vvc	IGNORER
même	Rg	MÊME
qu'	Cs	QUE
il	Pp	IL
en	Pp	EN
fût	Vuc	ÊTRE
.	Fs	.
Je	Pp	JE
lui	Pp	IL
trouvais	Vvc	TROUVER
de	S	DE
l'	Da	LE
esprit	Nc	ESPRIT
,	Fw	,
du	S+Da	DE+LE
mérite	Nc	MÉRITE
;	Fw	;
il	Pp	IL
était	Vuc	ÊTRE
amusant	Ag	AMUSANT
,	Fw	,
tendre	Ag	TENDRE
,	Fw	,
complaisant	Ga	COMPLAIRE
.	Fs	.
Il	Pp	IL
m'	Pp	JE
aima	Vvc	AIMER
;	Fw	;
je	Pp	JE
l'	Pp	IL
aimai	Vvc	AIMER
aussi	Rg	AUSSI
.	Fs	.
Qu'	Cs	QUE
il	Pp	IL
perd	Vvc	PERDRE
auprès	Rg	AUPRÈS
de	S	DE
ce	Dd	CE
jeune	Ag	JEUNE
seigneur	Nc	SEIGNEUR
!	Fs	!
Qu'	Cs	QUE
il	Pp	IL
est	Vuc	ÊTRE
défait	Ge	DÉFAIRE
!	Fs	!
Qu'	Cs	QUE
il	Pp	IL
est	Vuc	ÊTRE
petit	Ag	PETIT
!	Fs	!
Qu'	Cs	QUE
il	Pp	IL
est	Vuc	ÊTRE
mince	Ag	MINCE
!	Fs	!
Son	Ds	SON
mérite	Nc	MÉRITE
paraît	Vvc	PARAÎTRE
ridicule	Ag	RIDICULE
,	Fw	,
sa	Ds	SON
tendresse	Nc	TENDRESSE
maussade	Ag	MAUSSADE
.	Fs	.
C'	Pd	CE
est	Vuc	ÊTRE
un	Dn	UN
petit	Ag	PETIT
homme	Nc	HOMME
de	S	DE
palais	Nc	PALAIS
,	Fw	,
la	Da	LE
tête	Nc	TÊTE
pleine	Ag	PLEIN
de	S	DE
livres	Nc	LIURE|LIVRE
,	Fw	,
attaché	Ge	ATTACHER
à	S	À
ses	Ds	SON
procès	Nc	PROCÈS
;	Fw	;
un	Dn	UN
bourgeois	Nc	BOURGEOIS
tout	Rg	TOUT
uni	Ge	UNIR
,	Fw	,
sans	S	SANS
manières	Nc	MANIÈRE
,	Fw	,
ennuyeux	Ag	ENNUYEUX
,	Fw	,
doucereux	Ag	DOUCEREUX
,	Fw	,
à	S	À
donner	Vvn	DONNER
des	Dn	UN
vapeurs	Nc	VAPEUR
!	Fs	!
Vive	Vvc	VIVRE
le	Da	LE
marquis	Nc	MARQUIS
de	S	DE
Moncade	Nc	Moncade
!	Fs	!
Le	Da	LE
beau	Ag	BEAU
point	Nc	POINT
de	S	DE
vue	Nc	VUE
!	Fs	!
Quelle	Dt	QUEL
légèreté	Nc	LÉGÈRETÉ
!	Fs	!
Quelle	Dt	QUEL
vivacité	Nc	VIVACITÉ
!	Fs	!
Quel	Dt	QUEL
enjouement	Nc	ENJOUEMENT
!	Fs	!
Quelle	Dt	QUEL
noblesse	Nc	NOBLESSE
!	Fs	!
Quelles	Dt	QUEL
grâces	Nc	GRÂCE
,	Fw	,
surtout	Rg	SURTOUT
!	Fs	!
Les	Da	LE
bourgeoises	Nc	BOURGEOIS|BOURGEOISE
qui	Pr	QUI
ne	Rp	NE
sont	Vuc	ÊTRE
pas	Rg	PAS
connaisseuses	Nc	CONNAISSEUR
en	S	EN
bons	Ag	BON
airs	Nc	AIR
,	Fw	,
appellent	Vvc	APPELER
cela	Pd	CELA
étourderies	Nc	ÉTOURDERIE
,	Fw	,
indiscrétions	Nc	INDISCRÉTION
,	Fw	,
impolitesses	Nc	IMPOLITESSE
;	Fw	;
mais	Cc	MAIS
cela	Pd	CELA
est	Vuc	ÊTRE
charmant	Ga	CHARMER
.	Fs	.
Les	Da	LE
femmes	Nc	FEMME
de	S	DE
qualité	Nc	QUALITÉ
en	Pp	EN
sentent	Vvc	SENTIR
tout	Di	TOUT
le	Da	LE
prix	Nc	PRIX
;	Fw	;
et	Cc	ET
ce	Pd	CE
sont	Vuc	ÊTRE
elles	Pp	ILS
qui	Pr	QUI
les	Pp	ILS
ont	Vuc	AVOIR
mis	Ge	METTRE
sur	S	SUR
ce	Dd	CE
pied	Nc	PIED
-là	Vvc	-là
.	Fs	.
Que	Cs	QUE
j'	Pp	JE
ai	Vuc	AVOIR
de	S	DE
grâces	Nc	GRÂCE
à	S	À
rendre	Vvn	RENDRE
à	S	À
la	Da	LE
mauvaise	Ag	MAUVAIS
fortune	Nc	FORTUNE
de	S	DE
monsieur	Nc	MONSIEUR
le	Da	LE
marquis	Nc	MARQUIS
.	Fs	.
À	Vvc	À
sa	Ds	SON
mauvaise	Ag	MAUVAIS
fortune	Nc	FORTUNE
,	Fw	,
dis	Vvc	DIRE
-tu	Vvn	-tu
?	Fs	?
Qu'	Pt	QUE
est	Vuc	ÊTRE
-ce	Vvc	-ce
?	Fs	?
...	Fs	...
Marthon	Nc	Marthon
!	Fs	!
...	Fs	...
C'	Vvc	C'
est	Vuc	ÊTRE
lui	Pp	IL
,	Fw	,
apparemment	Rg	APPAREMMENT
?	Fs	?
Madame	Nc	MADAME
,	Fw	,
voilà	I	VOILÀ
Monsieur	Ag	Monsieur
Mathieu	Nc	MATHIEU
qui	Pr	QUI
vient	Vvc	VENIR
d'	S	DE
entrer	Vvn	ENTRER
.	Fs	.
Mon	Ds	MON
oncle	Nc	ONCLE
?	Fs	?
L'	Da	LE
incommode	Ag	INCOMMODE
visite	Nc	VISITE
!	Fs	!
...	Fs	...
Comment	Vvc	Comment
lui	Pp	IL
déclarer	Vvn	DÉCLARER
votre	Ds	VOTRE
mariage	Nc	MARIAGE
?	Fs	?
Cependant	Rg	CEPENDANT
il	Pp	IL
n'	Rp	NE
y	Pp	Y
a	Vuc	AVOIR
plus	Rg	PLUS
à	S	À
reculer	Vvn	RECULER
.	Fs	.
Vous	Pp	VOUS
craignez	Vvc	CRAINDRE
qu'	Cs	QUE
il	Pp	IL
ne	Rp	NE
goûte	Vvc	GOÛTER
pas	Rg	PAS
cette	Dd	CE
alliance	Nc	ALLIANCE
?	Fs	?
Oui	Rg	OUI
