Regresaba	VLfin	regresar
de	PREP	de
un	ART	un
viaje	NC	viaje
largo	ADJ	largo
y	CC	y
penoso	ADJ	penoso
,	CM	,
y	CC	y
en	PREP	en
la	ART	el
confusión	NC	confusión
del	PDEL	del
primer	ORD	nu|primero
momento	NC	momento
,	CM	,
los	ART	el
abrazos	NC	abrazo
de	PREP	de
la	ART	el
familia	NC	familia
,	CM	,
las	ART	el
atenciones	NC	atención
del	PDEL	del
equipaje	NC	equipaje
y	CC	y
el	ART	el
estallido	NC	estallido
de	PREP	de
felicidad	NC	felicidad
al	PAL	al
encontrarme	VCLIinf	encontrar
de	PREP	de
pronto	ADV	pronto
en	PREP	en
el	ART	el
hogar	NC	hogar
,	CM	,
sentí	VLfin	sentir
renacer	VLinf	renacer
muchas	QU	mucho
alegrías	NC	alegría
que	CQUE	que
me	PPX	yo
vedara	VLfin	<unknown>
la	ART	el
contemplación	NC	contemplación
de	PREP	de
las	ART	el
llanuras	NC	llanura
y	CC	y
montañas	NC	montaña
,	CM	,
los	ART	el
bosques	NC	bosque
y	CC	y
los	ART	el
ríos	NC	río
de	PREP	de
mi	PPO	mi|mío
tierra	NC	tierra
,	CM	,
tan	ADV	tan
rica	ADJ	rico
y	CC	y
tan	ADV	tan
hermosa	ADJ	hermoso
,	CM	,
pero	CCAD	pero
tan	ADV	tan
absorbente	ADJ	absorbente
y	CC	y
dominatriz	ADJ	<unknown>
por	PREP	por
el	ART	el
influjo	NC	<unknown>
de	PREP	de
esa	DM	ese
misma	ADJ	mismo
belleza	NC	belleza
y	CC	y
que	CQUE	que
me	PPX	yo
habría	VHfin	haber
transformado	VLadj	transformar
ya	ADV	ya
en	PREP	en
una	ART	un
especie	NC	especie
de	PREP	de
vagabundo	NC	vagabundo
como	CSUBX	como
un	ART	un
beduino	ADJ	<unknown>
,	CM	,
si	CSUBX	si
no	NEG	no
hubiera	VHfin	haber
sido	VSadj	ser
por	PREP	por
los	ART	el
imanes	NC	imán
del	PDEL	del
corazón	NC	corazón
y	CC	y
el	ART	el
vértigo	NC	vértigo
avasallador	ADJ	<unknown>
de	PREP	de
una	ART	un
ciudad	NC	ciudad
en	PREP	en
la	ART	el
que	CQUE	que
se	SE	se
respira	VLfin	respirar
una	ART	un
atmósfera	NC	atmósfera
intelectual	ADJ	intelectual
y	CC	y
necesaria	ADJ	necesario
.	FS	.
Al	PAL	al
rumor	NC	rumor
de	PREP	de
los	ART	el
torrentes	NC	torrente
,	CM	,
reemplazaba	VLfin	reemplazar
el	ART	el
tumulto	NC	tumulto
de	PREP	de
los	ART	el
grandes	ADJ	grande
centros	NC	centro
urbanos	ADJ	urbano
;	SEMICOLON	;
al	CSUBI	al
aroma	NC	aroma
de	PREP	de
los	ART	el
bosques	NC	bosque
,	CM	,
el	ART	el
humo	NC	humo
de	PREP	de
40	CARD	@card@
000	CARD	@card@
cocinas	NC	cocina
;	SEMICOLON	;
al	PAL	al
poncho	NC	<unknown>
el	ART	el
sobretodo	NC	sobretodo
;	SEMICOLON	;
á	ALFS	á
la	ART	el
montaña	NC	montaña
de	PREP	de
cima	NC	cima
nevada	NC	nevada
el	ART	el
frontispicio	NC	<unknown>
corintio	ADJ	<unknown>
;	SEMICOLON	;
al	PAL	al
asador	NC	asador
la	ART	el
parrilla	NC	parrilla
,	CM	,
al	PAL	al
cuchillo	NC	cuchillo
de	PREP	de
monte	NC	monte
el	ART	el
cubierto	VLadj	cubrir
,	CM	,
y	CC	y
al	PAL	al
rebenque	NC	<unknown>
la	ART	el
lapicera	NC	lapicero
.	FS	.
A	PREP	a
las	ART	el
primeras	ORD	primero
preguntas	NC	pregunta
,	CM	,
responden	VLfin	responder
las	ART	el
promesas	NC	promesa
de	PREP	de
próximas	ADJ	próximo
narraciones	NC	narración
de	PREP	de
lo	ART	el
que	CQUE	que
no	NEG	no
se	SE	se
escribe	VLfin	escribir
.	FS	.
La	ART	el
correspondencia	NC	correspondencia
está	VEfin	estar
ahí	ADV	ahí
,	CM	,
toda	QU	todo
íntegra	ADJ	íntegro
.	FS	.
Al	PAL	al
través	NC	través
de	PREP	de
las	ART	el
leguas	NC	legua
,	CM	,
el	ART	el
itinerario	NC	itinerario
se	SE	se
ha	VHfin	haber
seguido	VLadj	seguir
por	PREP	por
el	ART	el
telégrafo	NC	telégrafo
y	CC	y
sobre	PREP	sobre
el	ART	el
mapa	NC	mapa
,	CM	,
y	CC	y
las	ART	el
interrupciones	NC	interrupción
y	CC	y
expectativas	NC	expectativa
que	CQUE	que
motivó	VLfin	motivar
el	ART	el
desierto	NC	desierto
se	SE	se
compulsarán	VLfin	<unknown>
más	ADV	más
tarde	ADV	tarde
con	PREP	con
los	ART	el
apuntes	NC	apunte
de	PREP	de
la	ART	el
cartera	NC	cartera
de	PREP	de
viaje	NC	viaje
.	FS	.
Procedamos	VLfin	proceder
con	PREP	con
orden	NC	orden
.	FS	.
Coloquemos	VLfin	colocar
las	ART	el
colecciones	NC	colección
bajo	PREP	bajo
techo	NC	techo
,	CM	,
no	NEG	no
sea	VSfin	ser
que	CQUE	que
una	ART	un
lluvia	NC	lluvia
inesperada	ADJ	inesperado
penetre	VLfin	penetrar
en	PREP	en
los	ART	el
cajones	NC	cajón
y	CC	y
las	PPC	él
dañe	VLfin	dañar
.	FS	.
Ya	ADV	ya
está	VEfin	estar
.	FS	.
Y	CC	y
después de	PREP	después~de
una	ART	un
policía	NC	policía
personal	ADJ	personal
tan	ADV	tan
minuciosa	ADJ	minucioso
como	CSUBX	como
sea	VSfin	ser
posible	ADJ	posible
,	CM	,
que	CQUE	que
comienza	VLfin	comenzar
en	PREP	en
la	ART	el
peluquería	NC	peluquería
y	CC	y
continúa	VLfin	continuar
en	PREP	en
el	ART	el
baño	NC	baño
,	CM	,
vamos	VLfin	ir
a	PREP	a
la	ART	el
mesa	NC	mesa
,	CM	,
y	CC	y
demos	VLfin	dar
rienda	NC	rienda
floja	ADJ	flojo
a	PREP	a
las	ART	el
curiosidades	NC	curiosidad
respectivas	ADJ	respectivo
.	FS	.
En	PREP	en
la	ART	el
serie	NC	serie
de	PREP	de
preguntas	NC	pregunta
y	CC	y
respuestas	NC	respuesta
se	SE	se
perfila	VLfin	perfilar
el	ART	el
deseo	NC	deseo
de	CSUBI	de
conocer	VLinf	conocer
los	ART	el
tesoros	NC	tesoro
recogidos	VLadj	recoger
en	PREP	en
lejanas	ADJ	lejano
comarcas	NC	comarca
.	FS	.
Los	ART	el
cajones	NC	cajón
se	SE	se
abren	VLfin	abrir
.	FS	.
Al	CSUBI	al
aparecer	VLinf	aparecer
una	ART	un
mariposa	NC	mariposa
de	PREP	de
espléndidas	ADJ	espléndido
alas	NC	ala
,	CM	,
brotan	VLfin	<unknown>
en	PREP	en
coro	NC	coro
las	ART	el
exclamaciones	NC	exclamación
,	CM	,
y	CC	y
al	CSUBI	al
brillar	VLinf	brillar
el	ART	el
plumaje	NC	<unknown>
rutilante	ADJ	<unknown>
de	PREP	de
un	ART	un
picaflor	NC	<unknown>
de	PREP	de
fuego	NC	fuego
,	CM	,
se	SE	se
oyen	VLfin	oír
blasfemias	NC	blasfemia
femeninas	ADJ	femenino
que	CQUE	que
lo	PPC	él
elogian	VLfin	elogiar
como	CSUBX	como
adorno	NC	adorno
del	PDEL	del
tocado	ADJ	tocado
.	FS	.
Aquí	ADV	aquí
están	VEfin	estar
las	ART	el
piedras	NC	piedra
;	SEMICOLON	;
allí	ADV	allí
los	ART	el
herbarios	NC	<unknown>
.	FS	.
—	DASH	--
«No	NC	<unknown>
vayan	VLfin	ir
a	PREP	a
romper	VLinf	romper
esos	DM	ese
frascos	NC	frasco
!	FS	!
»	SYM	»
—	DASH	--
«¿Es	VLfin	<unknown>
esta	DM	este
la	ART	el
víbora	NC	víbora
de	PREP	de
cascabel	NC	cascabel
?	FS	?
»	SYM	»
—	DASH	--
«¡Qué	VLfin	<unknown>
linda	ADJ	linda|lindo
rana	NC	rana
!	FS	!
»	SYM	»
—	DASH	--
«¿Qué	VLfin	<unknown>
pescadito	NC	<unknown>
es	VSfin	ser
este	DM	este
?	FS	?
»	SYM	»
—	DASH	--
«Aquí	VLfin	<unknown>
hay	VHfin	haber
huesos	NC	hueso
humanos.»	NC	<unknown>
—	DASH	--
»¿Y	VLfin	<unknown>
estos	DM	este
cacharros	NC	cacharro
?	FS	?
»	SYM	»
Los	NP	<unknown>
amigos	NC	amigo
y	CC	y
parientes	NC	pariente
acaban	VLfin	acabar
de	CSUBI	de
leer	VLinf	leer
la	ART	el
noticia	NC	noticia
de	PREP	de
la	ART	el
llegada	NC	llegada
y	CC	y
aumentan	VLfin	aumentar
la	ART	el
rueda	NC	rueda
.	FS	.
Los	ART	el
compañeros	NC	compañero
transfigurados	VLadj	<unknown>
,	CM	,
ya	ADV	ya
sin	PREP	sin
barba	NC	barba
,	CM	,
y	CC	y
en	PREP	en
posesión	NC	posesión
de	PREP	de
sus	PPO	suyo
actitudes	NC	actitud
urbanas	ADJ	urbano
,	CM	,
asisten	VLfin	asistir
a	PREP	a
la	ART	el
supresión	NC	supresión
del	PDEL	del
mantel	NC	mantel
,	CM	,
pieza	NC	pieza
que	CQUE	que
no	NEG	no
figuraba	VLfin	figurar
en	PREP	en
las	ART	el
cenas	NC	cena
de	PREP	de
los	ART	el
bosques	NC	bosque
.	FS	.
Todos	QU	todo
hablan	VLfin	hablar
,	CM	,
todos	QU	todo
preguntan	VLfin	preguntar
,	CM	,
todos	QU	todo
responden	VLfin	responder
,	CM	,
y	CC	y
la	ART	el
animación	NC	animación
del	PDEL	del
cuadro	NC	cuadro
parece	VLfin	parecer
no	NEG	no
debiera	VMfin	deber
concluir	VLinf	concluir
.	FS	.
Una	ART	un
mano	NC	mano
infantil	ADJ	infantil
y	CC	y
traviesa	VLfin	travesar
levanta	VLfin	levantar
un	ART	un
cráneo	NC	cráneo
y	CC	y
lo	PPC	él
muestra	VLfin	mostrar
a	PREP	a
los	ART	el
circunstantes	NC	<unknown>
.	FS	.
Los	ART	el
competentes	ADJ	competente
se	SE	se
apoderan	VLfin	apoderar
de	PREP	de
él	PPX	él
,	CM	,
lo	PPC	él
miran	VLfin	mirar
,	CM	,
lo	PPC	él
examinan	VLfin	examinar
,	CM	,
y	CC	y
declaran	VLfin	declarar
que	CQUE	que
pertenece	VLfin	pertenecer
a	PREP	a
una	ART	un
raza	NC	raza
indígena	ADJ	indígena
y	CC	y
sin	PREP	sin
mezcla	NC	mezcla
.	FS	.
—	DASH	--
«A	VLfin	<unknown>
propósito»	NP	<unknown>
—	DASH	--
dice	VLfin	decir
Alberto	NP	Alberto
—	DASH	--
«tengo	VLfin	<unknown>
algo	QU	algo
que	CQUE	que
te	PPX	tú
puede	VMfin	poder
ser	VSinf	ser
útil.»	ADJ	<unknown>
—	DASH	--
«¿De	VLfin	<unknown>
qué	INT	qué
se	SE	se
trata	VLfin	tratar
?	FS	?
—	DASH	--
«En	VLfin	<unknown>
casa	NC	casa
de	PREP	de
una	ART	un
familia	NC	familia
de	PREP	de
mi	PPO	mi|mío
relación	NC	relación
,	CM	,
vivía	VLfin	vivir
,	CM	,
hace	VLfin	hacer
algún	QU	alguno
tiempo	NC	tiempo
,	CM	,
un	ART	un
estudiante	NC	estudiante
de	PREP	de
Medicina	NP	<unknown>
,	CM	,
que	CQUE	que
ha	VHfin	haber
dejado	VLadj	dejar
allí	ADV	allí
una	ART	un
bolsa	NC	bolsa
de	PREP	de
huesos	NC	hueso
,	CM	,
y	CC	y
no	NEG	no
saben	VLfin	saber
qué	INT	qué
hacer	VLinf	hacer
con	PREP	con
ella	PPX	él
después de	CSUBI	después~de
haberse	VCLIinf	haberse
retirado	VLadj	retirar
él	PPX	él
;	SEMICOLON	;
¿	FS	?
los	PPC	él
quieres	VLfin	querer
?	FS	?
»	SYM	»
—	DASH	--
«Mándamelos	NC	<unknown>
;	SEMICOLON	;
no	NEG	no
faltará	VLfin	faltar
algún	QU	alguno
estudiante	NC	estudiante
a	PREP	a
quien	REL	quien
le	PPC	él|le
puedan	VMfin	poder
servir.»	NC	<unknown>
—	DASH	--
«Mañana	NC	<unknown>
los	PPC	él
tendrás	VLfin	tener
aquí.»	NP	<unknown>
—	DASH	--
«¿Dónde	ADJ	<unknown>
es	VSfin	ser
la	ART	el
casa	NC	casa
?	FS	?
»	SYM	»
—	DASH	--
«Calle	VLfin	<unknown>
Tucumán	NP	Tucumán
,	CM	,
número	NC	número
tantos.»	NC	<unknown>
—	DASH	--
«¿Y	NC	<unknown>
estás	VEfin	estar
seguro	ADJ	seguro
de	PREP	de
que	CQUE	que
son	VSfin	ser
huesos	NC	hueso
de	PREP	de
estudio	NC	estudio
?	FS	?
»	SYM	»
—	DASH	--
«¡Ya	NC	<unknown>
lo	PPC	él
creo	VLfin	crear|creer|creer
!	FS	!
»	SYM	»
—	DASH	--
«¿Has	VLfin	<unknown>
conocido	VLadj	conocer
al	PAL	al
estudiante	NC	estudiante
?	FS	?
»	SYM	»
—	DASH	--
«Yo	VLfin	<unknown>
no	NEG	no
;	SEMICOLON	;
pero	CCAD	pero
la	ART	el
familia	NC	familia
sí.»	NC	<unknown>
—	DASH	--
«¿Y	NC	<unknown>
no	NEG	no
podrían	VMfin	poder
ser	VSinf	ser
huesos	NC	hueso
con	PREP	con
los	ART	el
que	CQUE	que
tuviera	VLfin	tener
algo	QU	algo
que	CQUE	que
hacer	VLinf	hacer
la	ART	el
Policía	NP	<unknown>
?	FS	?
»	SYM	»
—	DASH	--
«¡No	NC	<unknown>
embromes	ADJ	<unknown>
!	FS	!
»	SYM	»
—	DASH	--
«No	NC	<unknown>
;	SEMICOLON	;
pero	CCAD	pero
es	VSfin	ser
bueno	ADJ	bueno
que	CQUE	que
te	PPX	tú
lo	PPC	él
avise.»	VLfin	<unknown>
Hasta	NP	<unknown>
este	DM	este
momento	NC	momento
,	CM	,
el	ART	el
lector	NC	lector
no	NEG	no
ha	VHfin	haber
tenido	VLadj	tener
motivo	NC	motivo
para	CSUBI	para
interesarse	VCLIinf	interesarse
con	PREP	con
el	ART	el
desordenado	ADJ	desordenado
prólogo	NC	prólogo
que	CQUE	que
precede	VLfin	preceder
a	PREP	a
esta	DM	este
línea	NC	línea
,	CM	,
y	CC	y
casi	ADV	casi
se	SE	se
siente	VLfin	sentar|sentir
inclinado	VLadj	inclinar
a	PREP	a
abandonar	VLinf	abandonar
una	ART	un
lectura	NC	lectura
que	CQUE	que
,	CM	,
desde	PREP	desde
el	ART	el
principio	NC	principio
,	CM	,
le	PPC	él|le
ha	VHfin	haber
ofrecido	VLadj	ofrecer
un	ART	un
despliegue	NC	despliegue
de	PREP	de
asuntos	NC	asunto
personales	ADJ	personal
,	CM	,
y	CC	y
muy	ADV	muy
poca	QU	pocos
materia	NC	materia
de	PREP	de
curiosidad	NC	curiosidad
.	FS	.
Pero	CCAD	pero
está	VEfin	estar
en	PREP	en
un	ART	un
error	NC	error
,	CM	,
y	CC	y
es	VSfin	ser
verosímil	ADJ	<unknown>
que	CQUE	que
,	CM	,
juzgando	VLger	juzgar
con	PREP	con
imparcialidad	NC	imparcialidad
y	CC	y
sano	ADJ	sano
criterio	NC	criterio
,	CM	,
reconozca	VLfin	reconocer
en	PREP	en
el	ART	el
autor	NC	autor
algún	QU	alguno
motivo	NC	motivo
para	CSUBI	para
ofrecerle	VCLIinf	ofrecer
una	ART	un
madeja	NC	madeja
enredada	VLadj	enredar
