SCÈNES	Vvc	SCÈNES
FRANÇAISES	Ag	FRANÇAISES
.	Fs	.
Cinthio	Nc	Cinthio
et	Cc	ET
Colombine	Nc	Colombine
arrivent	Vvc	ARRIVER
ensemble	Rg	ENSEMBLE
à	S	À
l'	Da	LE
hôtellerie	Nc	HÔTELLERIE
d'	S	DE
Arlequin	Nc	ARLEQUIN
.	Fs	.
Colombine	Ag	COLOMBIN
fait	Vvc	FAIRE
part	Nc	PART
à	S	À
Cinthio	Nc	Cinthio
de	S	DE
l'	Da	LE
infidélité	Nc	INFIDÉLITÉ
d'	S	DE
Octave	Nc	OCTAVE
,	Fw	,
et	Cc	ET
de	S	DE
l'	Da	LE
embarras	Nc	EMBARRA|EMBARRAS
où	Pr	OÙ
elle	Pp	IL
se	Pp	IL
trouve	Vvc	TROUVER
en	S	EN
voyageant	Ga	VOYAGER
seule	Ag	SEUL
.	Fs	.
Cinthio	Nc	Cinthio
tâche	Vvc	TÂCHER
de	S	DE
la	Pp	IL
rassurer	Vvn	RASSURER
,	Fw	,
offre	Vvc	OFFRIR
de	S	DE
l'	Pp	IL
accompagner	Vvn	ACCOMPAGNER
,	Fw	,
et	Cc	ET
lui	Pp	IL
persuade	Vvc	PERSUADER
de	S	DE
se	Pp	IL
faire	Vvn	FAIRE
passer	Vvn	PASSER
pour	S	POUR
sa	Ds	SON
soeur	Nc	SUR
.	Fs	.
Il	Pp	IL
frappe	Vvc	FRAPPER
à	S	À
la	Da	LE
porte	Nc	PORTE|PORTÉ
d'	S	DE
Arlequin	Nc	ARLEQUIN
.	Fs	.
Arlequin	Nc	ARLEQUIN
répond	Vvc	RÉPONDRE
quelque	Di	QUELQUE
temps	Nc	TEMPS
sans	S	SANS
paraître	Vvn	PARAÎTRE
,	Fw	,
et	Cc	ET
donne	Vvc	DONNER
,	Fw	,
dans	S	DANS
l'	Da	LE
intérieur	Nc	INTÉRIEUR
de	S	DE
sa	Ds	SON
maison	Nc	MAISON
,	Fw	,
des	S+Da	DE+LE|DE+LES
ordres	Nc	ORDRE
extravagants	Ag	EXTRAVAGANT
:	Fw	:
enfin	Rg	ENFIN
,	Fw	,
il	Pp	IL
entre	Vvc	ENTRER
sur	S	SUR
la	Da	LE
scène	Nc	SCÈNE
.	Fs	.
Cinthio	Nc	Cinthio
lui	Pp	IL
demande	Vvc	DEMANDER
deux	Nc	DEUX
