Nuit-Blanche	Nc	Nuit-Blanche
!	Fs	!
Monsieur	Nc	MONSIEUR
?	Fs	?
N'	Rp	NE
est	Vuc	ÊTRE
-ce	Vvc	-ce
point	Rg	POINT
ici	Rg	ICI
la	Da	LE
maison	Nc	MAISON
?	Fs	?
Je	Pp	JE
crois	Vvc	CROIRE|CROÎTRE
que	Cs	QUE
nous	Pp	NOUS
y	Pp	Y
voici	I	VOICI
.	Fs	.
Nous	Pp	NOUS
sommes	Vuc	ÊTRE
près	Rg	PRÈS
du	S+Da	DE+LE
jardin	Nc	JARDIN
du	S+Da	DE+LE
président	Nc	PRÉSIDENT
Bodin	Ag	Bodin
:	Fw	:
n'	Rp	NE
est	Vuc	ÊTRE
-ce	Vvc	-ce
pas	Rg	PAS
cela	Pd	CELA
que	Pr	QUE
vous	Pp	VOUS
cherchez	Vvc	CHERCHER
?	Fs	?
Oui	Rg	OUI
,	Fw	,
c'	Pd	CE
est	Vuc	ÊTRE
cela	Pd	CELA
même	Ag	MÊME
;	Fw	;
mais	Cc	MAIS
il	Pp	IL
faut	Vvc	FAILLIR|FALLOIR
bien	Rg	BIEN
autre	Ag	AUTRE
chose	Nc	CHOSE
.	Fs	.
Ils	Pp	ILS
s'	Pp	SE
introduisent	Vvc	INTRODUIRE
dans	S	DANS
le	Da	LE
jardin	Nc	JARDIN
.	Fs	.
Elle	Pp	IL
ne	Rp	NE
paraît	Vvc	PARAÎTRE
point	Rg	POINT
encore	Rg	ENCORE
.	Fs	.
Qui	Pt	QUI
?	Fs	?
Elle	Pp	IL
.	Fs	.
Qui	Pr	QUI
,	Fw	,
elle	Pp	IL
?	Fs	?
Cette	Dd	CE
fille	Nc	FILLE
charmante	Ga	CHARMER
.	Fs	.
Quoi	Pt	QUE|QUOI
!	Fs	!
Monsieur	Nc	MONSIEUR
,	Fw	,
la	Da	LE
fille	Nc	FILLE
du	S+Da	DE+LE
président	Nc	PRÉSIDENT
Bodin	Ag	Bodin
vous	Pp	VOUS
aurait	Vuc	AVOIR
déjà	Rg	DÉJÀ
donné	Ge	DONNER
rendez-vous	Nc	RENDEZ-VOUS
?	Fs	?
Je	Pp	JE
vous	Pp	VOUS
trouve	Vvc	TROUVER
bien	Rg	BIEN
impertinent	Ag	IMPERTINENT
avec	S	AVEC
votre	Ds	VOTRE
déjà	Rg	DÉJÀ
il	Pp	IL
y	Pp	Y
a	Vuc	AVOIR
un	Dn	UN
mois	Nc	MOI|MOIS
entier	Ag	ENTIER
que	Pr	QUE
je	Pp	JE
l'	Pp	IL
aime	Vvc	AIMER
,	Fw	,
et	Cc	ET
qu'	Cs	QUE
elle	Pp	IL
le	Pp	IL
sait	Vvc	SAVOIR
;	Fw	;
il	Pp	IL
y	Pp	Y
