Hé	Vvc	Hé
!	Fs	!
Que	Rg	QUE
diable	Ag	DIABLE
,	Fw	,
messieurs	Nc	MONSIEUR
,	Fw	,
ne	Rp	NE
sauriez	Vvc	SAURER|SAVOIR
-vous	Nc	-vous
mieux	Rg	MIEUX
prendre	Vvn	PRENDRE
votre	Ds	VOTRE
temps	Nc	TEMPS
pour	S	POUR
être	Vun	ÊTRE
malades	Ag	MALADE
?	Fs	?
Cela	Pd	CELA
est	Vuc	ÊTRE
de	S	DE
la	Da	LE
dernière	Ag	DERNIER
impertinence	Nc	IMPERTINENCE
,	Fw	,
de	S	DE
se	Pp	IL
trouver	Vvn	TROUVER
mal	Rg	MAL
quand	Cs	QUAND
il	Pp	IL
faut	Vvc	FAILLIR|FALLOIR
gagner	Vvn	GAGNER
de	S	DE
l'	Da	LE
argent	Nc	ARGENT
.	Fs	.
Que	Pt	QUE
voulez	Vvc	VOULOIR
-vous	Nc	-vous
que	Pr	QUE
je	Pp	JE
fasse	Vvc	FAIRE
de	S	DE
tout	Di	TOUT
ce	Dd	CE
monde	Nc	MONDE
-là	Vvc	-là
?	Fs	?
Aux	S+Da	À+LES
auditeurs	Nc	AUDITEUR
.	Fs	.
Messieurs	Nc	MONSIEUR
,	Fw	,
ce	Pd	CE
que	Pr	QUE
je	Pp	JE
vais	Vvc	ALLER
vous	Pp	VOUS
dire	Vvn	DIRE
vous	Pp	VOUS
déplaira	Vvc	DÉPLAIRE
peut-être	Rg	PEUT-ÊTRE
;	Fw	;
mais	Cc	MAIS
,	Fw	,
en	S	EN
vérité	Nc	VÉRITÉ
,	Fw	,
j'	Pp	JE
en	Pp	EN
suis	Vuc	ÊTRE
plus	Rg	PLUS
fâché	Ge	FÂCHER
que	Cs	QUE
vous	Pp	VOUS
,	Fw	,
et	Cc	ET
personne	Pi	PERSONNE
n'	Rp	NE
y	Pp	Y
perd	Vvc	PERDRE
tant	Rg	TANT
que	Cs	QUE
moi	Pp	JE
.	Fs	.
Nous	Pp	NOUS
ne	Rp	NE
pouvons	Vvc	POUVOIR
pas	Rg	PAS
jouer	Vvn	JOUER
la	Da	LE
comédie	Nc	COMÉDIE
aujourd'hui	Rg	AUJOURD'HUI
;	Fw	;
voilà	I	VOILÀ
notre	Ds	NOTRE
portier	Nc	PORTIER
qui	Pr	QUI
vient	Vvc	VENIR
de	S	DE
se	Pp	IL
trouver	Vvn	TROUVER
mal	Rg	MAL
,	Fw	,
et	Cc	ET
Pantalon	Nc	PANTALON
,	Fw	,
qui	Pr	QUI
devait	Vvc	DEVOIR
faire	Vvn	FAIRE
un	Dn	UN
