Crispe	Vvc	CRISPER
,	Fw	,
il	Pp	IL
n'	Rp	NE
est	Vuc	ÊTRE
que	Rg	QUE
trop	Rg	TROP
vrai	Ag	VRAI
,	Fw	,
la	Da	LE
plus	Rg	PLUS
belle	Ag	BEAU
couronne	Nc	COURONNE
N'	Ag	N'
a	Vuc	AVOIR
que	Rg	QUE
de	S	DE
faux	Ag	FAUX
brillants	Nc	BRILLANT
dont	Pr	DONT
l'	Da	LE
éclat	Nc	ÉCLAT
l'	Pp	IL
environne	Vvc	ENVIRONNER
,	Fw	,
Et	Vvc	Et
celui	Pd	CELUI
dont	Pr	DONT
le	Da	LE
ciel	Nc	CIEL
pour	S	POUR
un	Dn	UN
sceptre	Nc	SCEPTRE
fait	Ge	FAIRE
choix	Nc	CHOIX
,	Fw	,
Jusqu'	Vvc	Jusqu'
à	S	À
ce	Pd	CE
qu'	Pr	QUE
il	Pp	IL
le	Pp	IL
porte	Vvc	PORTER
,	Fw	,
en	Pp	EN
ignore	Vvc	IGNORER
le	Da	LE
poids	Nc	POIDS
.	Fs	.
Mille	Nc	MILLE
et	Cc	ET
mille	Nc	MILLE
douceurs	Nc	DOUCEUR
y	Pp	Y
semblent	Vvc	SEMBLER
attachées	Ge	ATTACHER
,	Fw	,
Qui	Vvc	Qui
ne	Rp	NE
sont	Vuc	ÊTRE
qu'	Rg	QUE
un	Dn	UN
amas	Nc	AMAS
d'	S	DE
amertumes	Nc	AMERTUME
cachées	Ge	CACHER
.	Fs	.
Qui	Pt	QUI
croit	Vvc	CROIRE|CROÎTRE
les	Pp	ILS
posséder	Vvn	POSSÉDER
les	Pp	ILS
sent	Vvc	SENTIR
s'	Pp	SE
évanouir	Vvn	ÉVANOUIR
Et	Vvc	Et
la	Da	LE
peur	Nc	PEUR
de	S	DE
les	Pp	ILS
perdre	Vvn	PERDRE
empêche	Vvc	EMPÊCHER
d'	S	DE
en	Pp	EN
jouir	Vvn	JOUIR
;	Fw	;
Surtout	Vvc	Surtout
,	Fw	,
qui	Pr	QUI
,	Fw	,
comme	Cs	COMME
moi	Pp	JE
,	Fw	,
d'	S	DE
une	Dn	UN
obscure	Ag	OBSCUR
naissance	Nc	NAISSANCE
Monte	Vvc	MONTER
par	S	PAR
la	Da	LE
révolte	Nc	RÉVOLTE|RÉVOLTÉ
à	S	À
la	Da	LE
toute-puissance	Nc	TOUTE-PUISSANCE
,	Fw	,
Qui	Vvc	Qui
,	Fw	,
de	S	DE
simple	Ag	SIMPLE
soldat	Nc	SOLDAT
à	S	À
l'	Da	LE
empire	Nc	EMPIRE
élevé	Ge	ÉLEVER
,	Fw	,
Ne	Vvc	Ne
l'	Pp	IL
a	Vuc	AVOIR
que	Rg	QUE
par	S	PAR
le	Da	LE
crime	Nc	CRIME
acquis	Nc	ACQUIS|ACQUIT
et	Cc	ET
conservé	Ge	CONSERVER
;	Fw	;
Autant	Ga	Autant
que	Cs	QUE
sa	Ds	SON
fureur	Nc	FUREUR
s'	Pp	SE
est	Vuc	ÊTRE
immolé	Ge	IMMOLER
de	S	DE
têtes	Nc	TÊTE
,	Fw	,
Autant	Ga	Autant
dessus	S	DESSUS
la	Da	LE
sienne	Ps	SIEN
il	Pp	IL
croit	Vvc	CROIRE|CROÎTRE
voir	Vvn	VOIR
de	S	DE
tempêtes	Nc	TEMPÊTE
,	Fw	,
Et	Vvc	Et
comme	Cs	COMME
il	Pp	IL
n'	Rp	NE
a	Vuc	AVOIR
semé	Ge	SEMER
qu'	Pr	QUE
épouvante	Vvc	ÉPOUVANTER
et	Cc	ET
qu'	Cs	QUE
horreur	Nc	HORREUR
,	Fw	,
Il	Vvc	Il
n'	Rp	NE
en	Pp	EN
recueille	Vvc	RECUEILLIR
enfin	Rg	ENFIN
que	Rg	QUE
trouble	Ag	TROUBLE
et	Cc	ET
que	Cs	QUE
terreur	Nc	TERREUR
J'	Vvc	J'
en	Pp	EN
ai	Vuc	AVOIR
semé	Ge	SEMER
beaucoup	Rg	BEAUCOUP
,	Fw	,
et	Cc	ET
depuis	S	DEPUIS
quatre	Nc	QUATRE
lustres	Vvc	LUSTRER
Mon	Nc	Mon
trône	Nc	TRÔNE
n'	Rp	NE
est	Vuc	ÊTRE
fondé	Ge	FONDER
que	Cs	QUE
sur	S	SUR
des	Dn	UN
morts	Nc	MORT
illustres	Ag	ILLUSTRE
,	Fw	,
Et	Vvc	Et
j'	Pp	JE
ai	Vuc	AVOIR
mis	Ge	METTRE
au	S+Da	À+LE
tombeau	Nc	TOMBEAU
,	Fw	,
pour	S	POUR
régner	Vvn	RÉGNER
sans	S	SANS
effroi	Nc	EFFROI
,	Fw	,
Tout	Vvc	Tout
ce	Pd	CE
que	Pr	QUE
j'	Pp	JE
en	Pp	EN
ai	Vuc	AVOIR
vu	Ge	VOIR
de	S	DE
plus	Rg	PLUS
digne	Ag	DIGNE
que	Cs	QUE
moi	Pp	JE
.	Fs	.
Mais	Cc	MAIS
le	Da	LE
sang	Nc	SANG
répandu	Ge	RÉPANDRE
de	S	DE
l'	Da	LE
empereur	Nc	EMPEREUR
Maurice	Ag	Maurice
,	Fw	,
Ses	Vvc	Ses
cinq	Nc	CINQ
fils	Nc	FIL|FILS
,	Fw	,
à	S	À
ses	Ds	SON
yeux	Nc	OEIL|YEUX
envoyés	Ge	ENVOYER
au	S+Da	À+LE
supplice	Nc	SUPPLICE
