Non	Rg	NON
,	Fw	,
ce	Pd	CE
n'	Rp	NE
est	Vuc	ÊTRE
point	Rg	POINT
un	Dn	UN
choix	Nc	CHOIX
qui	Pr	QUI
pour	S	POUR
ces	Dd	CE
deux	Nc	DEUX
amants	Nc	AMANT
,	Fw	,
Sut	Vvc	SAVOIR
régler	Vvn	RÉGLER
de	S	DE
mon	Ds	MON
coeur	Nc	CUR
les	Da	LE
secrets	Ag	SECRET
sentiments	Nc	SENTIMENT
;	Fw	;
Et	Vvc	Et
le	Da	LE
prince	Nc	PRINCE
n'	Rp	NE
a	Vuc	AVOIR
point	Rg	POINT
dans	S	DANS
tout	Pi	TOUT
ce	Pd	CE
qu'	Pr	QUE
il	Pp	IL
peut	Vvc	POUVOIR
être	Vun	ÊTRE
Ce	Ge	Ce
qui	Pr	QUI
fit	Vvc	FAIRE
préférer	Vvn	PRÉFÉRER
l'	Da	LE
amour	Nc	AMOUR
qu'	Pr	QUE
il	Pp	IL
fait	Vvc	FAIRE
paraître	Vvn	PARAÎTRE
.	Fs	.
Don	Nc	DON
Sylve	Vvc	Sylve
,	Fw	,
comme	Cs	COMME
lui	Pp	IL
,	Fw	,
fit	Vvc	FAIRE
briller	Vvn	BRILLER
à	S	À
mes	Ds	MON
yeux	Nc	OEIL|YEUX
Toutes	Vvc	Toutes
les	Da	LE
qualités	Nc	QUALITÉ
d'	S	DE
un	Dn	UN
héros	Nc	HÉROS
glorieux	Ag	GLORIEUX
;	Fw	;
Même	Vvc	Même
éclat	Nc	ÉCLAT
de	S	DE
vertus	Nc	VERTU
,	Fw	,
joint	Ge	JOINDRE
à	S	À
même	Ag	MÊME
naissance	Nc	NAISSANCE
,	Fw	,
Me	Vvc	Me
parlait	Vvc	PARLER
en	S	EN
tous	Di	TOUT
deux	Nc	DEUX
pour	S	POUR
cette	Dd	CE
préférence	Nc	PRÉFÉRENCE
;	Fw	;
Et	Vvc	Et
je	Pp	JE
serais	Vuc	ÊTRE
encore	Rg	ENCORE
à	S	À
nommer	Vvn	NOMMER
le	Da	LE
vainqueur	Nc	VAINQUEUR
,	Fw	,
Si	Vvc	Si
le	Da	LE
mérite	Nc	MÉRITE
seul	Ag	SEUL
prenait	Vvc	PRENDRE
droit	Rg	DROIT
sur	S	SUR
un	Dn	UN
coeur	Nc	CUR
:	Fw	:
Mais	Cc	MAIS
ces	Dd	CE
chaînes	Nc	CHAÎNE
du	S+Da	DE+LE
ciel	Nc	CIEL
qui	Pr	QUI
tombent	Vvc	TOMBER
sur	S	SUR
nos	Ds	NOTRE
âmes	Nc	ÂME
Décidèrent	Vvc	Décidèrent
en	S	EN
moi	Pp	JE
le	Da	LE
destin	Nc	DESTIN
de	S	DE
leurs	Ds	LEUR
flammes	Nc	FLAMME
;	Fw	;
Et	Vvc	Et
toute	Di	TOUT
mon	Ds	MON
estime	Nc	ESTIME
,	Fw	,
égale	Vvc	ÉGALER
entre	S	ENTRE
les	Da	LE
deux	Nc	DEUX
,	Fw	,
Laissa	Vvc	LAISSER
vers	S	VERS
dom	Nc	DOM
Garcie	Vvc	Garcie
entraîner	Vvn	ENTRAÎNER
tous	Di	TOUT
mes	Ds	MON
voeux	Nc	VU
.	Fs	.
Cet	Dd	CE
amour	Nc	AMOUR
que	Cs	QUE
pour	S	POUR
lui	Pp	IL
votre	Ds	VOTRE
astre	Nc	ASTRE|ÂTRE
vous	Pp	VOUS
inspire	Vvc	INSPIRER
N'	Nc	N'
a	Vuc	AVOIR
sur	S	SUR
vos	Ds	VOTRE
actions	Nc	ACTION
pris	Ge	PRENDRE
que	Cs	QUE
bien	Rg	BIEN
peu	Rg	PEU
d'	S	DE
empire	Nc	EMPIRE
,	Fw	,
Puisque	Vvc	Puisque
nos	Ds	NOTRE
yeux	Nc	OEIL|YEUX
,	Fw	,
Madame	Nc	MADAME
,	Fw	,
ont	Vuc	AVOIR
pu	Ge	POUVOIR
longtemps	Rg	LONGTEMPS
douter	Vvn	DOUTER
Qui	Vvc	Qui
de	S	DE
ces	Dd	CE
deux	Nc	DEUX
amants	Nc	AMANT
vous	Pp	VOUS
vouliez	Vvc	VOULOIR
mieux	Rg	MIEUX
traiter	Vvn	TRAITER
.	Fs	.
De	S	DE
ces	Dd	CE
nobles	Ag	NOBLE
rivaux	Nc	RIVAL
l'	Da	LE
amoureuse	Ag	AMOUREUX
poursuite	Nc	POURSUITE
À	Nc	À
de	S	DE
fâcheux	Ag	FÂCHEUX
combats	Nc	COMBAT
,	Fw	,
élise	Vvc	ÉLIRE
,	Fw	,
m'	Pp	JE
a	Vuc	AVOIR
réduite	Ge	RÉDUIRE
.	Fs	.
Quand	Cs	QUAND
je	Pp	JE
regardais	Vvc	REGARDER
l'	Da	LE
un	Pi	UN
,	Fw	,
rien	Pi	RIEN
ne	Rp	NE
me	Pp	JE
reprochait	Vvc	REPROCHER
Le	Vvc	Le
tendre	Ag	TENDRE
mouvement	Nc	MOUVEMENT
où	Pr	OÙ
mon	Ds	MON
âme	Nc	ÂME
penchait	Vvc	PENCHER
;	Fw	;
Mais	Vvc	Mais
je	Pp	JE
me	Pp	JE
l'	Pp	IL
imputais	Vvc	IMPUTER
à	S	À
beaucoup	Rg	BEAUCOUP
d'	S	DE
injustice	Nc	INJUSTICE
Quand	Ag	Quand
de	S	DE
l'	Da	LE
autre	Pi	AUTRE
à	S	À
mes	Ds	MON
yeux	Nc	OEIL|YEUX
s'	Pp	SE
offrait	Vvc	OFFRIR
le	Da	LE
sacrifice	Nc	SACRIFICE
;	Fw	;
Et	Vvc	Et
dom	Nc	DOM
Sylve	Vvc	Sylve
,	Fw	,
après	S	APRÈS
tout	Pi	TOUT
,	Fw	,
dans	S	DANS
ses	Ds	SON
soins	Nc	SOIN
amoureux	Ag	AMOUREUX
Me	Vvc	Me
semblait	Vvc	SEMBLER
mériter	Vvn	MÉRITER
un	Dn	UN
destin	Nc	DESTIN
plus	Rg	PLUS
heureux	Ag	HEUREUX
.	Fs	.
Je	Pp	JE
m'	Pp	JE
opposais	Vvc	OPPOSER
encore	Rg	ENCORE
ce	Pd	CE
qu'	Pr	QUE
au	S+Da	À+LE
sang	Nc	SANG
de	S	DE
Castille	Nc	Castille
Du	Vvc	Du
feu	Nc	FEU
roi	Nc	ROI
de	S	DE
Léon	Nc	Léon
semble	Vvc	SEMBLER
devoir	Vvn	DEVOIR
la	Da	LE
fille	Nc	FILLE
,	Fw	,
Et	Vvc	Et
la	Da	LE
longue	Ag	LONG
amitié	Nc	AMITIÉ
qui	Pr	QUI
d'	S	DE
un	Dn	UN
étroit	Ag	ÉTROIT
lien	Nc	LIEN
Joignit	Vvc	JOINDRE
les	Da	LE
intérêts	Nc	INTÉRÊT
de	S	DE
son	Ds	SON
père	Nc	PÈRE
et	Cc	ET
du	S+Da	DE+LE
mien	Ps	MIEN
.	Fs	.
Ainsi	Rg	AINSI
,	Fw	,
plus	Rg	PLUS
dans	S	DANS
mon	Ds	MON
âme	Nc	ÂME
un	Dn	UN
autre	Pi	AUTRE
prenait	Vvc	PRENDRE
place	Nc	PLACE|PLACÉ
,	Fw	,
Plus	Vvc	PLAIRE
de	S	DE
tous	Di	TOUT
ses	Ds	SON
respects	Nc	RESPECT
je	Pp	JE
plaignais	Vvc	PLAINDRE
la	Da	LE
disgrâce	Nc	DISGRÂCE
;	Fw	;
Ma	Vvc	Ma
pitié	Nc	PITIÉ
,	Fw	,
complaisante	Ga	COMPLAIRE
à	S	À
ses	Ds	SON
brûlants	Ag	BRÛLANT
soupirs	Nc	SOUPIR
,	Fw	,
D'	Nc	D'
un	Dn	UN
dehors	Nc	DEHORS
favorable	Ag	FAVORABLE
amusait	Vvc	AMUSER
ses	Ds	SON
désirs	Nc	DÉSIR
,	Fw	,
Et	Vvc	Et
voulait	Vvc	VOULOIR
réparer	Vvn	RÉPARER
,	Fw	,
par	S	PAR
ce	Dd	CE
faible	Ag	FAIBLE
avantage	Nc	AVANTAGE
,	Fw	,
Ce	Vvc	Ce
qu'	Cs	QUE
au	S+Da	À+LE
fond	Nc	FOND
de	S	DE
mon	Ds	MON
coeur	Nc	CUR
je	Pp	JE
lui	Pp	IL
faisais	Vvc	FAIRE
d'	S	DE
outrage	Nc	OUTRAGE
.	Fs	.
Mais	Cc	MAIS
son	Ds	SON
premier	Ag	PREMIER
amour	Nc	AMOUR
,	Fw	,
que	Cs	QUE
vous	Pp	VOUS
avez	Vuc	AVOIR
appris	Ge	APPRENDRE
,	Fw	,
Doit	Vvc	DEVOIR
de	S	DE
cette	Dd	CE
contrainte	Nc	CONTRAINTE
affranchir	Vvn	AFFRANCHIR
vos	Ds	VOTRE
esprits	Nc	ESPRIT|ESPRITS
;	Fw	;
Et	Vvc	Et
puisqu'avant	Cs	puisqu'avant
ses	Ds	SON
soins	Nc	SOIN
,	Fw	,
où	Pr	OÙ
pour	S	POUR
vous	Pp	VOUS
il	Pp	IL
s'	Pp	SE
engage	Vvc	ENGAGER
,	Fw	,
Done	Vvc	DONNER
Ignès	Vvc	Ignès
de	S	DE
son	Ds	SON
coeur	Nc	CUR
avait	Vuc	AVOIR
reçu	Ge	RECEVOIR
l'	Da	LE
hommage	Nc	HOMMAGE
,	Fw	,
Et	Vvc	Et
que	Rg	QUE
,	Fw	,
par	S	PAR
des	Dn	UN
liens	Nc	LIEN
aussi	Rg	AUSSI
fermes	Ag	FERME
que	Cs	QUE
doux	Ag	DOUX
,	Fw	,
L'	Vvc	L'
amitié	Nc	AMITIÉ
vous	Pp	VOUS
unit	Vvc	UNIR
,	Fw	,
cette	Dd	CE
comtesse	Nc	COMTE|COMTESSE
et	Cc	ET
vous	Pp	VOUS
,	Fw	,
Son	Nc	SON
secret	Ag	SECRET
révélé	Ge	RÉVÉLER
vous	Pp	VOUS
est	Vuc	ÊTRE
une	Dn	UN
matière	Nc	MATIÈRE
À	Nc	À
donner	Vvn	DONNER
à	S	À
vos	Ds	VOTRE
voeux	Nc	VU
liberté	Nc	LIBERTÉ
toute	Rg	TOUTE
entière	Ag	ENTIER
;	Fw	;
Et	Vvc	Et
vous	Pp	VOUS
pouvez	Vvc	POUVOIR
,	Fw	,
sans	S	SANS
crainte	Nc	CRAINTE
,	Fw	,
à	S	À
cet	Dd	CE
amant	Nc	AMANT
confus	Ag	CONFUS
D'	Nc	D'
un	Dn	UN
devoir	Nc	DEVOIR
d'	S	DE
amitié	Nc	AMITIÉ
couvrir	Vvn	COUVRIR
tous	Di	TOUT
vos	Ds	VOTRE
refus	Nc	REFUS
.	Fs	.
Il	Pp	IL
est	Vuc	ÊTRE
vrai	Ag	VRAI
que	Cs	QUE
j'	Pp	JE
ai	Vuc	AVOIR
lieu	Nc	LIEU
de	S	DE
chérir	Vvn	CHÉRIR
la	Da	LE
nouvelle	Ag	NOUVEAU
Qui	Nc	Qui
m'	Pp	JE
apprit	Vvc	APPRENDRE
que	Cs	QUE
dom	Nc	DOM
Sylve	Ag	Sylve
était	Vuc	ÊTRE
un	Dn	UN
infidèle	Nc	INFIDÈLE
,	Fw	,
Puisque	Vvc	Puisque
par	S	PAR
ses	Ds	SON
ardeurs	Nc	ARDEUR
mon	Ds	MON
coeur	Nc	CUR
tyrannisé	Ge	TYRANNISER
Contre	Vvc	CONTRER
elles	Pp	ILS
à	S	À
présent	Nc	PRÉSENT
se	Pp	IL
voit	Vvc	VOIR
autorisé	Ge	AUTORISER
,	Fw	,
Qu'	Vvc	Qu'
il	Pp	IL
en	Pp	EN
peut	Vvc	POUVOIR
justement	Rg	JUSTEMENT
combattre	Vvn	COMBATTRE
les	Da	LE
hommages	Nc	HOMMAGE
,	Fw	,
Et	Vvc	Et
,	Fw	,
sans	S	SANS
scrupule	Nc	SCRUPULE
,	Fw	,
ailleurs	Rg	AILLEURS
donner	Vvn	DONNER
tous	Di	TOUT
ses	Ds	SON
suffrages	Nc	SUFFRAGE
;	Fw	;
Mais	Vvc	Mais
enfin	Rg	ENFIN
quelle	Dt	QUEL
joie	Nc	JOIE
en	Pp	EN
peut	Vvc	POUVOIR
prendre	Vvn	PRENDRE
ce	Dd	CE
coeur	Nc	CUR
,	Fw	,
Si	Vvc	Si
d'	S	DE
une	Dn	UN
autre	Ag	AUTRE
contrainte	Nc	CONTRAINTE
il	Pp	IL
souffre	Vvc	SOUFFRIR
la	Da	LE
rigueur	Nc	RIGUEUR
,	Fw	,
Si	Vvc	Si
d'	S	DE
un	Dn	UN
prince	Nc	PRINCE
jaloux	Ag	JALOUX
l'	Da	LE
éternelle	Ag	ÉTERNEL
faiblesse	Nc	FAIBLESSE
Reçoit	Vvc	Reçoit
indignement	Rg	INDIGNEMENT
les	Da	LE
soins	Nc	SOIN
de	S	DE
ma	Ds	MON
tendresse	Nc	TENDRESSE
