Quoi	Pt	QUE|QUOI
,	Fw	,
vous	Pp	VOUS
ne	Rp	NE
sauriez	Vvc	SAURER|SAVOIR
vaincre	Vvn	VAINCRE
une	Dn	UN
frayeur	Nc	FRAYEUR
si	Rg	SI
vaine	Ag	VAIN
?	Fs	?
Un	Dn	UN
songe	Nc	SONGE
,	Fw	,
une	Dn	UN
vapeur	Nc	VAPEUR
,	Fw	,
vous	Pp	VOUS
causent	Vvc	CAUSER
de	S	DE
la	Da	LE
peine	Nc	PEINE
!	Fs	!
À	Vvc	À
vous	Pp	VOUS
,	Fw	,
sur	S	SUR
qui	Pr	QUI
le	Da	LE
ciel	Nc	CIEL
déployant	Ga	DÉPLOYER
ses	Ds	SON
Trésors	Nc	Trésors
,	Fw	,
Mit	Vvc	METTRE
un	Dn	UN
si	Rg	SI
digne	Ag	DIGNE
esprit	Nc	ESPRIT
,	Fw	,
dans	S	DANS
un	Dn	UN
si	Rg	SI
digne	Ag	DIGNE
corps	Nc	CORPS
!	Fs	!
Le	Da	LE
premier	Nc	PREMIER
des	S+Da	DE+LE|DE+LES
césars	Nc	CÉSAR
apprit	Vvc	APPRENDRE
bien	Rg	BIEN
que	Cs	QUE
les	Da	LE
songes	Nc	SONGE
Ne	Ag	Ne
sont	Vuc	ÊTRE
pas	Rg	PAS
toujours	Rg	TOUJOURS
faux	Ag	FAUX
,	Fw	,
et	Cc	ET
toujours	Rg	TOUJOURS
des	Dn	UN
mensonges	Nc	MENSONGE
;	Fw	;
Et	Vvc	Et
la	Da	LE
force	Nc	FORCE|FORCÉ
d'	S	DE
esprit	Nc	ESPRIT
,	Fw	,
dont	Pr	DONT
il	Pp	IL
fut	Vuc	ÊTRE
tant	Rg	TANT
vanté	Ge	VANTER
,	Fw	,
Pour	Nc	POUR
l'	Pp	IL
avoir	Vun	AVOIR
conseillé	Ge	CONSEILLER
,	Fw	,
lui	Pp	IL
coûta	Vvc	COÛTER
la	Da	LE
clarté	Nc	CLARTÉ
.	Fs	.
Le	Da	LE
ciel	Nc	CIEL
,	Fw	,
comme	Cs	COMME
il	Pp	IL
lui	Pp	IL
plaît	Vvc	PLAIRE
,	Fw	,
nous	Pp	NOUS
parle	Vvc	PARLER
sans	S	SANS
obstacle	Nc	OBSTACLE
;	Fw	;
S'	Vvc	S'
il	Pp	IL
veut	Vvc	VOULOIR
,	Fw	,
la	Da	LE
voix	Nc	VOIX
d'	S	DE
un	Dn	UN
songe	Nc	SONGE
est	Vuc	ÊTRE
celle	Pd	CELUI
d'	S	DE
un	Dn	UN
oracle	Nc	ORACLE
;	Fw	;
Et	Vvc	Et
les	Da	LE
songes	Nc	SONGE
,	Fw	,
sur	S	SUR
tout	Pi	TOUT
,	Fw	,
tant	Rg	TANT
de	S	DE
fois	Nc	FOI|FOIS
répétés	Ge	RÉPÉTER
,	Fw	,
Ou	Vvc	Ou
toujours	Rg	TOUJOURS
,	Fw	,
ou	Cc	OU
souvent	Rg	SOUVENT
,	Fw	,
disent	Vvc	DIRE
des	Dn	UN
vérités	Nc	VÉRITÉ
Déjà	Vvc	Déjà
cinq	Nc	CINQ
ou	Cc	OU
six	Nc	SIX
nuits	Nc	NUIT
,	Fw	,
à	S	À
ma	Ds	MON
triste	Ag	TRISTE
pensée	Nc	PENSÉE
,	Fw	,
Ont	Vvc	Ont
de	S	DE
ce	Dd	CE
vil	Ag	VIL
hymen	Nc	HYMEN
la	Da	LE
vision	Nc	VISION
tracée	Ge	TRACER
,	Fw	,
M'	Vvc	M'
ont	Vuc	AVOIR
fait	Ge	FAIRE
voir	Vvn	VOIR
un	Dn	UN
berger	Nc	BERGER
,	Fw	,
avoir	Vun	AVOIR
assez	Rg	ASSEZ
d'	S	DE
orgueil	Nc	ORGUEIL
,	Fw	,
Pour	Nc	POUR
prétendre	Vvn	PRÉTENDRE
à	S	À
mon	Ds	MON
lit	Nc	LIT
,	Fw	,
qui	Pr	QUI
serait	Vuc	ÊTRE
mon	Ds	MON
cercueil	Nc	CERCUEIL
;	Fw	;
Et	Vvc	Et
l'	Da	LE
Empereur	Nc	EMPEREUR
mon	Ds	MON
père	Nc	PÈRE
,	Fw	,
avec	S	AVEC
violence	Nc	VIOLENCE
,	Fw	,
De	Vvc	De
ce	Dd	CE
présomptueux	Nc	PRÉSOMPTUEUX
appuyer	Vvn	APPUYER
l'	Da	LE
insolence	Nc	INSOLENCE
;	Fw	;
Je	Vvc	Je
puis	Vvc	POUVOIR
,	Fw	,
s'	Cs	SI
il	Pp	IL
m'	Pp	JE
est	Vuc	ÊTRE
permis	Ge	PERMETTRE
,	Fw	,
et	Cc	ET
si	Cs	SI
la	Da	LE
vérité	Nc	VÉRITÉ
Dispense	Vvc	DISPENSER
les	Da	LE
enfants	Nc	ENFANT
à	S	À
quelque	Di	QUELQUE
liberté	Nc	LIBERTÉ
,	Fw	,
De	Vvc	De
la	Da	LE
mauvaise	Ag	MAUVAIS
humeur	Nc	HUMEUR
,	Fw	,
craindre	Vvn	CRAINDRE
un	Dn	UN
mauvais	Ag	MAUVAIS
office	Nc	OFFICE
;	Fw	;
Je	Vvc	Je
connais	Vvc	CONNAÎTRE
son	Ds	SON
amour	Nc	AMOUR
,	Fw	,
mais	Cc	MAIS
je	Pp	JE
crains	Vvc	CRAINDRE
son	Ds	SON
caprice	Nc	CAPRICE
;	Fw	;
Et	Vvc	Et
vois	Vvc	ALLER|VOIR
qu'	Cs	QUE
en	S	EN
tout	Di	TOUT
rencontre	Nc	RENCONTRE
il	Pp	IL
suit	Vvc	SUIVRE
aveuglément	Rg	AVEUGLÉMENT
La	Vvc	La
bouillante	Ag	BOUILLANT
chaleur	Nc	CHALEUR
d'	S	DE
un	Dn	UN
premier	Ag	PREMIER
mouvement	Nc	MOUVEMENT
;	Fw	;
Sut-il	Vvc	Sut-il
considérer	Vvn	CONSIDÉRER
