Écoutez	Nc	Écoutez
-moi	Vvc	-moi
,	Fw	,
monsieur	Nc	MONSIEUR
le	Da	LE
magister	Nc	MAGISTER
:	Fw	:
Vous	Pp	VOUS
savez	Vvc	SAVOIR
tout	Pi	TOUT
,	Fw	,
du	S+Da	DE+LE
moins	Nc	MOINS
vous	Pp	VOUS
avez	Vuc	AVOIR
l'	Da	LE
air	Nc	AIR
De	Vvc	De
tout	Rg	TOUT
savoir	Vvn	SAVOIR
;	Fw	;
car	Cc	CAR
vous	Pp	VOUS
lisez	Vvc	LIRE
sans	S	SANS
cesse	Nc	CESSE
Dans	Vvc	Dans
l'	Da	LE
almanach	Nc	ALMANACH
.	Fs	.
D'	S	DE
où	Pr	OÙ
vient	Vvc	VENIR
que	Cs	QUE
ma	Ds	MON
maîtresse	Nc	MAÎTRE|MAÎTRESSE
S'	Ag	S'
appelle	Vvc	APPELER
Acanthe	Nc	ACANTHE
,	Fw	,
et	Cc	ET
n'	Rp	NE
a	Vuc	AVOIR
point	Rg	POINT
d'	Dn	UN
autre	Ag	AUTRE
nom	Nc	NOM
?	Fs	?
D'	S	DE
où	Pr	OÙ
vient	Vvc	VENIR
cela	Pd	CELA
?	Fs	?
Plaisante	Ga	PLAIRE
question	Nc	QUESTION
!	Fs	!
Eh	I	EH
!	Fs	!
Que	Cs	QUE
t'	Pp	TU
importe	Vvc	IMPORTER
?	Fs	?
Oh	I	OH
!	Fs	!
Cela	Pd	CELA
me	Pp	JE
tourmente	Vvc	TOURMENTER
:	Fw	:
J'	Pp	JE
ai	Vuc	AVOIR
mes	Ds	MON
raisons	Nc	RAISON
.	Fs	.
Elle	Pp	IL
s'	Pp	SE
appelle	Vvc	APPELER
Acanthe	Nc	ACANTHE
:	Fw	:
C'	Pd	CE
est	Vuc	ÊTRE
un	Dn	UN
beau	Ag	BEAU
nom	Nc	NOM
;	Fw	;
il	Pp	IL
vient	Vvc	VENIR
du	S+Da	DE+LE
grec	Nc	GREC
Anthos	Nc	Anthos
,	Fw	,
Que	Vvc	Que
les	Da	LE
