Demeure	Vvc	DEMEURER
,	Fw	,
Parricide	Nc	PARRICIDE
,	Fw	,
arrête	Vvc	ARRÊTER
,	Fw	,
sacrilège	Nc	SACRILÈGE
!	Fs	!
Quoi	Pt	QUE|QUOI
!	Fs	!
Le	Da	LE
sang	Nc	SANG
Ottoman	Ag	OTTOMAN
n'	Rp	NE
a	Vuc	AVOIR
point	Rg	POINT
de	S	DE
privilège	Nc	PRIVILÈGE
:	Fw	:
On	Pp	ON
l'	Pp	IL
épanche	Vvc	ÉPANCHER
à	S	À
ma	Ds	MON
vue	Nc	VUE
,	Fw	,
on	Pp	ON
perd	Vvc	PERDRE
,	Fw	,
devant	S	DEVANT
mes	Ds	MON
yeux	Nc	OEIL|YEUX
.	Fs	.
Le	Da	LE
plus	Rg	PLUS
grand	Ag	GRAND
des	S+Da	DE+LE|DE+LES
mortels	Nc	MORTEL
et	Cc	ET
le	Da	LE
plus	Rg	PLUS
glorieux	Ag	GLORIEUX
!	Fs	!
Ah	I	AH
c'	Pd	CE
est	Vuc	ÊTRE
fait	Ge	FAIRE
,	Fw	,
il	Pp	IL
est	Vuc	ÊTRE
mort	Ge	MOURIR
,	Fw	,
j'	Pp	JE
en	Pp	EN
suis	Vuc	ÊTRE
trop	Rg	TROP
assurée	Ge	ASSURER
,	Fw	,
De	Vvc	De
cet	Dd	CE
illustre	Ag	ILLUSTRE
corps	Nc	CORPS
l'	Da	LE
âme	Nc	ÂME
s'	Pp	SE
est	Vuc	ÊTRE
séparée	Ge	SÉPARER
!	Fs	!
Quel	Dt	QUEL
bruit	Nc	BRUIT
s'	Pp	SE
est	Vuc	ÊTRE
élevé	Ge	ÉLEVER
qui	Pr	QUI
s'	Pp	SE
augmente	Vvc	AUGMENTER
si	Rg	SI
fort	Rg	FORT
?	Fs	?
Achevez	Vvc	ACHEVER
inhumains	Ag	INHUMAIN
!	Fs	!
C'	Pd	CE
est	Vuc	ÊTRE
Madame	Nc	MADAME
qui	Pr	QUI
dort	Vvc	DORMIR
.	Fs	.
C'	Pd	CE
est	Vuc	ÊTRE
un	Dn	UN
songe	Nc	SONGE
fâcheux	Ag	FÂCHEUX
dont	Pr	DONT
elle	Pp	IL
est	Vuc	ÊTRE
travaillée	Ge	TRAVAILLER
.	Fs	.
Il	Pp	IL
faut	Vvc	FAILLIR|FALLOIR
la	Pp	IL
réveiller	Vvn	RÉVEILLER
;	Fw	;
mais	Cc	MAIS
elle	Pp	IL
est	Vuc	ÊTRE
réveillée	Ge	RÉVEILLER
.	Fs	.
Ô	Vvc	Ô
sommeil	Nc	SOMMEIL
outrageux	Ag	OUTRAGEUX
qui	Pr	QUI
me	Pp	JE
trouble	Vvc	TROUBLER
si	Rg	SI
fort	Rg	FORT
,	Fw	,
On	Vvc	On
peut	Vvc	POUVOIR
bien	Rg	BIEN
t'	Pp	TU
appeler	Vvn	APPELER
le	Da	LE
frère	Nc	FRÈRE
de	S	DE
la	Da	LE
mort	Nc	MORT
!	Fs	!
Puis	Vvc	POUVOIR
qu'	Cs	QUE
assis	Ge	ASSEOIR
sur	S	SUR
nos	Ds	NOTRE
yeux	Nc	OEIL|YEUX
avec	S	AVEC
tes	Ds	TON
noires	Ag	NOIR
ailes	Nc	AILE
Tu	Vvc	Tu
donnes	Nc	DONNE|DONNÉ
des	S+Da	DE+LE|DE+LES
frayeurs	Nc	FRAYEUR
et	Cc	ET
des	S+Da	DE+LE|DE+LES
peines	Nc	PEINE
mortelles	Ag	MORTEL
.	Fs	.
Léontine	Vvc	Léontine
!	Fs	!
Madame	Nc	MADAME
!	Fs	!
Ah	I	AH
!	Fs	!
Viens	Vvc	VENIR
me	Pp	JE
consoler	Vvn	CONSOLER
D'	Nc	D'
une	Dn	UN
vaine	Ag	VAIN
douleur	Nc	DOULEUR
dont	Pr	DONT
je	Pp	JE
ne	Rp	NE
puis	Vvc	POUVOIR
parler	Vvn	PARLER
,	Fw	,
D'	Nc	D'
un	Dn	UN
songe	Nc	SONGE
furieux	Ag	FURIEUX
qui	Pr	QUI
m'	Pp	JE
a	Vuc	AVOIR
donné	Ge	DONNER
des	S+Da	DE+LE|DE+LES
peines	Nc	PEINE
,	Fw	,
Par	Nc	PAR
qui	Pr	QUI
mon	Ds	MON
sang	Nc	SANG
encore	Rg	ENCORE
est	Vuc	ÊTRE
figé	Ge	FIGER
dans	S	DANS
mes	Ds	MON
veines	Nc	VEINE
;	Fw	;
Et	Vvc	Et
qui	Pr	QUI
sera	Vuc	ÊTRE
suivi	Ge	SUIVRE
de	S	DE
si	Rg	SI
mauvais	Ag	MAUVAIS
effets	Nc	EFFET
Que	Vvc	Que
possible	Ag	POSSIBLE
il	Pp	IL
faudra	Vvc	FAILLIR|FALLOIR
succomber	Vvn	SUCCOMBER
sous	S	SOUS
le	Da	LE
faix	Nc	FAIX
.	Fs	.
C'	Pd	CE
est	Vuc	ÊTRE
un	Dn	UN
songe	Nc	SONGE
,	Fw	,
Madame	Nc	MADAME
,	Fw	,
un	Dn	UN
déceveur	Nc	déceveur
,	Fw	,
un	Dn	UN
traître	Nc	TRAÎTRE
,	Fw	,
Dont	Vvc	Dont
on	Pp	ON
est	Vuc	ÊTRE
garanti	Ge	GARANTIR
dès	S	DÈS
qu'	Cs	QUE
on	Pp	ON
l'	Pp	IL
a	Vuc	AVOIR
pu	Ge	POUVOIR
connaître	Vvn	CONNAÎTRE
;	Fw	;
Toujours	Vvc	Toujours
à	S	À
bon	Ag	BON
augure	Nc	AUGURE
on	Pp	ON
prend	Vvc	PRENDRE
les	Da	LE
plus	Rg	PLUS
mauvais	Ag	MAUVAIS
,	Fw	,
L'	Vvc	L'
image	Nc	IMAGE
de	S	DE
la	Da	LE
Guerre	Nc	GUERRE
y	Pp	Y
figure	Vvc	FIGURER
la	Da	LE
Paix	Nc	PAIX
;	Fw	;
Ses	Vvc	Ses
matières	Nc	MATIÈRE
de	S	DE
pleurs	Nc	PLEUR
montrent	Vvc	MONTRER
que	Cs	QUE
l'	Pp	IL
on	Pp	ON
doit	Vvc	DEVOIR
rire	Vvn	RIRE
,	Fw	,
Et	Vvc	Et
ce	Pd	CE
qu'	Pr	QUE
il	Pp	IL
a	Vuc	AVOIR
de	Dn	UN
doux	Ag	DOUX
est	Vuc	ÊTRE
ce	Pd	CE
qu'	Pr	QUE
il	Pp	IL
a	Vuc	AVOIR
de	S	DE
pire	Nc	PIRE
.	Fs	.
Je	Pp	JE
croirais	Vvc	CROIRE
comme	S	COMME
toi	Pp	TU
que	Cs	QUE
toute	Di	TOUT
cette	Dd	CE
peur	Nc	PEUR
Naîtrait	Vvc	Naîtrait
d'	S	DE
une	Dn	UN
chimère	Nc	CHIMÈRE
et	Cc	ET
d'	S	DE
un	Dn	UN
songe	Nc	SONGE
trompeur	Nc	TROMPEUR
,	Fw	,
N'	Vvc	N'
était	Vuc	ÊTRE
que	Rg	QUE
nos	Ds	NOTRE
apprêts	Nc	APPRÊT|APPRÊTS
et	Cc	ET
la	Da	LE
rumeur	Nc	RUMEUR
publique	Ag	PUBLIC
Me	Vvc	Me
le	Pp	IL
font	Vvc	FAIRE
estimer	Vvn	ESTIMER
un	Dn	UN
songe	Nc	SONGE
prophétique	Ag	PROPHÉTIQUE
;	Fw	;
Mais	Vvc	Mais
,	Fw	,
Fatime	Nc	Fatime
!	Fs	!
Sans	S	SANS
toi	Pp	TU
je	Pp	JE
ne	Rp	NE
craindrais	Vvc	CRAINDRE
plus	Rg	PLUS
rien	Pi	RIEN
.	Fs	.
La	Da	LE
fille	Nc	FILLE
du	S+Da	DE+LE
Mufti	Nc	MUFTI
s'	Pp	SE
oppose	Vvc	OPPOSER
à	S	À
notre	Ds	NOTRE
bien	Nc	BIEN
;	Fw	;
En	Vvc	En
voyant	Ga	VOIR
son	Ds	SON
portrait	Nc	PORTRAIT
,	Fw	,
Osman	Nc	Osman
la	Pp	IL
crut	Vvc	CROIRE|CROÎTRE
si	Rg	SI
belle	Ag	BEAU
,	Fw	,
Que	Vvc	Que
son	Ds	SON
retardement	Nc	RETARDEMENT
n'	Rp	NE
est	Vuc	ÊTRE
que	Rg	QUE
pour	S	POUR
l'	Da	LE
amour	Nc	AMOUR
d'	S	DE
elle	Pp	IL
.	Fs	.
Mais	Cc	MAIS
comment	Pt	COMMENT
parut-il	Vvc	parut-il
ce	Dd	CE
portrait	Nc	PORTRAIT
si	Rg	SI
fatal	Ag	FATAL
,	Fw	,
De	Vvc	De
qui	Pr	QUI
l'	Da	LE
enchantement	Nc	ENCHANTEMENT
