Clorinde	Vvc	Clorinde
,	Fw	,
je	Pp	JE
l'	Pp	IL
ai	Vuc	AVOIR
dit	Ge	DIRE
,	Fw	,
et	Cc	ET
je	Pp	JE
vous	Pp	VOUS
le	Pp	IL
commande	Vvc	COMMANDER
;	Fw	;
C'	Vvc	C'
est	Vuc	ÊTRE
vous	Pp	VOUS
prescrire	Vvn	PRESCRIRE
un	Dn	UN
point	Rg	POINT
que	Cs	QUE
votre	Ds	VOTRE
esprit	Nc	ESPRIT
demande	Vvc	DEMANDER
;	Fw	;
Caressez	Vvc	CARESSER
Amédor	Nc	Amédor
;	Fw	;
pensez	Vvc	PENSER
à	S	À
m'	Pp	JE
obéir	Vvn	OBÉIR
.	Fs	.
M'	Pp	JE
ordonnant	Ga	ORDONNER
de	S	DE
l'	Pp	IL
aimer	Vvn	AIMER
,	Fw	,
on	Pp	ON
me	Pp	JE
le	Pp	IL
fait	Vvc	FAIRE
haïr	Vvn	HAÏR
.	Fs	.
Ma	Ds	MON
soeur	Nc	SUR
,	Fw	,
est	Vuc	ÊTRE
-ce	Vvc	-ce
avec	S	AVEC
moi	Pp	JE
qu'	Cs	QUE
il	Pp	IL
faut	Vvc	FAILLIR|FALLOIR
faire	Vvn	FAIRE
la	Da	LE
fine	Nc	FINE
?	Fs	?
Je	Pp	JE
sais	Vvc	SAVOIR
juger	Vvn	JUGER
du	S+Da	DE+LE
coeur	Nc	CUR
en	S	EN
dépit	Nc	DÉPIT
de	S	DE
la	Da	LE
mine	Nc	MINE
;	Fw	;
J'	Vvc	J'
oserais	Vvc	OSER
bien	Rg	BIEN
jurer	Vvn	JURER
,	Fw	,
lisant	Ga	LIRE
dans	S	DANS
ton	Ds	TON
esprit	Nc	ESPRIT
,	Fw	,
Quand	Nc	Quand
ta	Ds	TON
bouche	Nc	BOUCHE
s'	Pp	SE
en	Pp	EN
plaint	Vvc	PLAINDRE
que	Cs	QUE
ton	Ds	TON
âme	Nc	ÂME
en	Pp	EN
sourit	Vvc	SOURIRE
:	Fw	:
Appelle	Vvc	APPELER
-moi	Vvc	-moi
cruel	Ag	CRUEL
,	Fw	,
blâme	Vvc	BLÂMER
mon	Ds	MON
insolence	Nc	INSOLENCE
;	Fw	;
C'	Vvc	C'
est	Vuc	ÊTRE
te	Pp	TU
faire	Vvn	FAIRE
une	Dn	UN
aimable	Ag	AIMABLE
et	Cc	ET
douce	Ag	DOUX
violence	Nc	VIOLENCE
;	Fw	;
Te	Vvc	Te
porter	Vvn	PORTER
à	S	À
l'	Da	LE
amour	Nc	AMOUR
?	Fs	?
Ah	I	AH
!	Fs	!
L'	Da	LE
étrange	Ag	ÉTRANGE
action	Nc	ACTION
!	Fs	!
