Pendant	S	PENDANT
que	Cs	QUE
je	Pp	JE
marchais	Vvc	MARCHER
rêvant	Ga	RÊVER
profondément	Rg	PROFONDÉMENT
,	Fw	,
Angélique	Ag	Angélique
est	Vuc	ÊTRE
entrée	Ge	ENTRER
en	S	EN
quelque	Di	QUELQUE
appartement	Nc	APPARTEMENT
;	Fw	;
Elle	Vvc	Elle
s'	Pp	SE
égarera	Vvc	ÉGARER
la	Da	LE
petite	Ag	PETIT
étourdie	Nc	ÉTOURDI
.	Fs	.
Attendons	Vvc	ATTENDRE
.	Fs	.
Voici	I	VOICI
donc	Rg	DONC
l'	Da	LE
hôtel	Nc	HÔTEL
de	S	DE
Normandie	Nc	Normandie
!	Fs	!
À	Nc	À
Paris	Vvc	Paris
rendez-vous	Nc	RENDEZ-VOUS
,	Fw	,
des	Dn	UN
illustres	Ag	ILLUSTRE
Normands	Nc	NORMAND
!	Fs	!
Des	S+Da	DE+LE|DE+LES
nôtres	As#Ps	NÔTRE
aujourd'hui	Rg	AUJOURD'HUI
les	Da	LE
intérêts	Nc	INTÉRÊT
sont	Vuc	ÊTRE
grands	Ag	GRAND
.	Fs	.
Haine	Nc	HAINE
,	Fw	,
amour	Nc	AMOUR
!	Fs	!
Nous	Pp	NOUS
verrons	Vvc	VOIR
la	Da	LE
très	Rg	TRÈS
haineuse	Ag	HAINEUX
tante	Nc	TANTE
,	Fw	,
L'	Vvc	L'
oncle	Nc	ONCLE
très	Rg	TRÈS
rancunier	Ag	RANCUNIER
,	Fw	,
puis	Vvc	POUVOIR
l'	Da	LE
amoureux	Ag	AMOUREUX
Dorante	Nc	Dorante
,	Fw	,
Le	Vvc	Le
galant	Nc	GALANT
Chevalier	Vvc	Chevalier
,	Fw	,
le	Da	LE
grave	Ag	GRAVE
arbitre	Nc	ARBITRE
et	Cc	ET
moi	Pp	JE
.	Fs	.
À	Vvc	À
force	Nc	FORCE|FORCÉ
de	S	DE
rêver	Vvn	RÊVER
,	Fw	,
je	Pp	JE
m'	Pp	JE
oubliais	Vvc	OUBLIER
,	Fw	,
je	Pp	JE
crois	Vvc	CROIRE|CROÎTRE
.	Fs	.
Ah	I	AH
!	Fs	!
Je	Pp	JE
vois	Vvc	ALLER|VOIR
accourir	Vvn	ACCOURIR
mon	Ds	MON
aimable	Ag	AIMABLE
orpheline	Nc	ORPHELIN
.	Fs	.
On	Pp	ON
m'	Pp	JE
a	Vuc	AVOIR
dit	Ge	DIRE
que	Cs	QUE
ma	Ds	MON
tante	Nc	TANTE
est	Vuc	ÊTRE
là	Rg	LÀ
.	Fs	.
Suis	Vuc	ÊTRE
-moi	Vvc	-moi
,	Fw	,
Nérine	Vvc	Nérine
.	Fs	.
Attendez	Vvc	ATTENDRE
.	Fs	.
Je	Pp	JE
ne	Rp	NE
puis	Vvc	POUVOIR
pas	Rg	PAS
attendre	Vvn	ATTENDRE
,	Fw	,
tout	Pi	TOUT
va	Vvc	ALLER
bien	Rg	BIEN
.	Fs	.
Dorante	Ga	DORER
est	Vuc	ÊTRE
arrivé	Ge	ARRIVER
.	Fs	.
Paix	Nc	PAIX
.	Fs	.
Je	Pp	JE
n'	Rp	NE
en	Pp	EN
dirai	Vvc	DIRE
rien	Pi	RIEN
.	Fs	.
Mais	Cc	MAIS
ma	Ds	MON
tante	Nc	TANTE
...	Fs	...
Arrêtez	Vvc	Arrêtez
.	Fs	.
Il	Pp	IL
faut	Vvc	FAILLIR|FALLOIR
que	Cs	QUE
je	Pp	JE
la	Pp	IL
voie	Vvc	ALLER|VOIR
.	Fs	.
Les	Da	LE
premiers	Ag	PREMIER
mouvements	Nc	MOUVEMENT
d'	S	DE
espérance	Nc	ESPÉRANCE
et	Cc	ET
de	S	DE
joie	Nc	JOIE
.	Fs	.
Vous	Pp	VOUS
font	Vvc	FAIRE
courir	Vvn	COURIR
.	Fs	.
D'	S	DE
accord	Nc	ACCORD
.	Fs	.
Marchez	Vvc	MARCHER
donc	Rg	DONC
lentement	Rg	LENTEMENT
,	Fw	,
Car	Nc	CAR
