Tiens	Vvc	TENIR
,	Fw	,
Jacqueline	Vvc	Jacqueline
,	Fw	,
t'	Pp	TU
as	Vuc	AVOIR
une	Dn	UN
himeur	Nc	himeur
qui	Pr	QUI
me	Pp	JE
fâche	Vvc	FÂCHER
.	Fs	.
Pargué	Vvc	Pargué
,	Fw	,
encore	Rg	ENCORE
faut-il	Vvc	faut-il
dire	Vvn	DIRE
queuque	Vvc	queuque
parole	Nc	PAROLE
d'	S	DE
amiquié	Nc	amiquié
aux	S+Da	À+LES
gens	Nc	GENS|GENT
.	Fs	.
Mais	Cc	MAIS
,	Fw	,
qu'	Pr	QUE
est	Vuc	ÊTRE
-ce	Vvc	-ce
qu'	Cs	QUE
il	Pp	IL
te	Pp	TU
faut	Vvc	FAILLIR|FALLOIR
donc	Rg	DONC
?	Fs	?
Tu	Pp	TU
me	Pp	JE
veux	Vvc	VOULOIR
pour	S	POUR
ta	Ds	TON
femme	Nc	FEMME
:	Fw	:
eh	I	EH
bian	Nc	BIAN
,	Fw	,
est	Vuc	ÊTRE
-ce	Vvc	-ce
que	Cs	QUE
je	Pp	JE
recule	Vvc	RECULER
à	S	À
cela	Pd	CELA
?	Fs	?
Bon	Ag	BON
,	Fw	,
qu'	Pr	QUE
est	Vuc	ÊTRE
-ce	Vvc	-ce
que	Cs	QUE
ça	Pd	ÇA|CELA
dit	Vvc	DIRE
!	Fs	!
Est	Vuc	ÊTRE
-ce	Vvc	-ce
que	Cs	QUE
toutes	Di	TOUT
les	Da	LE
filles	Nc	FILLE
n'	Rp	NE
aimont	Vvc	aimont
pas	Rg	PAS
à	S	À
devenir	Vvn	DEVENIR
la	Da	LE
femme	Nc	FEMME
d'	S	DE
un	Dn	UN
homme	Nc	HOMME
?	Fs	?
Tredame	Nc	Tredame
!	Fs	!
C'	Pd	CE
est	Vuc	ÊTRE
donc	Rg	DONC
un	Dn	UN
oisiau	Nc	oisiau
bien	Rg	BIEN
rare	Ag	RARE
qu'	Cs	QUE
un	Dn	UN
homme	Nc	HOMME
,	Fw	,
pour	S	POUR
en	Pp	EN
être	Vun	ÊTRE
si	Rg	SI
envieuse	Ag	ENNUYEUX|ENVIEUX
?	Fs	?
Hé	Vvc	Hé
là	Rg	LÀ
,	Fw	,
là	Rg	LÀ
,	Fw	,
je	Pp	JE
parle	Vvc	PARLER
en	S	EN
discourant	Ga	DISCOURIR
,	Fw	,
je	Pp	JE
savons	Vvc	SAVOIR
bian	Nc	BIAN
que	Cs	QUE
l'	Da	LE
oisiau	Nc	oisiau
n'	Rp	NE
est	Vuc	ÊTRE
pas	Rg	PAS
rare	Ag	RARE
;	Fw	;
mais	Cc	MAIS
quand	Cs	QUAND
une	Dn	UN
fille	Nc	FILLE
est	Vuc	ÊTRE
grande	Ag	GRAND
,	Fw	,
alle	Ge	ALLER
a	S	À
la	Da	LE
fantaisie	Nc	FANTAISIE
d'	S	DE
en	Pp	EN
avoir	Vun	AVOIR
un	Pi	UN
,	Fw	,
et	Cc	ET
il	Pp	IL
n'	Rp	NE
y	Pp	Y
a	Vuc	AVOIR
pas	Rg	PAS
de	S	DE
mal	Nc	MAL
à	S	À
ça	Pd	ÇA|CELA
,	Fw	,
Jacqueline	Vvc	Jacqueline
,	Fw	,
car	Cc	CAR
ça	Pd	ÇA|CELA
est	Vuc	ÊTRE
vrai	Ag	VRAI
,	Fw	,
et	Cc	ET
tu	Pp	TU
n'	Rp	NE
iras	Vvc	ALLER
pas	Rg	PAS
là	Rg	LÀ
contre	Rg	CONTRE
.	Fs	.
Acoute	Vvc	Acoute
,	Fw	,
n'	Rp	NE
ons	Vvc	ons
-je	Vvn	-je
pas	Rg	PAS
d'	S	DE
autre	Pi	AUTRE
amoureux	Ag	AMOUREUX
que	Cs	QUE
toi	Pp	TU
?	Fs	?
Est	Vuc	ÊTRE
-ce	Ge	-ce
que	Pr	QUE
Blaise	Vvc	Blaise
et	Cc	ET
le	Da	LE
gros	Ag	GROS
Colas	Vvc	Colas
ne	Rp	NE
sont	Vuc	ÊTRE
pas	Rg	PAS
affolés	Ge	AFFOLER
de	S	DE
moi	Pp	JE
tous	Di	TOUT
deux	Nc	DEUX
?	Fs	?
Est	Vuc	ÊTRE
-ce	Vvc	-ce
qu'	Cs	QUE
ils	Pp	ILS
ne	Rp	NE
sont	Vuc	ÊTRE
pas	Rg	PAS
des	Dn	UN
hommes	Nc	HOMME
aussi	Rg	AUSSI
bian	Nc	BIAN
que	Pr	QUE
toi	Pp	TU
?	Fs	?
Eh	I	EH
mais	Cc	MAIS
,	Fw	,
je	Pp	JE
pense	Vvc	PENSER
qu'	Cs	QUE
oui	Rg	OUI
.	Fs	.
Eh	I	EH
bian	Nc	BIAN
,	Fw	,
butor	Nc	BUTOR
,	Fw	,
je	Pp	JE
te	Pp	TU
baille	Vvc	BÂILLER
la	Da	LE
parfarence	Nc	parfarence
,	Fw	,
qu'	Pr	QUE
as	Vuc	AVOIR
-tu	Ge	-tu
à	S	À
dire	Vvn	DIRE
à	S	À
ça	Pd	ÇA|CELA
?	Fs	?
C'	Pd	CE
est	Vuc	ÊTRE
que	Cs	QUE
tu	Pp	TU
m'	Pp	JE
aimes	Vvc	AIMER
mieux	Rg	MIEUX
qu'	Cs	QUE
eux	Pp	EUX
tant	Rg	TANT
seulement	Rg	SEULEMENT
;	Fw	;
mais	Cc	MAIS
si	Cs	SI
je	Pp	JE
ne	Rp	NE
te	Pp	TU
prenais	Vvc	PRENDRE
pas	Rg	PAS
,	Fw	,
moi	Pp	JE
,	Fw	,
ça	Pd	ÇA|CELA
te	Pp	TU
fâcherait-il	Vvc	fâcherait-il
?	Fs	?
Oh	I	OH
dame	Nc	DAME
,	Fw	,
t'	Pp	TU
en	Pp	EN
veux	Vvc	VOULOIR
trop	Rg	TROP
.	Fs	.
Eh	I	EH
morguenne	Nc	morguenne
,	Fw	,
voilà	I	VOILÀ
le	Pp	IL
tu	Pp	TU
autem	Vvc	autem
;	Fw	;
je	Pp	JE
veux	Vvc	VOULOIR
de	S	DE
l'	Da	LE
amiquié	Nc	amiquié
pour	S	POUR
la	Da	LE
parsonne	Nc	parsonne
de	S	DE
moi	Pp	JE
tout	Di	TOUT
seul	Ag	SEUL
.	Fs	.
Quand	Cs	QUAND
tout	Di	TOUT
le	Da	LE
village	Nc	VILLAGE
vianrait	Vvc	vianrait
te	Pp	TU
dire	Vvn	DIRE
:	Fw	:
Jacqueline	Nc	JACQUELINE
,	Fw	,
épouse	Nc	ÉPOUSE|ÉPOUX
-moi	Vvc	-moi
;	Fw	;
je	Pp	JE
voudrais	Vvc	VOULOIR
que	Cs	QUE
tu	Pp	TU
fis	Vvc	FAIRE
bravement	Rg	BRAVEMENT
la	Da	LE
grimace	Nc	GRIMACE
à	S	À
tout	Di	TOUT
le	Da	LE
village	Nc	VILLAGE
,	Fw	,
et	Cc	ET
que	Cs	QUE
tu	Pp	TU
lui	Pp	IL
disi	Vvc	disi
:	Fw	:
Nennin-da	Vvc	Nennin-da
,	Fw	,
je	Pp	JE
veux	Vvc	VOULOIR
être	Vun	ÊTRE
la	Da	LE
femme	Nc	FEMME
de	S	DE
Piarre	Nc	Piarre
,	Fw	,
et	Cc	ET
pis	Nc	PIS
c'	Pd	CE
est	Vuc	ÊTRE
tout	Pi	TOUT
.	Fs	.
Pour	S	POUR
ce	Pd	CE
qui	Pr	QUI
est	Vuc	ÊTRE
d'	S	DE
en	S	EN
cas	Nc	CAS
de	S	DE
moi	Pp	JE
,	Fw	,
si	Cs	SI
j'	Pp	JE
allais	Vvc	ALLER
être	Vun	ÊTRE
un	Dn	UN
parfide	Nc	parfide
,	Fw	,
je	Pp	JE
voudrais	Vvc	VOULOIR
que	Cs	QUE
ça	Pd	ÇA|CELA
te	Pp	TU
fâchit	Vvc	fâchit
