March	NP	March
24.	CD	@ord@
The	DT	the
spring	NN	spring
is	VBZ	be
fairly	RB	fairly
with	IN	with
us	PP	us
now	RB	now
.	SENT	.
Outside	IN	outside
my	PP$	my
laboratory	NN	laboratory
window	NN	window
the	DT	the
great	JJ	great
chestnut-tree	NN	chestnut-tree
is	VBZ	be
all	RB	all
covered	VVN	cover
with	IN	with
the	DT	the
big	JJ	big
,	,	,
glutinous	JJ	glutinous
,	,	,
gummy	JJ	gummy
buds	NNS	bud
,	,	,
some	DT	some
of	IN	of
which	WDT	which
have	VHP	have
already	RB	already
begun	VVN	begin
to	TO	to
break	VV	break
into	IN	into
little	JJ	little
green	JJ	green
shuttlecocks	NNS	shuttlecock
.	SENT	.
As	IN	as
you	PP	you
walk	VVP	walk
down	RP	down
the	DT	the
lanes	NNS	lane
you	PP	you
are	VBP	be
conscious	JJ	conscious
of	IN	of
the	DT	the
rich	JJ	rich
,	,	,
silent	JJ	silent
forces	NNS	force
of	IN	of
nature	NN	nature
working	VVG	work
all	DT	all
around	IN	around
you	PP	you
.	SENT	.
The	DT	the
wet	JJ	wet
earth	NN	earth
smells	VVZ	smell
fruitful	JJ	fruitful
and	CC	and
luscious	JJ	luscious
.	SENT	.
Green	JJ	green
shoots	NNS	shoot
are	VBP	be
peeping	VVG	peep
out	RP	out
everywhere	RB	everywhere
.	SENT	.
The	DT	the
twigs	NNS	twig
are	VBP	be
stiff	JJ	stiff
with	IN	with
their	PP$	their
sap	NN	sap
;	:	;
and	CC	and
the	DT	the
moist	JJ	moist
,	,	,
heavy	JJ	heavy
English	JJ	English
air	NN	air
is	VBZ	be
laden	VVN	lade
with	IN	with
a	DT	a
faintly	RB	faintly
resinous	JJ	resinous
perfume	NN	perfume
.	SENT	.
Buds	NNS	bud
in	IN	in
the	DT	the
hedges	NNS	hedge
,	,	,
lambs	NNS	lamb
beneath	IN	beneath
them	PP	them
---	NN	---
everywhere	RB	everywhere
the	DT	the
work	NN	work
of	IN	of
reproduction	NN	reproduction
going	VVG	go
forward	RB	forward
!	SENT	!
I	PP	I
can	MD	can
see	VV	see
it	PP	it
without	IN	without
,	,	,
and	CC	and
I	PP	I
can	MD	can
feel	VV	feel
it	PP	it
within	IN	within
.	SENT	.
We	PP	we
also	RB	also
have	VHP	have
our	PP$	our
spring	NN	spring
when	WRB	when
the	DT	the
little	JJ	little
arterioles	NNS	arteriole
dilate	VVP	dilate
,	,	,
the	DT	the
lymph	NN	lymph
flows	VVZ	flow
in	IN	in
a	DT	a
brisker	JJR	brisk
stream	NN	stream
,	,	,
the	DT	the
glands	NNS	gland
work	VVP	work
harder	RBR	harder
,	,	,
winnowing	VVG	winnow
and	CC	and
straining	VVG	strain
.	SENT	.
Every	DT	every
year	NN	year
nature	NN	nature
readjusts	VVZ	readjust
the	DT	the
whole	JJ	whole
machine	NN	machine
.	SENT	.
I	PP	I
can	MD	can
feel	VV	feel
the	DT	the
ferment	NN	ferment
in	IN	in
my	PP$	my
blood	NN	blood
at	IN	at
this	DT	this
very	JJ	very
moment	NN	moment
,	,	,
and	CC	and
as	IN	as
the	DT	the
cool	JJ	cool
sunshine	NN	sunshine
pours	VVZ	pour
through	IN	through
my	PP$	my
window	NN	window
I	PP	I
could	MD	could
dance	VV	dance
about	RB	about
in	IN	in
it	PP	it
like	VVP	like
a	DT	a
gnat	NN	gnat
.	SENT	.
So	RB	so
I	PP	I
should	MD	should
,	,	,
only	RB	only
that	IN/that	that
Charles	NP	Charles
Sadler	NP	Sadler
would	MD	would
rush	VV	rush
upstairs	RB	upstairs
to	TO	to
know	VV	know
what	WP	what
was	VBD	be
the	DT	the
matter	NN	matter
.	SENT	.
Besides	RB	besides
,	,	,
I	PP	I
must	MD	must
remember	VV	remember
that	IN/that	that
I	PP	I
am	VBP	be
Professor	NP	Professor
Gilroy	NP	Gilroy
.	SENT	.
An	DT	an
old	JJ	old
professor	NN	professor
may	MD	may
afford	VV	afford
to	TO	to
be	VB	be
natural	JJ	natural
,	,	,
