	idno	author-name	author-gender	title	pubyear	genre	subgenre	detective	horror	historical	adventure	narration	availability	decade
acd001	acd001	Doyle	male	StudyScarlet	1887	novel	detective	yes	no	no	no	homodiegetic	publicdomain	1880s
acd003	acd003	Doyle	male	SignFour	1890	novel	detective	yes	no	no	no	homodiegetic	publicdomain	1890s
acd011	acd011	Doyle	male	ValleyFear	1915	novel	detective	yes	no	no	no	homodiegetic	publicdomain	1910s
acd002	acd002	Doyle	male	HoundBaskervilles	1902	novel	detective	yes	no	no	no	homodiegetic	publicdomain	1900s
acd004	acd004	Doyle	male	WhiteCompany	1891	novel	historical	no	no	yes	no	heterodiegetic	publicdomain	1890s
acd005	acd005	Doyle	male	Refugees	1893	novel	historical	no	no	yes	no	heterodiegetic	publicdomain	1890s
acd008	acd008	Doyle	male	RafflesHaw	1891	novel	horror	no	yes	no	no	homodiegetic	publicdomain	1890s
acd009	acd009	Doyle	male	Parasite	1894	novella	horror	no	yes	no	no	homodiegetic	publicdomain	1890s
acd007	acd007	Doyle	male	MysteryCloomber	1889	novel	other	no	no	no	no	homodiegetic	publicdomain	1880s
acd006	acd006	Doyle	male	FirmGirdlestone	1890	novel	other	no	no	no	no	heterodiegetic	publicdomain	1890s
acd010	acd010	Doyle	male	LostWorld	1912	novel	adventure	no	no	no	yes	homodiegetic	publicdomain	1910s
acd012	acd012	Doyle	male	PoisonBelt	1913	novella	adventure	no	no	no	yes	homodiegetic	publicdomain	1910s
