	docprops1	docprops2	origzeta	scaledlogzeta	logzeta	divzeta	relfreqs1	relfreqs2	ratiorelfreqs	subtractfreqs	logrrf	scaledlogrrf
nerve	0.23	0.08088235294117647	0.14911764705882352	0.10849332653931432	1.0371342136836448	2.843636363408423	0.015500000000000009	0.004044117647058825	3.832727265722712	0.011455882352941184	1.1851376389167019	2618868047.1740794
home	0.39	0.2426470588235294	0.1473529411764706	0.05879466310367954	0.47298686208605245	1.6072727272477003	0.02550000000000002	0.015441176470588243	1.6514285710066943	0.010058823529411776	0.47735578445323856	2319665234.4143515
character	0.22	0.07352941176470588	0.14647058823529413	0.11288351922346912	1.0869688652528298	2.991999999729088	0.013500000000000009	0.003676470588235295	3.671999992732162	0.009823529411764714	1.1316049718224592	2596238017.217647
trouble	0.3	0.15441176470588236	0.14558823529411763	0.07536054459241846	0.6610321237228209	1.9428571427960815	0.01900000000000001	0.010661764705882357	1.782068964783715	0.008338235294117653	0.5394167570952497	2345900461.356091
job	0.16	0.014705882352941176	0.14529411764705882	0.22215679891627124	2.327369050640429	10.879999993281599	0.015500000000000005	0.0011029411764705882	14.053333214983118	0.014397058823529417	2.0600234558227353	2988711234.88947
mark	0.32	0.17647058823529413	0.14352941176470588	0.06933519573465842	0.5926362280271706	1.8133333332872443	0.02700000000000001	0.01470588235294118	1.8359999994315201	0.01229411764705883	0.5781691958311708	2362282399.658078
connection	0.15	0.007352941176470588	0.1426470588235294	0.272132937598462	2.8946661232698796	20.399999973616	0.010500000000000002	0.0003676470588235294	28.55999925036803	0.010132352941176473	2.129255247392055	3017977804.298258
door	0.7	0.5588235294117647	0.14117647058823524	0.03693819716239104	0.22488627901846275	1.2526315789428475	0.08350000000000005	0.06838235294117652	1.221075268784875	0.015117647058823527	0.19711897957161462	2201199863.0140886
cigar	0.14	0.0	0.14	0.4530887012081935	4.948759890378168	14000000001.000002	0.012	0.0	1200000001.0000002	0.012	2.5649493574615363	3202160123.2056227
action	0.22	0.08088235294117647	0.1391176470588235	0.10459467348066864	0.992879204679604	2.7199999997873454	0.012000000000000007	0.004411764705882355	2.7199999961013344	0.007588235294117653	0.8763741244687129	2488343491.595513
trace	0.22	0.08088235294117647	0.1391176470588235	0.10459467348066864	0.992879204679604	2.7199999997873454	0.011500000000000007	0.005147058823529413	2.2342857118876744	0.006352941176470593	0.7097549169596062	2417908038.592394
luck	0.22	0.08088235294117647	0.1391176470588235	0.10459467348066864	0.992879204679604	2.7199999997873454	0.013000000000000005	0.004411764705882355	2.9466666622542226	0.00858823529411765	0.9504820966224345	2519671383.9065156
walk	0.19	0.051470588235294115	0.1385294117647059	0.13094759253244737	1.2920206395228366	3.6914285709056656	0.012500000000000002	0.0029411764705882353	4.249999988950001	0.009558823529411767	1.2312104101096342	2638344532.2600255
method	0.16	0.022058823529411766	0.13794117647058823	0.18832708793258324	1.9433558692502162	7.253333330498489	0.010000000000000002	0.0011029411764705882	9.066666593528893	0.008897058823529414	1.6545583477145707	2817307715.4903264
chair	0.27	0.1323529411764706	0.13764705882352943	0.07959681201334318	0.7091195144283879	2.0399999999214224	0.02200000000000001	0.00845588235294118	2.6017391285405522	0.01354411764705883	0.8888571968676366	2493620499.405317
note	0.27	0.1323529411764706	0.13764705882352943	0.07959681201334318	0.7091195144283879	2.0399999999214224	0.018500000000000006	0.007720588235294119	2.3961904743820774	0.010779411764705888	0.8047277717480825	2458056207.2821302
train	0.21	0.07352941176470588	0.13647058823529412	0.1088043098890296	1.0406642972111433	2.8559999997475836	0.0165	0.0051470588235294126	3.205714281428898	0.011352941176470588	1.0462271535808192	2560145988.0082345
conclusion	0.18	0.04411764705882353	0.13588235294117645	0.13951070270146462	1.3892235739547856	4.079999999301866	0.010500000000000002	0.0022058823529411764	4.759999982954668	0.008294117647058827	1.2773596777562224	2657853354.9284563
account	0.26	0.125	0.135	0.0812811025535937	0.7282385003712153	2.0799999999136	0.017000000000000008	0.006250000000000003	2.7199999972480002	0.010750000000000006	0.9093702890295807	2502292062.3092656
valley	0.23	0.09558823529411764	0.13441176470588237	0.09394234152986192	0.8719607645656364	2.406153846006741	0.019000000000000006	0.011029411764705883	1.7226666660114494	0.007970588235294123	0.5083776421273516	2332779200.270629
adventure	0.17	0.03676470588235294	0.13323529411764706	0.15017594789068334	1.5102885968689146	4.623999999014272	0.010000000000000002	0.0018382352941176473	5.439999975846401	0.008161764705882354	1.354712789069592	2690553074.954793
statement	0.14	0.007352941176470588	0.13264705882352942	0.2660966604681262	2.8261461768331237	19.0399999754656	0.0085	0.0003676470588235294	23.11999939833602	0.00813235294117647	1.9382000106293455	2937212433.0593867
situation	0.19	0.058823529411764705	0.13117647058823528	0.11939423862498498	1.160874376054286	3.2299999996209	0.011000000000000006	0.0029411764705882353	3.7399999906840025	0.008058823529411771	1.1134273744532512	2588553745.2519526
incident	0.16	0.029411764705882353	0.13058823529411764	0.16394401239237066	1.6665748345322497	5.4399999984904	0.010500000000000002	0.0014705882352941176	7.139999958248003	0.009029411764705885	1.5378907611420525	2767988465.7239585
telegram	0.13	0.0	0.13	0.44660819348758	4.875197323201151	13000000001.000002	0.011000000000000003	0.0	1100000001.0000005	0.011000000000000003	2.484906649788001	3168323421.7900696
dollar	0.13	0.0	0.13	0.44660819348758	4.875197323201151	13000000001.000002	0.007500000000000002	0.0	750000001.0000002	0.007500000000000002	2.1400661634962708	3022547936.3050227
interview	0.18	0.051470588235294115	0.1285294117647059	0.12621015108772224	1.2382442427420324	3.497142856657698	0.011500000000000003	0.0029411764705882353	3.9099999901060016	0.008558823529411768	1.154249368973506	2605810553.272527
use	0.29	0.16176470588235295	0.12823529411764703	0.06831165335746545	0.5810176314407824	1.7927272726782675	0.02000000000000001	0.009558823529411767	2.092307691164971	0.010441176470588244	0.6875605738513064	2408525755.2751822
answer	0.26	0.1323529411764706	0.12764705882352942	0.07628457294000195	0.6715211008713804	1.9644444443715754	0.016500000000000008	0.006985294117647062	2.3621052612079336	0.009514705882352946	0.7845992661716394	2449547221.8551345
person	0.26	0.1323529411764706	0.12764705882352942	0.07628457294000195	0.6715211008713804	1.9644444443715754	0.01900000000000001	0.009191176470588237	2.0671999988388867	0.009808823529411773	0.674209979540195	2402882017.2438836
minute	0.42	0.29411764705882354	0.12588235294117645	0.04842338396681617	0.35525875325434453	1.4279999999854478	0.02700000000000002	0.021691176470588245	1.2447457625990328	0.0053088235294117755	0.21022836298815006	2206741633.2177715
name	0.64	0.5147058823529411	0.1252941176470589	0.03628687163585276	0.21749284938830066	1.2434285714238422	0.07000000000000005	0.042279411764705906	1.6556521737579677	0.027720588235294143	0.4950028339839494	2327125226.251104
hotel	0.14	0.014705882352941176	0.12529411764705883	0.21047145982642812	2.194724576034135	9.519999994206401	0.019500000000000003	0.0007352941176470588	26.51999965292801	0.018764705882352944	2.4692479668548044	3161703978.3158135
stair	0.25	0.125	0.125	0.07783944684537489	0.6891710321803057	1.99999999992	0.01800000000000001	0.012132352941176474	1.4836363632377303	0.005867647058823535	0.3693601034660481	2274011886.121374
money	0.3	0.17647058823529413	0.12352941176470586	0.06366795707767309	0.5283053696460305	1.6999999999603332	0.01950000000000001	0.012500000000000006	1.559999999552	0.0070000000000000045	0.41773520069997927	2294461640.6165495
sitting-room	0.13	0.007352941176470588	0.12264705882352941	0.2596161527475127	2.7525836096561065	17.6799999773152	0.007000000000000002	0.0003676470588235294	19.03999950931202	0.006632352941176473	1.7663497537026869	2864565642.35448
silence	0.32	0.19852941176470587	0.12147058823529414	0.05901424987490285	0.47547947027443827	1.6118518518210327	0.01800000000000001	0.011764705882352946	1.5299999995495002	0.006235294117647063	0.39775496968219715	2286015335.7524023
experience	0.18	0.058823529411764705	0.12117647058823529	0.11465679718025987	1.1070979792734816	3.0599999996497997	0.010500000000000002	0.0029411764705882353	3.569999991262001	0.007558823529411767	1.0708677600344547	2570562387.7965875
